,source_article,updated_label
313,"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""

This is an example of...",false causality
314,smoking cigarettes is deadly because cigarettes can kill you,circular reasoning
315,여성의 소수자성을 이용한 풍자는 허용되어서는 안 된다.,fallacy of red herring
316,The depictions will normalize the abusive behavior and increase its prevalence in the general population,false causality
317,"While I think most people shouldn't be allowed to falsely claim they need a support animal on airplanes, I really do need my dog to calm me down. It's not my fault my doctor won't give me authorization.",intentional
318,This could potentially increase vaccine-resistant pathogens.,fallacy of red herring
319,"George: Man, those girls are smokin' hot!
Derek: No, they're not. You're a victim of the cheerleader effect. When girls are together in a group, each girl looks a lot better than if you were to see her without the other girls.
",ad hominem
320,", when in fact more possibilities exist.",false dilemma
321,"Nicole identified that Hannah had committed a logical fallacy, but instead of addressing the substance of her claim, Hannah accused Nicole of committing a fallacy earlier on in the conversation.",ad hominem
322,The deterministic nature of universe does not make them predictable.,fallacy of red herring
323,"If someone told you, ""Why should we be worrying about how the government treats Native people, when people in our city can't get a job?"" what logical fallacy are they using?",fallacy of red herring
324,"My roommate said her philosophy class was difficult, and the one I’m in is difficult, too. All philosophy classes must be hard.",faulty generalization
325,Best Buy is the best electronics store because people line up outside of it on Black Friday.,ad populum
326,You said that 'runs' occur to statistically independent phenomena such as roulette wheel spins.,ad populum
327,"We cannot listen to John’s opinion on global warming because he is a tree hugger.
No podemos escuchar la opinión de John sobre el calentamiento global porque es un abrazador de árboles.",ad hominem
328,"Major in English in college, start reading poetry, and next thing you know, you will become an unemployed pot-smoking loser.",faulty generalization
329,How much Carbon would be produced just to maintain this tax?,fallacy of red herring
330,All dogs go to heaven.,faulty generalization
331,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization
332,People like him and his (racist?) views. Hence : you might as well call everyone racist,fallacy of red herring
333,I'm triggered.,fallacy of red herring
334,"“Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.”
What fallacy is this an example of?",false causality
335,"When a person consumes a lot of drugs, his motive of life actually becomes the drug.",fallacy of red herring
336,"""Trump won't release his tax returns and prove he's clean, therefore he must have something to hide.""",intentional
337,"Imagine.
Science develops to the point where we can completely understand the universe.
We create a program that accurately simulates a down-scaled version of the universe.
In such a world, are we not the ""creators"" of a new universe that is fully compatible with all scientific theories?",fallacy of red herring
338,Katie likes to read and would rather do that than play sports. Her friends make fun of her and tell her that reading is for nerds. Katie stops reading so much and starts to play sports more.,ad populum
339,"Americans should not be allowed to exit the United States.
This way, US economy crashes and muslim (plus europeans, russians, chinese, latin americans, etc...) people are safe again.",false causality
340,"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion
341,"Allowing overnight guests in the dorm rooms will lead to nothing but trouble: promiscuity, teen pregnancy, and eventually, a bunch of unwed mothers on campus, trying to complete their degrees while raising a child.",faulty generalization
342,A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.,fallacy of credibility
343,The music industry must either raise album prices or reduce pay for technicians and producers.,false dilemma
344,All politicians are theives.,false causality
345,"I use python a lot, and I don't use ruby much...",fallacy of red herring
346,"There is lots of evidence supporting creationism. The fact that it does not line up with macroevolution- an unproved theory does not define it as false, it lines up with geology, the fossil record, DNA research and many other things. You can't base its truth off of evolution, prove evolution first",faulty generalization
347,Which case is not a False Dichotomy?,fallacy of red herring
348,Why must you always take positions that are so unscientific?,circular reasoning
349,"Any consistent axiomatic system of mathematics will contain theorems which cannot be proven.
If all the theorems of an axiomatic system can be proven then the system is inconsistent, and thus has theorems which can be proven both true and false.",fallacy of red herring
350,My opponent in the election keeps claiming that he wants to give tax credits to poor people. That means that he wants to raise taxes for the middle class.,fallacy of extension
351,"Bill, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",ad hominem
352,That answer you just gave cannot be right because you are always so rude.,ad hominem
353,Snarl Words are an example of...,appeal to emotion
354,"""I am not unmindful that some of you have come here out of great trials and tribulations. Some of you have come fresh from narrow jail cells. And some of you have come from areas where your quest -- quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality. You have been the veterans of creative suffering. Continue to work with the faith that unearned suffering is redemptive. Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed.""  Which appeal is the primary appeal used in this quote?",appeal to emotion
355,"I know you don't like the cat sweater that Grandma knitted for you, but she worked so hard on it, and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion
356,Tens of thousands of Americans have seen lights in the night sky which they could not identify. The existence of life on other planets is fast becoming certainty !,fallacy of logic
357,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...",fallacy of red herring
358,"""An economic system is a system of production, resource allocation, and distribution of goods and services in a society or a given geographic area""
Without consumption of goods/services, there is NO economic system.",false causality
359,"""I have one Japanese friend and it's true that all of them are numb.""",faulty generalization
360,"""The logic teacher was hired to fill the new computer animation class. He is a great admirer of Pixar's work and will do a great job.""",fallacy of credibility
361,"If there were a taser platform that was as reliable and capable as a gun, it would be widely adopted.",fallacy of credibility
362,"Ted: Biological evolution is both a theory and a fact.
Edwin: That is ridiculous!  How can you possibly be absolutely certain that we evolved from pond scum!
Ted: Actually, that is a gross misrepresentation of my assertion.  I never claimed we evolved from pond scum.  Unlike math and logic, science is based on empirical evidence and, therefore, a scientific fact is something that is confirmed to such a degree that it would be perverse to withhold provisional consent.  The empirical evidence for the fact that biological evolution does occur falls into this category.
",fallacy of extension
363,A commercial claims that a specific brand of cereal is the best way to start the day because athlete Michael Jordan says that it is what he eats every day for breakfast.,fallacy of credibility
364,"""All my friends are doing a low carb diet. That must be the only way to lose weight."" Mentioned Murtaza",ad populum
365,"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",false dilemma
366,"Saying that the burden of proof lies not with the person making the claim, but with someone else to disprove.",intentional
367,AttP 8: everyone having strict controls on firearms except the U.S.,ad populum
368,He is open with being a socialist. That should be as bad as openly declare yourself as a fascist or a nazist.,faulty generalization
369,"If you don't study, you'll fail your test. Then you will do poorly in the class and your GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up homeless.",faulty generalization
370,"Whilst rallying support for his plan to fundamentally undermine citizens' rights, the Supreme Leader told the people they were either on his side, or they were on the side of the enemy.",false dilemma
371,"I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles.",fallacy of credibility
372,"If we can send a woman into outerspace and communicate with them while they are there, then surely we can learn to communicate with one another in our state.",fallacy of logic
373,"""everybody's doing it, so it must be a good thing to do.""",ad populum
374,You can already hire psycholgists. Who I assume would argue they were better qualified,fallacy of red herring
375,"Jack: You should stop smoking - it's bad for you.
Jill: Look who's talking! You smoke three packs a day!",ad hominem
376,"Taxation is necessary for a government to function effectively, which in turn allows the government to serve its people. In short, taxes are payment for governmental services we otherwise take for granted.",fallacy of red herring
377,"“We can give cadets awards for doing well, or we can have a disciplined squadron. We can’t do both.”",false dilemma
378,"God is perfect. There cannot be something that is perfect and does not exist, so God must exist.",circular reasoning
379,"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me.  Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created.
",ad hominem
380,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.

Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.

Audrey: Get to bed, Freddie. And no more SYFY channel before bed!",intentional
381,"When the new administration came on campus, test scores increased and attendance improved.",false causality
382,"You call your cell phone provider to complain about how poor your cell phone battery life is after the recent software update. The representative, instead of responding to your concern, praises the provider’s new unlimited text-messaging plans that are due to be released in the next month.",fallacy of red herring
383,"Bernice: Do you support Black Lives Matter?
Mildred: Of course, I do!
Bernice: Then you should support me looting that store.
Mildred: Wait... what?
",equivocation
384,Television Advertisement: Get all of your stains out by using new and improved Ultra Suds and wash your blues away!,appeal to emotion
385,"Ivan: You cannot borrow my car because it turns back into a pumpkin at midnight.
Sidney: If you really think that, you’re an idiot.
Ivan: That is an ad hominem; therefore, I can’t be an idiot.
Sidney: I beg to differ.",fallacy of logic
386,Taxes go towards stuff that benefits the taxee.,fallacy of red herring
387,"Melvin: Boss, why do I have to work weekends when nobody else in the company does?
Boss: Am I sensing insubordination?  I can find another employee very quickly, thanks to Craigslist, you know.
",appeal to emotion
388,"The noble forefathers who created this great country did not fail; it is a great country now as it was then, by their very making.",ad hominem
389,You're wrong because you're ugly!,ad hominem
390,"More and more people are buying sports utility vehicles. It is time you bought one, too!",ad populum
391,Fatima sneezed and she caused a tsunami in Tokyo.,false causality
392,"Studies have shown that filling an inmate's day with work keeps their mind occupied, lowering instances of adverse activity and violence. Teaching them skills they can apply after release also lowers the rate of recidivism, contributing to rehabilitation for society.",fallacy of red herring
393,Everyone wants the iPhone 11 because it's the best phone on the market!,ad populum
394,"Sex, when consensual and safe, is one of the strongest pleasures humans can experience. It is fun, exciting, and intimate. Ignoring religious taboos not based on evidence, such sex is a perfectly acceptable activity.",fallacy of red herring
395,I don’t see what’s wrong with engaging the services of a professional escort.,appeal to emotion
396,"Adultery, as well as philandering, is wrong.
Therefore, we have no biological tendency for multiple sex partners.",fallacy of red herring
397,"Which fallacy literally means ""He did it himself?""",fallacy of credibility
398,"It would make it harder for people that are intending on harming others to acquire said guns, criminals will be criminals with or without laws.",ad hominem
399,"Either we go to war, or we appear weak",false dilemma
400,What’s the point of making drinking illegal under the age of 21?  Kids still manage to get alcohol.,intentional
401,Studies show that it takes up to seven years for the human body to digest a piece of gum.,fallacy of credibility
402,"""Everytime I wash my car it rains, therefore, washing my car makes it rain.""",false causality
403,Science fiction books are not worth the time it takes to read them.,faulty generalization
404,"Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.",false causality
405,"""University of Virginia professor [Charlotte] Patterson, considered a leading researcher in the field, says she has reviewed 22 studies involving offspring of gays ranging from toddlers to adults. She found none convincing [sic] that the children had suffered or were more than normally inclined to be gay. [...] Conservatives discredit Patterson by pointing out that she is an acknowledged lesbian, with a presumed ideological interest in the subject she studies.""",ad hominem
406,I can deduce that there's something beyond the material universe by the fact the material universe came into existence for how else could it come to be?,circular reasoning
407,"""America: Love it or leave it""
This is an example of which kind of logical fallacy?",false dilemma
408,"vim uses a complete and extensible keystroke language system, which leads to natural construction of complex commands.",false causality
409,"From a historical societal standpoint, it is also undesirable. Which begs the question: From what group standpoint is homosexuality desirable? I request a group standpoint because from individual standpoints, any number of arguments can be made regarding any topic.",fallacy of red herring
410,"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",ad populum
411,"Senator Jones wants a strong national defense, but I will not vote for him because he moved to Canada to avoid being drafted for war when he was in college.",ad hominem
412,it guarantees massive income inequality. Capital returns dominate all other returns as proven by empirical data.,fallacy of red herring
413,"Good people don't lie. You told a lie. Therefore, you are not a good person.",fallacy of logic
414,Look at people like Michael Vick and OJ Simpson. Professional athletes really have no sense of morality.,faulty generalization
415,(Ignoring the Question): when a rebuttal doesn't address the question,fallacy of red herring
416,[1] Nuclear medicine has saved more lives than any number of nuclear accidents and nuclear bombs have killed.,fallacy of red herring
417,"We haven’t proven aliens didn’t create life on earth, so aliens created life on earth.",intentional
418,"Morris: Oh youthful spirit, you have so much to learn.  I know for a fact that there are multiple dimensions that beings occupy.
Clifton: How can you possibly *know* that for a fact?
Morris: (raises one eyebrow, stares deeply into the eyes of Clifton and says nothing)
Clifton: Wow. You convinced me!
",fallacy of red herring
419,"Bullshit. If you have any proof, any citation, any scrap of evidence whatsoever that GDR party members were fabulously wealthy at the expense of ordinary citizens who lived in poverty, then post it now. In the meanwhile, read the article posted in the source.",prejudicial language
420,"Without taxation there is no police force, and it is the police that provide the death threat for stealing energy/money.",false causality
421,It must be acknowledged that [whatever psychological test battery I use] is the only legitimate test battery.,circular reasoning
422,"Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday.
Which logical fallacy is represented here?",faulty generalization
423,"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable.",ad hominem
424,You can tell that guy's Mexican - he's wearing a sombrero.,faulty generalization
425,I am triggered.,ad hominem
426,"because those who work the hardest often earn the tiniest, which leads to a root social conflict that breeds indiscriminate hatred throughout our societies.",slothful induction
427,"Ok, this is ABSOLUTE fucking bullshit. I went to see Cars in the theater yesterday, and when Lightning McQueen got HOT with Sally in Radiator Springs, my boner engaged. When Lightning McQueen said ""Ka-Chow!"", I couldn't help it!!! I closed my eyes, and I TORE my dick to shreds, using whip like motio",circular reasoning
428,"It hurts the profits of those at the top of a company.
It only hurts the poor if those at the top are greedy and don't want their profits lowered to help the poor.
Corporate greed hurts the poor, not minimum wage.",ad hominem
429,"I am going into surgery tomorrow so please pray for me.  If enough people pray for me, God will protect me from harm and see to it that I have a successful surgery and speedy recovery.",appeal to emotion
430,The proposition will create new crimes for teens and young adults.,circular reasoning
431,That's what you'd expect someone like him/her to say,ad hominem
432,My car broke down yesterday. Cars are worthless.,faulty generalization
433,The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?,ad hominem
434,"Jason and his family are heading to Utah to spend a week skiing. Looking at the weather reports, he notices that it is supposed to be warmer, making for lousy ski conditions. Angrily, he calls the Weather Channel and demands that they change their forecast so he will have better weather for the trip.",false causality
435,"The writer, speaker, or an ad supports a claim with restatements of the same claim. (The argument goes around and around in a circle)",circular reasoning
436,"I broke my mirror this morning, AND I failed my Civics test. I must've failed because the mirror gave me bad luck.",false causality
437,tooling and abstraction has made workflows extremely personal unstandard and preferential,fallacy of red herring
438,"This is one of the worst things about this board...it's full of utterly shite people, if he even holds these views at all. If he does, I literally wouldn't care if he died. Scum.",ad hominem
439,The red bicycle is red.,circular reasoning
440,Ruby is a caveman language for garbage people,prejudicial language
441,JavaScript is a dysfunctional language,fallacy of red herring
442,You would think that taxes should be lowered because you are a Republican [and therefore your argument about taxes should be rejected].,circular reasoning
443,"""Vote for Smith or live through four more years of higher taxes.""",false dilemma
444,"""Officer, I was only driving as fast as everyone around me. I'm sure I wasn't speeding.""",ad populum
445,"Frameworks are self indulgent, over complicated, buggy, poorly performant, and ultimately unnecessary for most website development needs.",fallacy of red herring
446,Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.,circular reasoning
447,"Alley ate a slice of pizza for dinner and a few hours later she had a fever. Therefore, pizza causes fevers.",false causality
448,There are words in some languages which have no translation in English.,fallacy of red herring
449,"My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago and everyone knows that his wife left him.",ad hominem
450,"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""",ad hominem
451,"Edward Johns claimed to be psychic, but when his 'abilities' were tested under proper scientific conditions, they magically disappeared. Edward explained this saying that one had to have faith in his abilities for them to work.",intentional
452,"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?",faulty generalization
453,It's easier to manage a large team or a big codebase.,fallacy of red herring
454,Why did the blonde cross the road?  Because she saw a shoe sale!,faulty generalization
455,"Yes, I do think that all drunk drivers should go to prison, but your honor, he is my son!  He is a good boy who just made a mistake!",intentional
456,"if people exist who do evil unless x, it doesnt follow that we should allow x. Especialy when discussing whether x is evil or not",fallacy of red herring
457,"Even if we could find a perfect way of determining succession between heirs, 'the knowledge of which is the eldest line of Adam's posterity' is utterly lost",fallacy of red herring
458,"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”  I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion
459,"The level of mercury in seafood may be unsafe, but what will fishers do to support their families?",fallacy of red herring
460,You say that Coach Smith pressured teachers to give his students passing grades. But don’t you agree that athletics are important to schools? Don’t they build character?,fallacy of red herring
461,History channel told me so.,fallacy of credibility
462,"""Men are human. Mary is a human. Therefore, Mary is a man.""",fallacy of logic
463,Improvements in work conditions have been brought about by regulations.,slothful induction
464," 
The presence of police at protests cause an escalation of violence. It was the case that at the protest last night attended by uniformed police, there was an escalation of violence. Therefore, police should not be at protests.",false causality
465,"“The police should stop environmental demonstrators from inconveniencing the general public. We pay our taxes.”
“Surely global meltdown is infinitely worse than a little inconvenience?”",fallacy of red herring
466,"Consider the following exchange:
Omar: I think capital punishment is a necessary component of our justice system and should remain legal.
Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
Of what fallacy is Kayla guilty?",fallacy of extension
467,"Since Anna Camacho became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Camacho bears sole responsibility for the downtrend.",false causality
468,You know Jane Fonda's exercise videos must be worth the money. Look at the great shape she's in.,false causality
469,"“While you may have concerns about my votes about the environment, I can assure you that I am an open minded individual. What we should really discuss is my record on votes that expanded educational opportunities for all children.""",fallacy of red herring
470,"We should offer movies on our company’s website. REPLY: No, we’ve built our company’s fortune by renting movies only through our stores.",fallacy of credibility
471,blame opponent's policy for the country's problems,false causality
472,They are both sub-par methods to layout code.,fallacy of red herring
473,Both have been succeeded by better text editors and Integrated Development Environments which have made both emacs and vim obsolete.,fallacy of red herring
474,That which is just is not necessarily legal.,fallacy of red herring
475,"In the debate at Harvard, one of the Harvard team’s debaters rebutted Samantha Booke’s argument that Henry David Thoreau, a Harvard graduate, proposed civil disobedience as a means to protest unjust laws. The Harvard debater rebutted her by saying, “Thoreau could never know that Adolph Hitler would agree with him.” A BETTER rebuttal would have been to…",fallacy of credibility
476,history is important because its gives us something else to learn at school.,fallacy of red herring
477,Love America or leave it.,false dilemma
478,reasons,fallacy of red herring
479,"""Given the nature and dilution of chemicals used in Australian operations, fracking does not impair water quality."" (APPEA)
“Academic and government studies in US, UK and New Zealand have shown fracking is safe.”",fallacy of credibility
480,"The book ""Investing for Dummies"" really helped me understand my finances better. The book ""Chess for Dummies"" was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well.",fallacy of logic
481,"""If you hadn't vandalized that car, don't you think things would have gone better for you?""",intentional
482,I bought new shoes then my head started itching. I must be allergic to the shoes.,false causality
483,"Today late for ten minutes, tomorrow late for an hour, and then someday you will simply cease to show up.",faulty generalization
484,"""My brother's girlfriend's Mother's hairdresser said that COVID numbers are going down, so I'm not going to bother with my mask"" IS an example of this fallacy.",fallacy of credibility
485,"All cats are animals.
Some pets are cats.
Therefore, some pets are not animals.",fallacy of logic
486,assumes that short-term deviations will correct themselves,false causality
487,"I want to sell my house for $400,000. A buyer wants it for $100,000, so I must sell it for $250,000.",fallacy of red herring
488,How did society create it? Did all people create it? Obviously not. Did some people create it? The same is true for all criminal organizations.,faulty generalization
489,"If someone told you, ""Kyra doesn't know anything about science because she likes weird music,"" what logical fallacy are they using?",ad hominem
490,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
",intentional
491,"Coke is not as healthy for you as Pepsi. Besides, Britney Spears drinks Pepsi, so it must be healthier than Coke.",fallacy of credibility
492,"Person #1: We need to start high school later in the morning.
Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension
493,because capitalism has no regard for the moral justifiability of its sole invariant ultimate goal: the accumulation of all possible capital,false causality
494,"""You didn't do your homework, did you?"" is an example of...",intentional
495,Nice clickbait title. EDIT: no longer clickbait,fallacy of red herring
496,smoke twed teveryday im the bonglord,circular reasoning
497,"dude #1: ""I support Black Lives Matter's mission to establish and put into better practice restorative justice...""

dude #2: But don't all lives matter?

dude #1: Of course, but I'm telling you about the mission of BLM.",fallacy of red herring
498,Some people say that the coronavirus is dangerous. Others say that it is not dangerous. That must mean that some coronavirus vaccinations are fine while others are not.,fallacy of red herring
499,A husband and wife could both become state prostitutes and be paid for sleeping together,fallacy of red herring
500,"during the presidential campaign of 1800, John Adams was called 'a fool, a gross hypocrite and an unprincipled oppressor.' His rival, Thomas Jefferson, on the other hand, was deemed 'an uncivilized atheist, anti-American, a tool for the godless French.'",ad hominem
501,"""I failed my AP vocab test so clearly I'm going to fail the class. Then I won't get into college and will never get a job. I will have to live in my parents' basement for the rest of my life. My life is ruined"" is an example of",faulty generalization
502,Governments use force to keep out competitors.,fallacy of red herring
503,"“The best minds in physics have studied physics most of their lives, as it’s necessary to study physics extensively to become a top physicist.”",circular reasoning
504,"The medicine man rolled into town on his bandwagon offering various natural remedies, such as very special plain water. He said that it was only natural that people should be wary of 'artificial' medicines such as antibiotics.",fallacy of credibility
505,;),fallacy of red herring
506,"Anarchy is the consistent application of rules in society - there are no exceptions to the rules.
Government is the inconsistent application of rules in society - there are exceptions to the rules.",circular reasoning
507,I believe in God because no one can prove that a god doesn't exist.,intentional
508,"My opponent raised a good point, but can we trust him? I mean he just moved to town only 5 months ago, how much could he really know?",ad hominem
509,My phone charger is broken because it doesn't work.,circular reasoning
510,"Which rhetorical fallacy is a broad statement about people on the basis of gender, ethnicity, race, or political, social, professional, or religious group?",faulty generalization
511,"“Either you love me, or you hate me.”",false dilemma
512,I sneezed at the same time the power went off. My sneeze did something to make the power go off.,false causality
513,"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man.",ad hominem
514,"""Finish your dinner. There are starving children in Africa."" is an example of",fallacy of red herring
515,"""Who is Sam Brownbeck, and why is he saying all those terrible things about rock lyrics? On Nov. 6, Brownbeck, an ambitious Kansas Republican ... convened a hearing billed as ""An Example of Violent Music Lyrics on Youth Behavior and Well Being ..."" Brownbeck's subcommittee, which supervises schools and streets in D.C., has much more important work to do, but the senator, who will run again in 1998, is clearly searching for an issue to give him national prominence.""",ad hominem
516,"""I see no reason to listen to Smith. Anything he says will be influenced by his interest in civil rights. His statements are bound to be distorted and unreliable.""

What logical fallacy is used in the statement above?",ad hominem
517,If I make an exception for you then I'll have to make an exception for everyone,faulty generalization
518,"His house is about half the size of most houses in the neighborhood. Therefore, his doors must all be about 3 1/2 feet high.",faulty generalization
519,"Although this may be true for some, it does not take into account the fact that some individuals cannot or will not be rehabilitated by hard labor.",fallacy of red herring
520,"Anthony and Marie have a heated argument. During their fight, Anthony tells Marie that he hates her and wished that she would get hit by a bus. Later that evening, Anthony receives a call from a friend who tells him that Marie is in the hospital because she was struck by a bus. Anthony immediately blames himself and reasons that if he hadn't made that comment during their fight, Marie would not have been hit. What logical fallacy has Anthony committed?
http://www.funtrivia.com",false causality
521,"A book argues that global warming is not actually happening, and cites the research of one environmental scientist who has been studying climate change for several years.",fallacy of credibility
522,Nobody thinks homelessness is a good thing.,faulty generalization
523,"“No one has ever been able to prove definitively that extra-terrestrials exist, so they must not be real.”",intentional
524,"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!",fallacy of credibility
525,"""Everyone wants to be an English teacher.""",faulty generalization
526,Without mini jack socket phones can be smaller and thiner.,fallacy of red herring
527,"America is the best place to live, because it's better than any other country.",circular reasoning
528,"There is no concrete proof that Duterte himself is corrupt; therefore, he is an honest politician.",intentional
529,"If we allow Susan to leave early, soon we'll be giving everyone Friday afternoon off.",faulty generalization
530,"The city should not be singling out our company's problems at our chemical storage facilities, when the EPA records indicate the city's very own landfill has been cited as needing improvements. The council needs to clean up its own mess, before they go after us.",fallacy of red herring
531,Angular2 is not backward compatible,fallacy of red herring
532,All women care about are their looks.,faulty generalization
533,"But is the number more than 0?
Would you support accidentally killing one innocent to save 1000s of innocents from being killed in a far more brutal way?",ad hominem
534,God doesn't exist.,ad populum
535,"Speaker 1: Did you torture the prisoner?
Speaker 2: No, we just held him under water for a while, and then did a mock hanging.",equivocation
536,Texting has killed people’s ability to write in complete sentences with proper grammar.,false causality
537,what about babys?,false causality
538,"""Andrea Dworkin has written several books arguing that the media harms women when it comes to body image. But Dworkin is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem
539,"the reason why more people are leaving this country is because of economic problems, therefore because there is an economic problem is that people are leaving this country.",circular reasoning
540,Student tells his professor that he thinks some of Donald Trump's positions have merit. Professor says he can't believe that the student believes in support racism.,fallacy of extension
541,"Look Tom, you could go to the police with your information about our questionable accounting practices here at Bentron. But remember, you have a family to feed. Besides you know how rumors of this kind of disloyalty can spread through the industry. You'll ever work as an accountant in this town again.",appeal to emotion
542,"An NSA whistle-blower, William Binney, said last week that the agency’s surveillance activities put us on 'a slippery slope toward a totalitarian state'",faulty generalization
543,It's a text editor; that shouldn't be necessary.,fallacy of red herring
544,"""If you don't get an A in Mr. K's class you will fail high school, never graduate, and end up fighting people for nickels under freeway as a career""",faulty generalization
545,"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me.",false causality
546,Animal rights activists believe that we shouldn't keep animals captive and make them do our will. They would have you abandon your pets in the wilderness.,fallacy of extension
547,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",faulty generalization
548,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",false causality
549,"""J.K Rowling is a wonderful writer because she writes so well"" is an example of what?",circular reasoning
550,A computer simulating the entire universe would be unfathomably complex.,false causality
551,"If you allow one student to take an online course, soon
everyone will want to, and the schools will be empty.
Si permite que un estudiante tome un curso en línea, pronto todos querrán, y las escuelas estarán vacías.",faulty generalization
552,"Politicians are financially incentivized to prioritize the interests of the wealthy. The wealthy can donate heavily to politicians that serve their interests. The middle class and the poor cannot donate on that scale, and thus it is less lucrative for politicians to attempt to serve their interests.",false causality
553,"Why does the law state that you have to be 21 years old to drink?  Does it really make any difference if you are 20 years and 364 days old?  That is absurd.  Therefore, if a single day makes no difference, then a collection of 1095 single days won’t make any difference. Therefore, changing the drinking age to 18 will not make any difference.",equivocation
554,"My philosophy professor believes in ghosts and goes to séances. She’s an intelligent, educated, person, so ghosts must be real, and spiritualism must be true.",fallacy of credibility
555,Both bullying and being bullied are possible symptoms of child abuse.,circular reasoning
556,There are no conflicts among true Muslims throughout the world. There is only fighting between true Muslims and false Muslim pretenders. Whichever side is victorious are the true Muslims because Allah gave them the victory.,slothful induction
557,"My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous.",faulty generalization
558,Creationism isn't either. So let's not talk about that.,false causality
559,You have to invite Jenna to your party because it would not be nice not to invite Jenna.,circular reasoning
560,Fortnite is the best game ever. Everyone is playing it!,ad populum
561,It should not be up to any entity to force censorship. Instead we should focus on educating people to watch out for exploitation.,fallacy of red herring
562,Happy families make happy children.,faulty generalization
563,"If you vote for her, the government as we know it will fall apart.",faulty generalization
564,"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.
¡Nunca debes apostar! Una vez que empiece a jugar, le resultará difícil dejar de jugar. Pronto gastará todo su dinero en juegos de azar y, finalmente, recurrirá a la delincuencia solo para apoyar su adicción al juego.",faulty generalization
565,"we could commit countless naturalist fallacies, attributing every success of mankind to capitalism because somehow, capitalism is a natural, essential part of human society.",fallacy of red herring
