text,label,splitted
"Tries to persuade the reader to do, think or buy something because it is popular or because ""everyone"" is doing it.",ad populum,"Tries to persuade the reader to do, think or buy something because it is popular or because ""everyone"" is doing it."
"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality,"Farmer McDonald: Ever since they put up that new power plant across the river,[SEP]we haven't had a bit of rain.[SEP]I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature."
"Of course the Senator from Maine opposes a reduction in naval spending. After all, Bath Ironworks, which produces warships, is in Maine.",ad hominem,"Of course the Senator from Maine opposes a reduction in naval spending.[SEP]After all, Bath Ironworks, which produces warships, is in Maine."
"Chihuahuas are good inside dogs. German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too.",faulty generalization,"Chihuahuas are good inside dogs.[SEP]German Shepherds are dogs; therefore, German Shepherds would be good inside dogs, too."
"Ted: Biological evolution is both a theory and a fact. Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum! Ted: Actually, that is a gross misrepresentation of my assertion. I never claimed we evolved from pond scum.",fallacy of extension,"Ted: Biological evolution is both a theory and a fact.[SEP]Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum![SEP]Ted: Actually, that is a gross misrepresentation of my assertion. I never claimed we evolved from pond scum."
"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too.",fallacy of logic,"Most heroin users started out smoking pot.[SEP]If you start smoking pot, you’ll end up a heroin user, too."
"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies.",faulty generalization,"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out.[SEP]A lot of people were carrying umbrellas, which most of them furled inside.[SEP]I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world.[SEP]People used them when it snowed.[SEP]In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies."
"Either we go to war, or we appear weak",false dilemma,"Either we go to war, or we appear weak"
"The book ""Investing for Dummies"" really helped me understand my finances better. The book ""Chess for Dummies"" was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well.",fallacy of logic,"The book ""Investing for Dummies"" really helped me understand my finances better.[SEP]The book ""Chess for Dummies"" was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well."
"The level of mercury in seafood may be unsafe, but what will fishers do to support their families?",fallacy of relevance,"The level of mercury in seafood may be unsafe,[SEP]but what will fishers do to support their families?"
We have pure food and drug laws; why can't we have laws to keep moviemakers from giving us filth ?,fallacy of logic,We have pure food and drug laws;[SEP]why can't we have laws to keep moviemakers from giving us filth ?
"I shop at Natural Happy Sunshine Store (NHSS), which is much better than your grocery store because at NHSS everything is natural including the 38-year-old store manager’s long gray hair and saggy breasts.",fallacy of credibility,"I shop at Natural Happy Sunshine Store (NHSS),[SEP]which is much better than your grocery store because at NHSS everything is natural including the 38-year-old store manager’s long gray hair and saggy breasts."
"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms. Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",faulty generalization,"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.[SEP]Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated."
"Don't let your cousin borrow $10.00. Next, he's going to be borrowing money from you every day.",faulty generalization,"Don't let your cousin borrow $10.00.[SEP]Next, he's going to be borrowing money from you every day."
"Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him.",ad hominem,"Senator Jones supports a strong national defense, and he wants your vote.[SEP]I would never vote for a coward like him."
How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.,ad hominem,How can you tell me I should exercise to lose weight?[SEP]All you do is sit behind a desk all day.[SEP]I've never seen you do a lick of exercise.
1 = a number; 2 = a number; therefore 1 = 2.,faulty generalization,1 = a number;[SEP]2 = a number;[SEP]therefore 1 = 2.
"In a study designed by a famous academic to test the effects of pleasant imagery on motivation, employees were shown images of baby animals and beautiful nature scenes for their first five minutes at work. Amazingly, results showed a 10 percent leap in profits in the first quarter and record earnings over the course of a year. So, showing employees pleasant images is a great way to increase their motivation and improve productivity",fallacy of credibility,"In a study designed by a famous academic to test the effects of pleasant imagery on motivation, employees were shown images of baby animals and beautiful nature scenes for their first five minutes at work.[SEP]Amazingly, results showed a 10 percent leap in profits in the first quarter and record earnings over the course of a year.[SEP]So, showing employees pleasant images is a great way to increase their motivation and improve productivity"
"In March, 5G was introduced and then we all got COVID",false causality,"In March, 5G was introduced and then we all got COVID"
"Person A: I think pollution from humans contributes to climate change. Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, and have caused the droughts in the southwestern U.S.?",fallacy of extension,"Person A: I think pollution from humans contributes to climate change.[SEP]Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, and have caused the droughts in the southwestern U.S.?"
"In class, Ryan turns to Doug and says, ""Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh.""",fallacy of relevance,"In class, Ryan turns to Doug and says,[SEP]""Smoking cigarettes is nothing short of suicide: the smoker is willingly killing himself. Duh."""
"The officer told me to freeze but it was too hot out to be freezing, so I was justified in running away.",equivocation,"The officer told me to freeze but it was too hot out to be freezing,[SEP]so I was justified in running away."
"After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenceless by cutting military spending.",fallacy of extension,"After Will said that we should put more money into health and education,[SEP]Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenceless by cutting military spending."
"You should marry me. I know we’re not compatible, but I only have a year to live, and you’re my last chance.",appeal to emotion,"You should marry me.[SEP]I know we’re not compatible, but I only have a year to live, and you’re my last chance."
"""Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes.""",appeal to emotion,"""Sir, please let me take the exam.[SEP]I was late because I need to cook our breakfast and wash the dishes."""
"Person #1: We need to start high school later in the morning. Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension,"Person #[SEP]We need to start high school later in the morning.[SEP]Person #[SEP]Oh, so you think we should all just sleep in until noon and have school until it gets dark?"
"Cotton and grain crops were lower this year than last. So, people must be stealing them.",fallacy of logic,"Cotton and grain crops were lower this year than last.[SEP]So, people must be stealing them."
The Windmill debate- Snowball promises that the Windmill will mean less work and better living conditions. Napoleon says that it's just unnecessary and will be more work.,intentional,The Windmill debate- Snowball promises that the Windmill will mean less work and better living conditions.[SEP]Napoleon says that it's just unnecessary and will be more work.
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad hominem,Dismissing someone's viewpoint on an issue because[SEP]he himself is inconsistent in that very thing.
"Bruce is American, or he is not from New Jersey. Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic,"Bruce is American, or he is not from New Jersey.[SEP]Bruce is not American, therefore, he is not from New Jersey."
"Mr. Equalminded's idea for implementing affirmative action in the university's admission process is complete folly. He says he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender of the color of their skin, then what's going to happen to our reputation?",fallacy of relevance,"Mr. Equalminded's idea for implementing affirmative action in the university's admission process is complete folly.[SEP]He says he wants the student body to represent diversity in the community.[SEP]But that's ridiculous.[SEP]I suppose this means we'll have to throw out our academic standards while were at it.[SEP]After all, if we're going to let students into our prestigious institution just because of their gender of the color of their skin, then what's going to happen to our reputation?"
"Eric: For my lottery numbers, I chose 6, 14, 22, 35, 38, 40.  What did you choose? Steve: I chose 1, 2, 3, 4, 5, 6. Eric: You idiot!  Those numbers will never come up!",false causality,"Eric: For my lottery numbers, I chose 6, 14, 22, 35, 38, 40.  What did you choose?[SEP]Steve: I chose 1, 2, 3, 4, 5, 6.[SEP]Eric: You idiot!  Those numbers will never come up!"
"“The best minds in physics have studied physics most of their lives, as it’s necessary to study physics extensively to become a top physicist.”",circular reasoning,"“The best minds in physics have studied physics most of their lives,[SEP]as it’s necessary to study physics extensively to become a top physicist.”"
"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!",false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven,[SEP]so give your money!"
You can go to bed in 5 minutes or you can go to bed in ten minutes. What's your choice?,false dilemma,You can go to bed in 5 minutes or you can go to bed in ten minutes.[SEP]What's your choice?
We cannot support immigrants because we have too many homeless and poor Americans.,false dilemma,We cannot support immigrants because[SEP]we have too many homeless and poor Americans.
"""Once you leave the house, you cannot go back. You will not receive any financial support so you need to stop going to school. Your credit card will be cut so you need to work. You will live on your own.""",faulty generalization,"""Once you leave the house, you cannot go back.[SEP]You will not receive any financial support so you need to stop going to school.[SEP]Your credit card will be cut so you need to work.[SEP]You will live on your own."""
"""Then we had a death. A 32-year-old woman hemorrhaged to death as a result of a cervical laceration. I finally realized, we weren't helping women - we were destroying them.""",appeal to emotion,"""Then we had a death. A 32-year-old woman hemorrhaged to death as a result of a cervical laceration.[SEP]I finally realized, we weren't helping women - we were destroying them."""
a mad scientist builds a rocket to the sun but plans to embark at night to avoid being cremated.,fallacy of logic,a mad scientist builds a rocket to the sun but plans to embark at night to avoid being cremated.
"Millions of people are Marxists, so Marxist economic and political theories are  correct.",ad populum,"Millions of people are Marxists, so[SEP]Marxist economic and political theories are  correct."
"I hold a doctorate in theology, have written 12 books, and personally met the Pope.  Therefore, when I say that Jesus’ favorite snack was raisins dipped in wine, you should believe me.",fallacy of credibility,"I hold a doctorate in theology, have written 12 books, and personally met the Pope.[SEP]Therefore, when I say that Jesus’ favorite snack was raisins dipped in wine, you should believe me."
"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.",ad hominem,"""I can't trust that doctor's advice on how to raise my child.[SEP]He has never been a mother."
You said that 'runs' occur to statistically independent phenomena such as roulette wheel spins.,false causality,You said that 'runs' occur to statistically independent phenomena such as roulette wheel spins.
"We've got to stop them from banning pornography. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!",faulty generalization,"We've got to stop them from banning pornography.[SEP]Once they start banning one form of literature, they will never stop.[SEP]Next thing you know, they will be burning all the books!"
Students are poor writers because they watch too much TV,false causality,Students are poor writers because[SEP]they watch too much TV
I think that businesses should not have to limit the amount of pollutants they  release into the atmosphere because Rush Limbaugh says that there is no real  evidence for industrial pollutants causing the Greenhouse Effect.,fallacy of credibility,I think that businesses should not have to limit the amount of pollutants they  release into the atmosphere because[SEP]Rush Limbaugh says that there is no real  evidence for industrial pollutants causing the Greenhouse Effect.
"""Drivers in Richmond are terrible. Why does everyone in a big city drive like that?""",ad hominem,"""Drivers in Richmond are terrible.[SEP]Why does everyone in a big city drive like that?"""
There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!,fallacy of relevance,There is a lot of commotion regarding saving the environment.[SEP]We cannot make this world an Eden.[SEP]What will happen if it does become Eden?[SEP]Adam and Eve got bored there!
"Fred, do you still cheat on your girlfriend?",intentional,"Fred, do you still cheat on your girlfriend?"
"If we are too scared to open the economy completely, then we'll have to keep it closed forever.",false dilemma,"If we are too scared to open the economy completely,[SEP]then we'll have to keep it closed forever."
That restaurant is popular because everyone in town goes there.,circular reasoning,That restaurant is popular because[SEP]everyone in town goes there.
"All babysitters have pimples. All babysitter club members are babysitters. Therefore, some babysitter club members have pimples.Example #2: All forest creatures live in the woods. All leprechauns are forest creatures. Therefore, some leprechauns live in the woods.",fallacy of logic,"All babysitters have pimples.[SEP]All babysitter club members are babysitters.[SEP]Therefore, some babysitter club members have pimples.[SEP]Example #[SEP]All forest creatures live in the woods.[SEP]All leprechauns are forest creatures.[SEP]Therefore, some leprechauns live in the woods."
"If we allow students to have cell phones, it will lead to chaos in the classroom.  If we have chaos in the classroom, the students will fail to learn.  If they fail to learn, their lives will be ruined forever!",faulty generalization,"If we allow students to have cell phones, it will lead to chaos in the classroom.[SEP]If we have chaos in the classroom, the students will fail to learn.[SEP]If they fail to learn, their lives will be ruined forever!"
"A major wrong has been committed by the local government and several people go to protest it, waving signs and blocking traffic. Both sides are just as bad.",faulty generalization,"A major wrong has been committed by the local government and several people go to protest it, waving signs and blocking traffic.[SEP]Both sides are just as bad."
"In her paper, Aida states ""Filthy, polluting hummers should be banned.""",circular reasoning,"In her paper, Aida states ""Filthy, polluting hummers should be banned."""
Child: This fish tastes funny. I don’t want to eat this. Parent: There are children starving in Africa. Eat your dinner.,fallacy of relevance,Child: This fish tastes funny. I don’t want to eat this.[SEP]Parent: There are children starving in Africa. Eat your dinner.
"The spider that bit was poison, therefore all spiders are poison.",faulty generalization,"The spider that bit was poison,[SEP]therefore all spiders are poison."
"The car was built with cheap parts, so it only goes to show that the car will fall apart.",ad hominem,"The car was built with cheap parts, so it only goes to show that[SEP]the car will fall apart."
attaching an argument to a person of false or appeared authority in order to give credence to their argument,fallacy of credibility,attaching an argument to a person of false or appeared authority in order to give credence to their argument
"The school is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety. Obviously, we shouldn’t risk anyone’s safety, so we must tear the building down.”",false dilemma,"The school is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety.[SEP]Obviously, we shouldn’t risk anyone’s safety, so we must tear the building down.”"
"John: Can you please help me push my car to the side of the road until the tow truck comes? Paul: Why push it to the side of the road?  Why not just leave it? John: It is slowing down traffic unnecessarily where it is. Paul: Many things slow down traffic—do you feel you need to do something about all them? John: No, but this was my fault. Paul: Was it really? Were you the direct cause of your car breaking down? John: Are you going to help me move this damn car or not?!",fallacy of relevance,"John: Can you please help me push my car to the side of the road until the tow truck comes?[SEP]Paul: Why push it to the side of the road?  Why not just leave it?[SEP]John: It is slowing down traffic unnecessarily where it is.[SEP]Paul: Many things slow down traffic—do you feel you need to do something about all them?[SEP]John: No, but this was my fault.[SEP]Paul: Was it really? Were you the direct cause of your car breaking down?[SEP]John: Are you going to help me move this damn car or not?!"
Labor unions in America are just as bad as Russia under Stalin!,fallacy of relevance,Labor unions in America are just as bad as Russia under Stalin!
"Unfair judgement of people based on looks, belief, or ethnic background.",faulty generalization,"Unfair judgement of people based on looks, belief, or ethnic background."
"If there is objective morality, then good moral behavior will be rewarded after death.  I want to be rewarded; therefore, morality must be objective.",appeal to emotion,"If there is objective morality, then good moral behavior will be rewarded after death.[SEP]I want to be rewarded; therefore, morality must be objective."
"My sister loves shopping, so all girls must love to shop too.",faulty generalization,"My sister loves shopping, so[SEP]all girls must love to shop too."
"""I should receive an 'A' in this class. I had a tough week!"" Hadi begged",appeal to emotion,"""I should receive an 'A' in this class.[SEP]I had a tough week!"" Hadi begged"
"“I know that what I experience is real because I can see, hear, smell, touch and taste everything.”",circular reasoning,"“I know that what I experience is real because[SEP]I can see, hear, smell, touch and taste everything.”"
"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job.",faulty generalization,"If you don't pass this quiz, you will get a low grade.[SEP]This will affect your score in the gradebook, you will fail Eng II.[SEP]You will not graduate Highschool.[SEP]You will not get a good job."
The thing about the new math teacher (who is an excellent teacher) is that he/she really stands out because he/she has good teaching skills.,circular reasoning,The thing about the new math teacher (who is an excellent teacher) is that[SEP]he/she really stands out because he/she has good teaching skills.
"if everyone believes something or does something, it must be valid, accurate, or effective.",ad populum,"if everyone believes something or does something,[SEP]it must be valid, accurate, or effective."
Students who want cell phones in school have no idea what they're talking about.,ad hominem,Students who want cell phones in school have no idea what they're talking about.
"Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.",false causality,"Kevin's dog scratched his leg, and that night he had a fever.[SEP]Kevin concluded that his dog must have infected him with something."
We should pass a constitutional amendment making it illegal to burn the American flag. Anyone who thinks otherwise just hates America.,fallacy of extension,We should pass a constitutional amendment making it illegal to burn the American flag.[SEP]Anyone who thinks otherwise just hates America.
Politician: Taxes are too hard to understand. The government must be tricking us and taking our money. We need to simplify our taxes!,intentional,Politician: Taxes are too hard to understand.[SEP]The government must be tricking us and taking our money.[SEP]We need to simplify our taxes!
"""You were late tonight. You must be cheating!""",faulty generalization,"""You were late tonight.[SEP]You must be cheating!"""
"If you were a true Catholic, you would never eat meat on Friday even if it was the only food available.",ad populum,"If you were a true Catholic,[SEP]you would never eat meat on Friday even if it was the only food available."
"Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!",ad populum,"Everyone was driving over the speed limit,[SEP]so I shouldn't have gotten a ticket for it!"
"If you don't get up early every day you will be late. The more you are late the more trouble you will get into. The more trouble you get into, you will end up losing your job and your family will starve.",faulty generalization,"If you don't get up early every day you will be late.[SEP]The more you are late the more trouble you will get into.[SEP]The more trouble you get into, you will end up losing your job and your family will starve."
"In the space of a couple of days, Alastair Campbell has managed to turn an argument about the way the government presented its case for war in Iraq into an entirely different dispute about the way the BBC covered what was going on in Whitehall at the time.",fallacy of relevance,"In the space of a couple of days, Alastair Campbell has managed to turn an argument about the way the government presented its case for war in Iraq into an entirely different dispute about the way the BBC covered what was going on in Whitehall at the time."
"Quinoa is a delicious, plant-based source of protein because it tastes so darn good.",circular reasoning,"Quinoa is a delicious, plant-based source of protein because[SEP]it tastes so darn good."
We can’t freeze the academic year because then students won’t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.,faulty generalization,We can’t freeze the academic year because then students won’t graduate on time.[SEP]Next thing you know most people will be unemployed and will resort to crime.[SEP]The crime rate will skyrocket and society will collapse.
"during the presidential campaign of 1800, John Adams was called 'a fool, a gross hypocrite and an unprincipled oppressor.' His rival, Thomas Jefferson, on the other hand, was deemed 'an uncivilized atheist, anti-American, a tool for the godless French.'",ad hominem,"during the presidential campaign of 1800, John Adams was called 'a fool, a gross hypocrite and an unprincipled oppressor.'[SEP]His rival, Thomas Jefferson, on the other hand, was deemed 'an uncivilized atheist, anti-American, a tool for the godless French.'"
"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.",fallacy of logic,"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions,[SEP]is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank."
Our competitors use unhealthy sugar substitutes and artificial sweeteners. But Rev-Up Energy Drink contains one hundred percent real cane sugar to fuel your body better.,fallacy of credibility,Our competitors use unhealthy sugar substitutes and artificial sweeteners.[SEP]But Rev-Up Energy Drink contains one hundred percent real cane sugar to fuel your body better.
"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",false dilemma,"I'm raising funds to help cure XYZ disease.[SEP]If you don't donate, then you're part of the problem."
"A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses",faulty generalization,"A car makes less pollution than a bus.[SEP]Therefore, cars are less of a pollution problem than buses"
"No people under the age of 66 are senior citizens. No senior citizens are children. Therefore, all people under the age of 66 are children.",fallacy of logic,"No people under the age of 66 are senior citizens.[SEP]No senior citizens are children.[SEP]Therefore, all people under the age of 66 are children."
"""Jollibee or McDonalds for lunch?""",false dilemma,"""Jollibee or McDonalds for lunch?"""
"Alley ate a slice of pizza for dinner and a few hours later she had a fever. Therefore, pizza causes fevers.",false causality,"Alley ate a slice of pizza for dinner and a few hours later she had a fever.[SEP]Therefore, pizza causes fevers."
"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me.  Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created.",ad hominem,"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me.[SEP]Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created."
He can't be a great athlete; he cheated on his wife.,ad hominem,He can't be a great athlete;[SEP]he cheated on his wife.
"""She's such a mean teacher and person – that's why she wouldn't raise my grade ONE percent!""",ad hominem,"""She's such a mean teacher and person –[SEP]that's why she wouldn't raise my grade ONE percent!"""
"My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago and everyone knows that his wife left him.",ad hominem,"My opponent raises a good point, but can we really trust him?[SEP]I mean, he moved to this town only two years ago and everyone knows that his wife left him."
People who learn from their mistakes don't repeat them.,faulty generalization,People who learn from their mistakes don't repeat them.
"There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws.",false causality,"There are more laws on the books than ever before, and more crimes are being committed than ever before.[SEP]Therefore, to reduce crime, we must eliminate the laws."
"That lady had a rough day today. She woke up late, she was not able to eat breakfast, she missed the train and was late for work. My heart aches for this poor lady.",appeal to emotion,"That lady had a rough day today.[SEP]She woke up late, she was not able to eat breakfast, she missed the train and was late for work.[SEP]My heart aches for this poor lady."
"A cloud is 90 percent water; a watermelon is 90 percent water. Therefore, since a plane can fly through a cloud, a plane can fly through a watermelon.",fallacy of logic,"A cloud is 90 percent water; a watermelon is 90 percent water.[SEP]Therefore, since a plane can fly through a cloud, a plane can fly through a watermelon."
"”You can start a family early, or build financial stability for a better family life in the future.”",false dilemma,"”You can start a family early, or build financial stability for a better family life in the future.”"
I guess I should buy my 14 year old a new iPhone since everyone at her school has one.,ad populum,I guess I should buy my 14 year old a new iPhone since everyone at her school has one.
"If you do not believe in God, you will go to hell.",appeal to emotion,"If you do not believe in God,[SEP]you will go to hell."
"I thought you were a good person, but you were not at church today.",false dilemma,"I thought you were a good person, but[SEP]you were not at church today."
I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.,false causality,I'm moving to Connecticut because it is the richest state in the nation and[SEP]I'm tired of being poor.
For want of a nail the shoe was lost. For want of a shoe the horse was lost. For want of a horse the rider was lost. For want of a rider the battle was lost. For want of a battle the kingdom was lost. And all for the want of a nail.,faulty generalization,For want of a nail the shoe was lost.[SEP]For want of a shoe the horse was lost.[SEP]For want of a horse the rider was lost.[SEP]For want of a rider the battle was lost.[SEP]For want of a battle the kingdom was lost.[SEP]And all for the want of a nail.
We should give the other applicant the job because he has a poor family and he needs to provide for them. It looks like he suffers a lot!,appeal to emotion,We should give the other applicant the job because he has a poor family and he needs to provide for them.[SEP]It looks like he suffers a lot!
someone who is poor is more credible than someone who is rich?,fallacy of credibility,someone who is poor is more credible than someone who is rich?
"TOPIC: Should people let their cats go outside? DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise."" ""What do you know? You've never even had a pet cat before!""",ad hominem,"TOPIC: Should people let their cats go outside? DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""[SEP]""What do you know? You've never even had a pet cat before!"""
"Bill: ""I believe that abortion is morally wrong."" Dave: ""Of course you would say that, you’re a priest."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don’t count. Like I said, you’re a priest, so you have to say that abortion is wrong. Further, you are just a lackey to the Pope, so I can’t believe what you say.""",ad hominem,"Bill: ""I believe that abortion is morally wrong.""[SEP]Dave: ""Of course you would say that, you’re a priest.""[SEP]Bill: ""What about the arguments I gave to support my position?""[SEP]Dave: ""Those don’t count. Like I said, you’re a priest, so you have to say that abortion is wrong. Further, you are just a lackey to the Pope, so I can’t believe what you say."""
A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times.,ad hominem,A politician arguing that his opponent cannot possibly be a good choice for women because[SEP]he has been married and divorced five times.
"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen.",faulty generalization,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too.[SEP]All philosophy classes must be hard!” Insisted Baneen."
We either have to cut taxes or leave a huge debt for our children.,false dilemma,We either have to cut taxes or leave a huge debt for our children.
"All men are mortal, and Socrates is a man, therefore Socrates likes dogs.",fallacy of logic,"All men are mortal, and Socrates is a man,[SEP]therefore Socrates likes dogs."
"Saying that because one finds something difficult to understand, therefore it's not true",intentional,"Saying that because one finds something difficult to understand,[SEP]therefore it's not true"
"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly.",fallacy of logic,"Bats are mammals.[SEP]Bats can fly.[SEP]Pigs are also mammals,[SEP]therefore pigs can fly."
"It's common sense that if you smack your children, they will stop the bad behavior. So don't tell me not to hit my kids.",intentional,"It's common sense that if you smack your children,[SEP]they will stop the bad behavior.[SEP]So don't tell me not to hit my kids."
"If we allow cadets to apply for encampment online, we’d save everyone lots of headaches. REPLY: No. We’ve always made cadets apply using a paper form.",fallacy of credibility,"If we allow cadets to apply for encampment online,[SEP]we’d save everyone lots of headaches.[SEP]REPLY: No. We’ve always made cadets apply using a paper form."
A news story that reported that Captain Shah was under investigation was shared widely on social media. He must have been the individual who caused the crash.,ad populum,A news story that reported that Captain Shah was under investigation was shared widely on social media.[SEP]He must have been the individual who caused the crash.
"Don't let your children stay up till midnight on New Year's Eve. Before you know it, they'll be demanding to stay up till midnight every night.",faulty generalization,"Don't let your children stay up till midnight on New Year's Eve.[SEP]Before you know it, they'll be demanding to stay up till midnight every night."
"""It rained and we lost the game. Every time it rains, we are going to lose.""",false causality,"""It rained and we lost the game.[SEP]Every time it rains, we are going to lose."""
"If you choose not to administer triple antibiotic coverage for this patient with severe and extensive burns, you will be held responsible for any infectious complications that might eventually arise.",appeal to emotion,"If you choose not to administer triple antibiotic coverage for this patient with severe and extensive burns,[SEP]you will be held responsible for any infectious complications that might eventually arise."
Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization,Allowing gay marriage puts us on the way to polygamy and bestiality
What can our new math teacher know? Have you seen how fat she is?,ad hominem,What can our new math teacher know?[SEP]Have you seen how fat she is?
People who don't like K-pop are racist.,ad hominem,People who don't like K-pop are racist.
"My grandmother smoked for 80 years and died at 100. Obviously, smoking isn’t harmful.",faulty generalization,"My grandmother smoked for 80 years and died at 100.[SEP]Obviously, smoking isn’t harmful."
I've had bad luck for so long that I'm bound to have good luck now.,false causality,I've had bad luck for so long that[SEP]I'm bound to have good luck now.
What is wrong with Tanya? She only has five hundred dollars saved and she’s going away to college next year. That would be like letting my four-year-old brother go to Russia by hisself.,fallacy of logic,What is wrong with Tanya?[SEP]She only has five hundred dollars saved and she’s going away to college next year.[SEP]That would be like letting my four-year-old brother go to Russia by hisself.
"Jason said that that was all cool and everything, but his grandfather smoked, like, 30 cigarettes a day and lived until 97 - so don't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships.",faulty generalization,"Jason said that that was all cool and everything, but his grandfather smoked, like, 30 cigarettes a day and lived until 97 - so don't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships."
"Bears are a subset of omnivores. Raccoons also are a subset of omnivores. But these two subsets do not overlap, and that fact makes the conclusion illogical. The argument is invalid—that is, the relationship between the premises doesn’t support the conclusion.",fallacy of logic,"Bears are a subset of omnivores.[SEP]Raccoons also are a subset of omnivores.[SEP]But these two subsets do not overlap, and that fact makes the conclusion illogical.[SEP]The argument is invalid—that is, the relationship between the premises doesn’t support the conclusion."
40 million people can't be wrong! Buy the new Iphone XIV today!,ad populum,40 million people can't be wrong![SEP]Buy the new Iphone XIV today!
"""Your honor, I believe that we won this case. Look at the opposite camp; they were late for today's hearing!""",fallacy of relevance,"""Your honor, I believe that we won this case.[SEP]Look at the opposite camp; they were late for today's hearing!"""
