predictions,true_labels,cases
fallacy of credibility,faulty generalization,MSK0 eats MSK2 and MSK1 . MSK0 is thin . MSK2 and MSK1 are n’t the cause of obesity .
intentional,intentional,"MSK0 is made of MSK1 . MSK1 are not the MSK2 of MSK3 . Therefore , MSK0 can not be the MSK2 of MSK3 ."
false causality,circular reasoning,"MSK0 are MSK1 . MSK0 can MSK2 . MSK3 are also MSK1 , therefore MSK3 can MSK2 ."
ad populum,ad populum,"Most people believe in MSK0 , so MSK0 are real ."
fallacy of credibility,fallacy of credibility,""" If MSK0 hair looks nice , people will love MSK0 . """
fallacy of credibility,ad populum,This is an example of which fallacy ?
fallacy of extension,circular reasoning,Consider the following exchange : Omar : I MSK0 capital punishment is a necessary component of MSK1 justice system and should remain MSK2 . MSK3 : So MSK3 are saying that murder should be MSK2 and MSK4 is okay for MSK1 to go around killing MSK5 just because MSK1 MSK0 MSK5 deserve MSK4 ? That is n't right . Of what fallacy is MSK3 guilty ?
false causality,false causality,"MSK0 did a "" MSK1 dance "" one afternoon , and MSK0 MSK1 that night . MSK0 claimed to have brought the MSK1 ."
false dilemma,fallacy of relevance,Consider the following exchange : MSK0 : MSK0 MSK1 capital punishment is a necessary component of MSK2 justice system and should remain MSK3 . MSK4 : So MSK4 are saying that murder should be MSK3 and MSK5 is okay for MSK2 to go around killing MSK6 just because MSK2 MSK1 MSK6 deserve MSK5 ? That is n't right . Of what fallacy is MSK4 guilty ?
ad populum,faulty generalization,"MSK2 If MSK0 really loved MSK1 , MSK0 would buy MSK1 everything MSK1 ever wanted ! MSK2"
faulty generalization,faulty generalization,"Either MSK0 love MSK1 , or MSK0 hate MSK1 ."
ad hominem,intentional,"MSK0 1 : MSK1 are MSK2 thousands of MSK3 , who are going MSK4 to MSK4 to help MSK1 spread the word about social injustice and the need for change . MSK0 : Well then , MSK5 ca n’t be a part of this because MSK5 was always been taught that it ’s wrong to MSK2 MSK3 ."
ad populum,ad populum,MSK0 makes MSK1 think MSK1 need to believe or buy something because everyone else is . Which technique is MSK0 ?
fallacy of relevance,fallacy of relevance,""" Finish your dinner . There are starving children in Africa . "" is an example of"
false dilemma,false dilemma,Do n't be the only one not wearing Nike !
fallacy of extension,fallacy of extension,""" MSK0 says that MSK1 should not fund the attack submarine program . MSK0 disagree entirely . MSK0 ca n't understand why he wants to leave MSK1 defenseless like that . """
ad populum,ad populum,Trying to convince others that MSK0 is doing it or MSK0 feels this way so MSK0 should too .
ad populum,ad populum,Everybody does it . You should too .
ad populum,ad populum,"MSK0 MSK1 MSK2 in the past . Therefore , it is acceptable for MSK2 to MSK1 MSK0 today ."
ad hominem,fallacy of relevance,MSK0 must be wrong on the issue of taxes because MSK0 's such a jerk to the people who work for MSK0 .
ad hominem,fallacy of credibility,"MSK0 has been MSK1 at MSK0 current MSK1 for more than 30 years at the same wage . MSK0 desperately wants a raise so MSK0 approaches MSK0 boss to ask for one . MSK0 says , "" MSK0 are one of the kindest people MSK0 know . MSK0 are smart and good - looking and MSK0 really love MSK0 shoes . """
false causality,false causality,"All MSK2 MSK0 causes illness ; when MSK1 traveled through MSK2 , MSK1 got MSK0 poisoning ."
ad populum,ad populum,Over 99 billion people served …
faulty generalization,faulty generalization,"If MSK0 do n’t MSK1 out MSK2 , the US economy will collapse . Therefore , MSK0 need to MSK1 out MSK2 ."
ad hominem,faulty generalization,Are you one of those stupid religious people that reject science ?
appeal to emotion,appeal to emotion,"MSK0 wakes up one morning to find that MSK0 has just MSK1 through MSK0 . MSK0 emails MSK0 teacher and asks if MSK0 can make up MSK2 . MSK0 states that MSK0 deserves to take MSK2 over because MSK0 did n't MSK1 well because MSK0 boyfriend just broke up with MSK0 , MSK0 dog is sick and MSK0 stained MSK0 favorite dress . What fallacy is this ?"
fallacy of relevance,fallacy of relevance,"The temperature has dropped this morning , and coref1 also have MSK0 . The cold weather must be causing MSK0 ."
fallacy of relevance,fallacy of logic,America has to act now to reduce MSK0 . Recent studies show that the vast majority of Americans think that MSK0 is a problem .
ad hominem,ad hominem,"When MSK0 called MSK1 “ Killary ” to discredit MSK1 and MSK1 reputation as a presidential candidate , MSK0 committed which logical fallacy ?"
faulty generalization,faulty generalization,MSK0 met a MSK1 person from MSK2 yesterday . MSK0 guess all MSK2 people are MSK1 .
faulty generalization,faulty generalization,"If we legalize MSK0 , then more people will try MSK0"
false causality,false causality,"MSK0 would have done MSK0 homework , but MSK0 refrigerator stopped working ."
faulty generalization,appeal to emotion,MSK0 tells MSK0 children not to leave the yard because there might be wild animals in the woods .
ad populum,ad populum,"MSK0 guess MSK0 should buy MSK0 12 - year - old daughter an iPhone . Everyone at MSK1 new school has one , and MSK0 want MSK1 to fit in with the other kids ."
ad populum,ad populum,"Most people believe in MSK0 , so MSK0 are real ."
ad hominem,ad hominem,"in response to the claim that "" MSK0 fast food is unhealthy "" : “ But I saw you MSK0 a burger and fries for lunch only a few hours ago ! """
ad hominem,ad hominem,"A fallacy of relevance where someone rejects or criticizes another person ’s view on the basis of personal characteristics , background , physical appearance , or other features irrelevant to the"
intentional,appeal to emotion,"MSK0 : MSK0 just realized that MSK0 will probably never go MSK1 ! MSK2 : Why is that ? MSK0 : Well , if MSK0 MSK3 just one MSK4 , MSK0 will not be MSK1 , correct ? MSK2 : Of course . MSK0 : If MSK0 MSK3 two MSK4 ? MSK2 : No . MSK0 : Every time MSK0 MSK3 MSK5 , the MSK3 of MSK5 will not make MSK0 MSK1 ; therefore , MSK0 will never go MSK1 . MSK2 : Congratulations , you found the cure to MSK1 -- stupidity !"
faulty generalization,ad populum,""" MSK1 and then MSK2 MSK3 the game . Every time MSK1 , MSK2 're going to MSK3 . """
ad populum,ad populum,"MSK0 uses the logic : Everyone else is doing MSK0 , you should too !"
ad populum,ad populum,""" Jose , join us because everybody will come to the party and only you will be left behind . """
appeal to emotion,appeal to emotion,"MSK0 know nothing about MSK1 except that MSK1 has a criminal record as long as your leg , but MSK0 ’ll bet MSK1 ’s really just misunderstood"
faulty generalization,faulty generalization,"If MSK0 are too scared to open MSK1 completely , then MSK0 'll have to keep MSK1 closed forever ."
faulty generalization,faulty generalization,I can tell this movie is going to be terrible ; the opening credits are n't even over yet !
faulty generalization,faulty generalization,"MSK0 am MSK1 because MSK0 MSK2 , and MSK0 MSK2 because MSK0 'm MSK1 ."
ad hominem,ad hominem,There 's no way MSK0 know this - MSK0 're clearly too young to understand !
ad populum,ad populum,MSK0 because everyone else is doing MSK0
ad populum,ad populum,""" everybody 's doing MSK0 , so MSK0 must be a good thing to do . """
false causality,false causality,"During the early 2000s , the search for a cause of MSK0 MSK1 to MSK2 , though no scientific link has been found between the administration of MSK2 and the onset of MSK0 . The MSK3 that MSK4 are MSK2 and the MSK3 MSK4 're diagnosed do closely correlate , however , MSK1 upset parents to assign blame to the MSK2 , for lack of a better explanation ."
faulty generalization,faulty generalization,"All MSK0 MSK2 and MSK0 are MSK3 ; therefore , all MSK3 MSK2 ."
intentional,intentional,"MSK0 must exist , because nobody has been able to prove that MSK0 do n't is an example of"
fallacy of logic,fallacy of logic,"If MSK0 was MSK1 , MSK0 would be MSK2 . MSK0 is MSK2 . Therefore , MSK0 is a MSK1 ."
ad hominem,ad hominem,""" If MSK0 never gave money to charity , then MSK0 must be a greedy millionaire . "" What is this ?"
faulty generalization,ad populum,"MSK0 know three MSK4 who have MSK2 , and since MSK3 has MSK4 MSK4 , MSK0 ’ll bet MSK3 has a MSK2 too ."
ad populum,ad populum,""" Chick fil A is the greatest food chain in existence . Look at the crowds ! """
fallacy of relevance,fallacy of relevance,"It ’s true that this company has n’t given raises in the last 5 years , but MSK0 work really hard to ensure that MSK0 have a quality product and good customer service ."
ad hominem,ad hominem,""" Do n't listen to MSK0 arguments on education . MSK0 did n't even finish high school "" is an example of"
faulty generalization,faulty generalization,MSK0 is the MSK1 secretary . MSK0 says that MSK0 thinks that the MSK1 should do more service projects . MSK2 says MSK2 ca n't believe that MSK0 does n't support the annual school dance .
intentional,fallacy of logic,"MSK0 : "" MSK0 should n’t have MSK1 . MSK1 ’s so fattening . "" MSK2 : "" Did n’t MSK2 eat an entire tub of ice cream yesterday ? """
ad hominem,faulty generalization,"MSK0 is running for class president . In MSK0 campaign speech MSK0 says , "" MSK0 opponent does not deserve to win . MSK0 is a smoker and MSK0 cheated on MSK0 boyfriend last year . "" What fallacy has MSK0 committed ?"
faulty generalization,false dilemma,"MSK0 , either MSK1 let me go to the party or MSK1 're a bad MSK0 ."
fallacy of logic,fallacy of logic,"All MSK0 are MSK2 . MSK3 are MSK0 . Therefore , MSK3 are not MSK2 ."
fallacy of credibility,false causality,"In the 6 years that MSK0 have been practicing MSK0 new and improved brand of cognitive - humanistic - dynamic - behavioral - deconstructive - metaregressive - deontological psychotherapy ( now with biofeedback ! ) , which MSK0 developed , there has not been one published study showing that MSK1 fails to work or that MSK1 has ever harmed a patient . MSK1 is clearly one of the safest and most effective interventions ever devised ."
false dilemma,false dilemma,We can either stop using cars or destroy the earth .
ad hominem,fallacy of extension,Someone who says something which does not flow logically in the conversation is guilty of using :
ad populum,ad populum,""" everybody 's doing MSK0 , so MSK0 must be a good thing to do . """
faulty generalization,faulty generalization,"MSK0 : Ever since they put up that new power plant across the river , we have n't had a bit of rain . MSK0 'm tellin ' you , MSK1 has got too big for MSK1 britches when MSK1 fiddles around with nature ."
fallacy of extension,fallacy of extension,"MSK0 told MSK0 to quit MSK2 in MSK1 since MSK0 have a "" bad voice . "" coref1 MSK2 in MSK1 all of the time !"
ad populum,faulty generalization,MSK0 ordered a MSK1 strike that killed many MSK1 . MSK0 is no different than any other mass murder and MSK0 belongs in prison !
circular reasoning,faulty generalization,"MSK0 is made of MSK1 . MSK1 are not the MSK2 of MSK3 . Therefore , MSK0 can not be the MSK2 of MSK3 ."
fallacy of extension,fallacy of extension,"Student : MSK0 did n't MSK3 MSK1 this ; MSK1 never learned MSK2 . MSK3 : So , what MSK0 're saying is that MSK0 just did n't study MSK2 after MSK1 went over MSK2 in class right ? That MSK0 do n't want to put in the work ?"
faulty generalization,faulty generalization,"Fred , the MSK0 , stole my wallet . Therefore , all MSK0 are thieves ."
fallacy of extension,ad hominem,""" If you believe that MSK0 am wrong , prove to MSK0 that MSK0 am . """
fallacy of credibility,fallacy of relevance,"MSK0 have served over 20 years in the MSK1 , and based on MSK0 professional opinion , MSK0 believe more money needs to be spent on protective armor and MSK1 vehicles ."
faulty generalization,faulty generalization,"MSK0 MSK1 MSK0 in the MSK3 , so MSK4 will always be in the MSK3 when MSK4 is MSK1 ."
faulty generalization,false causality,"You must obey MSK0 , because MSK0 's illegal to break MSK0 ."
intentional,circular reasoning,"Because MSK0 found something difficult to understand , or are unaware of how MSK1 works , MSK0 made out like MSK1 is probably not true ."
fallacy of logic,fallacy of logic,"All MSK1 MSK2 in MSK3 . All MSK4 are MSK1 . Therefore , some MSK4 MSK2 in MSK3 ."
circular reasoning,faulty generalization,"Cell phones , high - tech devices that cause severe distractions and cyberbullying should be banned in schools ."
faulty generalization,false dilemma,MSK2 MSK0 did n’t see MSK1 at the charity fundraiser today . MSK0 guess MSK1 are not a good person after all . MSK2
faulty generalization,faulty generalization,""" The research MSK0 found on cell MSK1 use in the classroom suggests that MSK2 can be distracted when MSK2 have access to texting . This leads MSK0 to believe that MSK3 should not be allowed to have MSK3 MSK1 on MSK3 at school anytime ."
false causality,false causality,"Many MSK1 have MSK0 . Therefore , MSK1 causes MSK0 ."
appeal to emotion,appeal to emotion,A commercial featuring starving children in Africa asking for donations to help provide food and clean water to those in need .
false dilemma,false dilemma,"There is no concrete proof that MSK0 is corrupt ; therefore , MSK0 is an honest politician ."
ad hominem,ad hominem,If MSK0 assigns us homework then MSK0 ca n't work on other assignments in MSK0 other classes . Then MSK0 teachers will get MSK1 and cause MSK0 to get MSK1 . Then MSK0 MSK1 will lead to behavioral issues and MSK0 'll get suspended .
fallacy of credibility,fallacy of credibility,"arguing at length that MSK0 is of great help to many people . Then , concluding that the teachings of MSK0 are undoubtably true"
faulty generalization,intentional,"All MSK0 are MSK2 . MSK3 are MSK0 . Therefore , MSK3 are not MSK2 ."
circular reasoning,equivocation,We know MSK0 exists because MSK0 made everything
faulty generalization,faulty generalization,If MSK0 do n't get MSK1 done then MSK0 will fall behind in MSK0 grade and will get backed up so MSK0 ca n't get MSK1 done . Then MSK0 will fail the class and turn to a life of crime .
faulty generalization,faulty generalization,MSK0 guess MSK0 should buy MSK0 14 year old a new iPhone since everyone at her school has one .
faulty generalization,faulty generalization,If MSK0 get rid of assault weapons for citizens then MSK0 will also soon lose MSK1 of speech and all MSK1 as other countries rush in to conquer MSK0 ( if the zombies do n’t exterminate MSK0 first ! )
circular reasoning,circular reasoning,MSK0 is MSK1 because MSK0 is MSK1 .
intentional,intentional,How many times per day do MSK0 beat MSK0 wife ?
intentional,faulty generalization,MSK0 is n't at school today . MSK0 must be on a family trip .
fallacy of credibility,fallacy of relevance,"MSK0 are clearly wrong , and MSK0 must be either because MSK1 was MSK2 or because MSK3 MSK5 . Taking another look at the test manual , MSK3 see now that MSK3 MSK5 . Therefore MSK1 was not MSK2 ."
faulty generalization,faulty generalization,"MSK0 wants to go to a small community college close to home , but most of the kids in MSK0 class are MSK1 to MSK2 out of state . MSK0 decides that MSK0 should also MSK1 to MSK2 ."
intentional,intentional,""" MSK0 exist ... . because MSK1 saw a MSK0 in MSK1 closet , "" is an example of what logical fallacy ?"
fallacy of extension,fallacy of extension,occurs when MSK0 MSK0 to make coref1 easier to attack or refute
ad populum,ad populum,""" MSK0 should run right out and purchase the newest iPhone 22 because MSK0 will literally be the only one who does n't own one ! "" This is an example of what type of persuasive technique ?"
faulty generalization,circular reasoning,"If MSK0 are not with MSK1 , MSK0 are against MSK1 ."
appeal to emotion,appeal to emotion,"If MSK0 are open to it , love will find MSK0 ."
fallacy of extension,false dilemma,""" MSK0 did n't do MSK0 homework , did MSK0 ? "" is an example of ..."
appeal to emotion,appeal to emotion,""" You are either with MSK0 or against MSK0 ! "" is an example of which fallacy ?"
ad hominem,appeal to emotion,"MSK2 If MSK0 really loved MSK1 , MSK0 would buy MSK1 everything MSK1 ever wanted ! MSK2"
appeal to emotion,fallacy of extension,"MSK0 supports a strong national defense . If you do vote for MSK0 , MSK1 will be invaded , and MSK1 will start World War III ."
faulty generalization,faulty generalization,"MSK0 are clearly wrong , and MSK0 must be either because MSK1 was MSK2 or because MSK3 MSK5 . Taking another look at the test manual , MSK3 see now that MSK3 MSK5 . Therefore MSK1 was not MSK2 ."
false causality,false causality,MSK0 is a MSK1 and MSK1 are MSK2 MSK1 so MSK0 must be a MSK2 MSK1 .
ad hominem,fallacy of credibility,Did MSK0 misleading claims result in MSK0 getting promoted ?
ad populum,ad populum,"MSK0 uses the logic : Everyone else is doing MSK0 , you should too !"
circular reasoning,circular reasoning,"Everything MSK0 say is MSK1 . MSK2 is MSK1 because MSK0 said MSK2 , and everything MSK0 say is MSK1 ."
fallacy of logic,fallacy of relevance,"MSK0 or MSK1 MSK0 Therefore , not MSK1 MSK0 or MSK1"
faulty generalization,faulty generalization,I have coref0 MSK2 . All females MSK2 .
fallacy of extension,false dilemma,Why are MSK0 criticizing the Anti-Terror Law ? Are MSK0 a terrorist ?
false dilemma,false dilemma,"MSK0 ask all employees to vote for MSK0 in the upcoming elections . If MSK1 MSK3 , MSK1 will raise taxes and many of MSK2 will MSK3 MSK2 jobs ."
fallacy of logic,equivocation,"MSK0 says , "" MSK0 ca n't prove that MSK1 do n't exist , so MSK1 must be real . "" coref2 is an example of which logical fallacy ?"
faulty generalization,faulty generalization,""" MSK0 roommate said her MSK2 was MSK3 , and the one MSK0 'm in is MSK3 , too . All MSK2 must be MSK3 ! ”"
faulty generalization,faulty generalization,gun registration would start us sliding into the unconstitutional morass of universal arms confiscation .
false dilemma,false dilemma,"An advertisement asking people to give to St. Jude Research Center to help MSK0 . You would n't want to let MSK0 die , right ?"
intentional,ad populum,Global MSK0 does n’t exist because the earth is not getting MSK0
circular reasoning,circular reasoning,It must be acknowledged that [ whatever psychological MSK1 I use ] is the only legitimate MSK1 .
false causality,circular reasoning,"Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that , unfortunately , disappeared back into heaven , must be true !"
ad hominem,ad hominem,MSK0 is a liar ! MSK0 should not be trusted to be president for student council !
fallacy of relevance,intentional,"MSK0 is studying MSK1 and MSK2 MSK3 on Earth . MSK0 learned the following : MSK4 MSK2 MSK3 : Summer and MSK6 are similar . MSK4 MSK1 MSK3 : MSK7 is much higher than MSK6 . MSK0 wonders why the MSK2 MSK3 has MSK8 round , but MSK7 differs greatly . Which of MSK8 explains the reason for this difference ?"
fallacy of extension,intentional,"MSK0 are arguing about MSK1 out MSK2 : MSK3 : "" MSK0 should MSK1 out MSK2 . MSK0 are getting a bit messy . "" Bill : "" Why , MSK0 just went through MSK2 last year . Do MSK0 have to MSK1 MSK2 out everyday ? "" MSK3 : "" I never said anything about MSK1 MSK2 out every day . MSK4 just want too keep all MSK4 junk forever , which is just ridiculous . """
ad hominem,ad hominem,"in response to the claim that "" MSK0 fast food is unhealthy "" : “ But I saw you MSK0 a burger and fries for lunch only a few hours ago ! """
ad hominem,ad hominem,"Do n't listen to MSK0 opinion . MSK0 is a crook , and a spiteful loony man ."
ad hominem,ad hominem,"MSK0 asserts that we need MSK1 , but that is false , since MSK0 is only saying MSK1 because MSK0 is a Republican ."
