text,label,coarse_label
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost.",faulty generalization,fallacies of defective induction
My fridge isn't working. I should probably finish that book I've been reading.,fallacy of logic,fallacies of defective induction
"""We can't allow students to be paid for their grade because next thing you know they'll expect to be paid just for waking up in the morning.""",faulty generalization,fallacies of defective induction
"Your mom gets your phone bill, and you have gone over the limit. You begin talking to her about how hard your math class is and how well you did on a test today.",fallacy of relevance,fallacy of relevance
"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a textbook in my medical exam.",fallacy of logic,fallacies of defective induction
"“This is how most schools evaluate their students, so it must be effective.”",ad populum,fallacy of relevance
Even though people say we are going to behave; we know they won't behave well.,faulty generalization,fallacies of defective induction
My teacher always brings up stuff about Women's Rights. She only cares about it because she is a woman. The stats she shows us are probably bias.,ad hominem,fallacy of relevance
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion,fallacy of relevance
"You can’t prove your candidate will win, so I assume he won’t",intentional,fallacy of relevance
People who eat yogurt have healthy guts. If I eat yogurt I will never get sick.,false causality,fallacies of defective induction
"Trump asked Clinton about her “33,000“ deleted emails, but Clinton responds by correcting him rather than addressing the deleted emails: “Not — well, we turned over 35,000, so…”",fallacy of relevance,fallacy of relevance
"In the court trial deliberations, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is:",ad populum,fallacy of relevance
You either are for us or you are all against,false dilemma,fallacies of defective induction
All women are bad drivers.,faulty generalization,fallacies of defective induction
"My friend told me to quit singing in the car since I have a ""bad voice."" She sings in the car all of the time!",ad hominem,fallacy of relevance
"In government, arguing for raising taxes - ""We need more revenue to support the programs that we have. Children are our future. Let's support children.""",fallacy of relevance,fallacy of relevance
FDR was a mighty engine pulling country out of desert of Great Depression,fallacy of logic,fallacies of defective induction
"Person A: I think pollution from humans contributes to climate change.
Person B: So, you think humans are directly responsible for extreme weather, like hurricanes, and have caused the droughts in the southwestern U.S.?",fallacy of extension,fallacy of relevance
"But professor, I got all these facts from a program I saw on TV once... I don’t remember the name of it though.",equivocation,fallacy of ambiguity
"Issue A has been raised, and adequately answered.
Issue B is then raised, and adequately answered.
.....
Issue Z is then raised, and adequately answered.
(despite all issues adequately answered, the opponent refuses to conceded or accept the argument.",intentional,fallacy of relevance
"Student: You didn't teach us this; we never learned this.

Teacher: So, what you're saying is that you just didn't study it after we went over it in class right? That you don't want to put in the work?",fallacy of extension,fallacy of relevance
Look at people like Michael Vick and OJ Simpson. Professional athletes really have no sense of morality.,faulty generalization,fallacies of defective induction
"All ghosts are imaginary.
All unicorns are imaginary.
Therefore, all ghosts are unicorns.",fallacy of logic,fallacies of defective induction
"David is so wrong about Luna's work ethic. David is just an egotistical jerk with a God complex, what does he know?",ad hominem,fallacy of relevance
"Every sunrise, the rooster makes a sound. So it is the rooster which makes the sun rise.",false causality,fallacies of defective induction
"President Obama’s decision to arm Syrian rebels, however meagerly, has all but doomed us to an Iraq-style debacle",faulty generalization,fallacies of defective induction
"My new sport psychology intervention works! I chose the player with the lowest batting average based on the last game from each of the teams in our amateur baseball league. Then I gave each of them my 5-minute intervention. And almost all of them improved their batting average in the next game!"" (Note: this example may also involve the statistical phenomenon of regression to the mean.",false causality,fallacies of defective induction
"Earthquakes are caused when the plates of the Earth's crust move. Earthquakes happen along ""fault lines"" in the earth’s crust. When the plates in the Earth suddenly shift, the Earth will begin to shift, shake or tremble.
What is the central idea?",false causality,fallacies of defective induction
You oversleep and then fail a test; so you assume that oversleeping causes you to fail tests,false causality,fallacies of defective induction
"Person 1: I think pollution from humans contributes to climate change.

Person 2: So, you think humans are directly responsible for extreme weather, like hurricanes, and have caused the droughts in the southwestern U.S.? If that’s the case, maybe we just need to go to the southwest and perform a “rain dance.”",fallacy of extension,fallacy of relevance
"Marcus wants to go to a small community college close to home, but most of the kids in his class are applying to larger colleges out of state. Marcus decides that he should also apply to those colleges.",ad populum,fallacy of relevance
"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true.""  represents which fallacy?",ad populum,fallacy of relevance
Millions of people drink Diet Coke every year so it must be the best soft drink in the world.,ad populum,fallacy of relevance
"Pointing to a fancy chart, Roger shows how temperatures have been rising over the past few centuries, whilst at the same time the numbers of pirates have been decreasing; thus pirates cool the world and global warming is a hoax.",false causality,fallacies of defective induction
"""Senator Jones says that we should not fund the attack submarine program. I disagree entirely. I can't understand why he wants to leave us defenseless like that.""",fallacy of extension,fallacy of relevance
"This trick, which literally means ""to the guy,"" distorts a person's character subtly or blatantly, undermining their reputation regardless of how compelling their point is.",ad hominem,fallacy of relevance
"Dad, either you let me go to the party or you're a bad dad.",false dilemma,fallacies of defective induction
"Most people believe in ghosts, so ghosts are real.",ad populum,fallacy of relevance
"If you are open to it, love will find you.",equivocation,fallacy of ambiguity
"Education is important for the future of the American people and our country.   So, you should choose to study at St. Cloud State University.",fallacy of relevance,fallacy of relevance
"Wilma: You cheated on your income tax. Don't you realize that's wrong?
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?",ad hominem,fallacy of relevance
"When you are late getting home-past curfew-you distract your parents by talking to them about the weather-how cold it is, or how rainy it is.",fallacy of relevance,fallacy of relevance
"If we control Covid-19 with measures that are too draconian, we could wind up with a government that regularly clamps down on its citizens, with bar codes on wrists and cameras in your houses that watch you all the time.",faulty generalization,fallacies of defective induction
You are either with God or against him.,false dilemma,fallacies of defective induction
Everybody does it.  You should too.,ad populum,fallacy of relevance
"You call your cell phone provider to complain about how poor your cell phone battery life is after the recent software update. The representative, instead of responding to your concern, praises the provider’s new unlimited text-messaging plans that are due to be released in the next month.",fallacy of relevance,fallacy of relevance
"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”",false causality,fallacies of defective induction
a lifelong Republican who was against Obamacare until it saved his life.,appeal to emotion,fallacy of relevance
His opinions about sports mean nothing - he can barely tie his own shoes!,ad hominem,fallacy of relevance
I didn’t steal your pen—I borrowed it,equivocation,fallacy of ambiguity
"America is the best place to live, because it's better than any other country.",circular reasoning,fallacies of presumption
"After years of ignoring God, people have a hard time realizing what is right and what is wrong, what is good and what is bad.",circular reasoning,fallacies of presumption
What can our new math teacher know? Have you seen how fat she is?,ad hominem,fallacy of relevance
A persuasive technique meant to influence a person’s emotions.,appeal to emotion,fallacy of relevance
"Saying that the burden of proof lies not with the person making the claim, but with someone else to disprove.",intentional,fallacy of relevance
"There is no concrete proof that Duterte himself is corrupt; therefore, he is an honest politician.",intentional,fallacy of relevance
"We should offer movies on our company’s website. REPLY: No, we’ve built our company’s fortune by renting movies only through our stores.",fallacy of credibility,fallacies of defective induction
Why shouldn't I gossip about Laura Jane? You know she talks about us every chance she gets.,fallacy of relevance,fallacy of relevance
"SuperCyberDate.con determined that Sally and Billy are a great match because they both like pizza, movies, junk food, Janet Jackson, and vote republican.",intentional,fallacy of relevance
"Willard: I just realized that I will probably never go bald!
Fanny: Why is that?
Willard:  Well, if I lose just one hair, I will not be bald, correct?
Fanny: Of course.
Willard: If I lose two hairs?
Fanny: No.
Willard: Every time I lose a hair, the loss of that one hair will not make me bald; therefore, I will never go bald.
Fanny: Congratulations, you found the cure to baldness -- stupidity!
",equivocation,fallacy of ambiguity
"peer pressure, persuasion based on the the foundation that everybody’s doing it.",ad populum,fallacy of relevance
A few students are misbehaving...therefore the whole class is bad. What fallacy is this an example of?,faulty generalization,fallacies of defective induction
"“If we let teenagers wear whatever they want to school, they will no longer respect the rules and academic performance will decline.”",faulty generalization,fallacies of defective induction
"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""What do you know? You've never even had a pet cat before!""",ad hominem,fallacy of relevance
"Which rhetorical fallacy is a broad statement about people on the basis of gender, ethnicity, race, or political, social, professional, or religious group?",faulty generalization,fallacies of defective induction
"The anti-terrorist laws that monitor international currency transfers, phone calls, and emails are the first step to turning our fragile democracy into a new Nazi regime.",faulty generalization,fallacies of defective induction
"Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid.",ad hominem,fallacy of relevance
"Millions of people are Marxists, so Marxist economic and political theories are  correct.",ad populum,fallacy of relevance
"""You haven't held a steady job since 1992. Worse than that, we couldn't find a single employer who'd provide you with a good reference.""",ad hominem,fallacy of relevance
"No one has ever been able to prove that extraterrestrials do not exist, so they must be real.",intentional,fallacy of relevance
Have you stopped cheating on exams?,intentional,fallacy of relevance
"I'm not a doctor, but I play one on the hit series, ""Bimbos and Studmuffins in the OR."" You can take it from me that when you need a safe and effective pain killer, there is nothing better then MorphiPill 2000. That is my professional medical opinion.",fallacy of credibility,fallacies of defective induction
"“We should abolish the death penalty. Many respected people, such as Imran Kader, have publicly stated their opposition to it.”",fallacy of credibility,fallacies of defective induction
"The goal of people who ask us to wear masks to pure compliance, to practice controlling a witless population. We are not sheep!",fallacy of extension,fallacy of relevance
"""Bernie Saunders wouldn't make a good president because he looks like a sad muppet.""",ad hominem,fallacy of relevance
"Saying that you support a specific candidate for class president, only because he has recently been diagnosed with cancer is an example of which fallacy?",appeal to emotion,fallacy of relevance
"""How could you not believe in ghosts? Roughly two billon people believe in them, so don't you think you should reconsider your opinion?""",ad populum,fallacy of relevance
"Three kids in one class failed the Jane Eyre quiz, I guess,all the other classes will all fail it, too.",faulty generalization,fallacies of defective induction
Dr. Bloom cannot be a competent marriage counselor because he is divorced.,ad hominem,fallacy of relevance
"Everyone should be patient and wait for his or her turn in line. However, I need to go to the front because I am late for an appointment.",intentional,fallacy of relevance
"Argues that ""we've always done it that way."" In other words, because something worked in the past, it is the correct thing to do.",fallacy of credibility,fallacies of defective induction
"Mom: You used up all of the data on our phone plan this month!
Kid: I had a math test today that was really, really hard. Can you just forgive me this one time?",fallacy of relevance,fallacy of relevance
"Jason and his family are heading to Utah to spend a week skiing. Looking at the weather reports, he notices that it is supposed to be warmer, making for lousy ski conditions. Angrily, he calls the Weather Channel and demands that they change their forecast so he will have better weather for the trip.",false causality,fallacies of defective induction
"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born.",false causality,fallacies of defective induction
AttP 3: Shirley MacLaine selling copies to many people makes her topic of choice true.,ad populum,fallacy of relevance
"The CEO of that company hates the environment, so I hate him and won’t buy their products.",ad hominem,fallacy of relevance
"Boy , those sound like pretty terrible, epicly fascist (hint) robots.",fallacy of relevance,fallacy of relevance
"Braden, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",ad hominem,fallacy of relevance
"This tactic plays upon a viewer's lack of knowledge by forcing the idea that the situation is static. Unless the audience is well-informed and aware of this deception, they may think that they have only two choices.",false dilemma,fallacies of defective induction
"Yesterday you were 5 minutes late, today 10, and tomorrow you won't even show up!",faulty generalization,fallacies of defective induction
"“Pain-Away worked for me, so it’s sure to work for you, too.”",faulty generalization,fallacies of defective induction
The reason billions of children starve to death each year is because we live in a world that does not care.,circular reasoning,fallacies of presumption
"""If you lie, than you will end up in jail."" Is an example of...",faulty generalization,fallacies of defective induction
We should pass a constitutional amendment making it illegal to burn the American flag. Anyone who thinks otherwise just hates America.,fallacy of extension,fallacy of relevance
"""The Cardinals are the best football team because they're better than all the other teams.""",circular reasoning,fallacies of presumption
"If you're going to add that much salt to the soup, you might as well pour the whole box in!",faulty generalization,fallacies of defective induction
"Senator Jones wants a strong national defense, but I will not vote for him because he moved to Canada to avoid being drafted for war when he was in college.",ad hominem,fallacy of relevance
"“He’s not a great athlete; he’s a fraud, a cheat and a liar. That’s why not everybody is ‘happy for Lance.'”",ad hominem,fallacy of relevance
"My philosophy professor believes in ghosts and goes to séances. She’s an intelligent, educated, person, so ghosts must be real, and spiritualism must be true.",fallacy of credibility,fallacies of defective induction
"Scientist: Evolution explains how animals developed, adapted and diversified over millions of years.
Opponent: If we evolved from monkeys, why are there still monkeys? And why don't we have three arms? Wouldn't that give me a competitive advantage?
What kind of a logical fallacy is this?",fallacy of extension,fallacy of relevance
"Trump presents a dark image of America if Clinton is elected, with “Syrian refugees flooding in, illegal immigrants convicted of crimes staying.”",faulty generalization,fallacies of defective induction
"""Blondes are less intelligent than people with other hair colors.""",faulty generalization,fallacies of defective induction
"No one has ever been able to prove that extraterrestrials exist, so they must not be real.",intentional,fallacy of relevance
The red bicycle is red.,circular reasoning,fallacies of presumption
“I don’t understand why you’re saying I broke a promise. I said I’d never speak again to my ex-girlfriend. And I didn’t. I just sent her a quick text.”,equivocation,fallacy of ambiguity
My job interview did not go well. I'll never get a job.,faulty generalization,fallacies of defective induction
"Why does the law state that you have to be 21 years old to drink?  Does it really make any difference if you are 20 years and 364 days old?  That is absurd.  Therefore, if a single day makes no difference, then a collection of 1095 single days won’t make any difference. Therefore, changing the drinking age to 18 will not make any difference.",equivocation,fallacy of ambiguity
"Senator Jones supports a strong national defense. If you do vote for him, our country will be invaded, and it will start World War III.",appeal to emotion,fallacy of relevance
Your either for America or against her!!!,false dilemma,fallacies of defective induction
"President Bennett is an effective communicator, because he has a natural talent for speaking with people.
against",circular reasoning,fallacies of presumption
"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too.",faulty generalization,fallacies of defective induction
"You said that because an authority thinks something, it must therefore be true.",fallacy of credibility,fallacies of defective induction
"""The building is closed. I saw 2 people standing outside the door.""What is this type of logical fallacy?",faulty generalization,fallacies of defective induction
"I don't think we need to talk to the people in the Justice Department about the practicality of enforcing this bill. The Justice Department is full of Democrats, and they are already biased against it.",ad hominem,fallacy of relevance
"Speaker 1: Did you torture the prisoner?
Speaker 2: No, we just held him under water for a while, and then did a mock hanging.",equivocation,fallacy of ambiguity
"If I eat this donut today, I'll probably do it again tomorrow and the next day, and then I'll never be able to eat healthy again.",faulty generalization,fallacies of defective induction
use of people's desire to be part of the group to convince them,ad populum,fallacy of relevance
"We must have a poltergeist in the house. When the dog ran under the table, the vase just seemed to jump off the shelf all by itself.",fallacy of logic,fallacies of defective induction
Which case is not a False Dichotomy?,fallacy of relevance,fallacy of relevance
Have you accepted the fact that most environmental studies don’t support global warming?,intentional,fallacy of relevance
"""America: Love it or leave it""
This is an example of which kind of logical fallacy?",false dilemma,fallacies of defective induction
The accident was caused by the taxi parking in the street,false causality,fallacies of defective induction
"""Some tall people recently vandalized the park. Tall people are so irresponsible.""",faulty generalization,fallacies of defective induction
"""The mind is like a knife, cutting through difficult problems. But just as too much cutting dulls a knife, so too much education dulls the mind.""",fallacy of logic,fallacies of defective induction
Portraying one's opponent's position in a simplified manner so that it is easy to argue against.,fallacy of extension,fallacy of relevance
Do you think that we should convict this criminal?,intentional,fallacy of relevance
Running the government is like running a business. You can’t keep running into debt and expect to be successful.,faulty generalization,fallacies of defective induction
"In 2011, Christian broadcaster, Harold Camping, (once again) predicted the end of the world via Jesus, and managed to get many Christians to join his alarmist campaign.  During this time, and especially after the Armageddon date had passed,  many Christian groups publicly declared that Camping is not a “true Christian”.  On a personal note, I think Camping was and is as much of a Christian as any other self-proclaimed Christian and religious/political/ethical beliefs aside, I give him credit for having the cojones to make a falsifiable claim about his religious beliefs.Example #2:",intentional,fallacy of relevance
"""The government should not prohibit drugs. Otherwise the government should also ban alcohol or cigarettes. And then fatty food and junk food would have to be regulated too. The next thing you know, the government would force us to brush our teeth and do exercises everyday.""",faulty generalization,fallacies of defective induction
"""If my years as a Marine taught me anything, it's that caution is the best policy in this sort of situation.""?",fallacy of credibility,fallacies of defective induction
"""Chick fil A is the greatest food chain in existence. Look at the crowds!""",ad populum,fallacy of relevance
"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue.",ad hominem,fallacy of relevance
This fallacy distracts from the argument by pointing out hypocrisy in the opponent.,ad hominem,fallacy of relevance
"""You didn't do your homework, did you?"" is an example of...",intentional,fallacy of relevance
"""Shell was charged with misleading advertising in its Platformate advertisements. A Shell spokesman said: 'The same comment could be made about most good advertising of most products.'""",ad populum,fallacy of relevance
"Professor X holds that the use of non-invasive ventilation has no place in the management of ARDS; this, therefore, is the approach we should adopt.",fallacy of credibility,fallacies of defective induction
Andanar is unfit for the position because he seems unqualified for it.,circular reasoning,fallacies of presumption
"Mr. Equalminded's idea for implementing affirmative action in the university's admission process is complete folly. He says he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender of the color of their skin, then what's going to happen to our reputation?",fallacy of relevance,fallacy of relevance
"Speaker 1: I think marijuana should be legalized. It would be better for the country if we didn’t have this drug war.
Speaker 2: Of course you think that. You’re a pothead.",ad hominem,fallacy of relevance
Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.,ad hominem,fallacy of relevance
Texting has killed people’s ability to write in complete sentences with proper grammar.,false causality,fallacies of defective induction
Tik Tok is popular among teens because so many of them use it.,circular reasoning,fallacies of presumption
"""To get better schools, we have to raise taxes. If we don't, we can't have better schools.""",false dilemma,fallacies of defective induction
MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland.,ad hominem,fallacy of relevance
" Karen is a thirty-something-year-old female who drives a mini-van, lives in the suburbs, and wears mom jeans. Is Karen more likely to be a woman or a mom?",faulty generalization,fallacies of defective induction
"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration. Taking another look at the test manual, I see now that I bungled the test administration. Therefore the client was not malingering.",false dilemma,fallacies of defective induction
"Not only is paying a higher income tax a patriotic duty, it is also a sacred obligation.",ad populum,fallacy of relevance
The mayor argued that we need to reduce funding for the animal shelter in order to balance the budget. Don't vote for someone who doesn't think the government should care about animals.,fallacy of extension,fallacy of relevance
"We live in paradise, but we don't know it.",fallacy of logic,fallacies of defective induction
"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.""",ad hominem,fallacy of relevance
All people from Pinole are liars,ad hominem,fallacy of relevance
"""Either you are for us, or you're against us!""",false dilemma,fallacies of defective induction
Broccoli has significantly less fat than the leading candy bar!,faulty generalization,fallacies of defective induction
There is definitely a link between autism and the vaccines given to toddlers. I know this because a Wikipedia entry mentioned numerous studies that found this to be true.,fallacy of credibility,fallacies of defective induction
If I made a reference to a monk I would most likely be utilizing...,fallacy of credibility,fallacies of defective induction
"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?",ad populum,fallacy of relevance
"Interviewer: ""Your resume looks impressive but I need another reference.""
Bill: ""Jill can give me a good reference.""
Interviewer: ""Good. But how do I know that Jill is trustworthy?""
Bill: ""Certainly. I can vouch for her.""",circular reasoning,fallacies of presumption
"So you are saying your car is worth $20k.  I think it is worth $1, so let’s just compromise and say it is worth $10k. (Assuming the car is worth $20k)",fallacy of relevance,fallacy of relevance
Cardenas roots for a British football team. Clearly he’s unfit to be a chef at the new restaurant,ad hominem,fallacy of relevance
"If you do not believe in God, you will go to hell.",appeal to emotion,fallacy of relevance
Albert Einstein was extremely impressed with this theory.,fallacy of credibility,fallacies of defective induction
"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.",ad hominem,fallacy of relevance
"The book ""Investing for Dummies"" really helped me understand my finances better. The book ""Chess for Dummies"" was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well.",fallacy of logic,fallacies of defective induction
"Person 1:
I am for raising the minimum wage in our state.
Person 2:
She is for raising the minimum wage, but she is not smart enough to even run a business.",ad hominem,fallacy of relevance
"If you don't buy the black pencils, you will get made fun of. You will not be chosen for group projects.",appeal to emotion,fallacy of relevance
"""Real Cubans understand presumption of guilt.""",intentional,fallacy of relevance
"If you allow one student to take an online course, soon
everyone will want to, and the schools will be empty.",faulty generalization,fallacies of defective induction
"""Ghosts exist.... because I saw a ghost in my closet,"" is an example of what logical fallacy?",circular reasoning,fallacies of presumption
"“Since event Y followed event X, event Y must have been caused by event X”. What fallacy is described in this logical form?",false causality,fallacies of defective induction
"“It’s wrong to tax corporations—think of all the money they give to charity, and think of the costs they already pay to run their businesses!”",appeal to emotion,fallacy of relevance
This persuasive technique is used to make you feel left out if you don't join the group.,ad populum,fallacy of relevance
"“Grading this exam on a curve would be the most fair thing to do. After all, classes go more smoothly when the students and the professor are getting along well.”",fallacy of relevance,fallacy of relevance
"""Aliens must exist because there is no evidence that they don't exist.""",intentional,fallacy of relevance
"“The best minds in physics have studied physics most of their lives, as it’s necessary to study physics extensively to become a top physicist.”",circular reasoning,fallacies of presumption
You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.,faulty generalization,fallacies of defective induction
Politician Running for Public Office: You can all trust what I say. I have never lied in my life.,circular reasoning,fallacies of presumption
"In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!""",circular reasoning,fallacies of presumption
"When an advertiser tries to make a connection with the audience emotionally through sappy stories, music, sad puppies, etc...",appeal to emotion,fallacy of relevance
"“Are you going to do well in school, or are you going to succeed as a cadet?”",false dilemma,fallacies of defective induction
"You let my sister pierce her ears when she was 11, so you should let me stay up until midnight.",fallacy of logic,fallacies of defective induction
"I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles.",fallacy of credibility,fallacies of defective induction
You use support from someone who is a trustworthy expert.,fallacy of credibility,fallacies of defective induction
"when evidence boils down to ""everybody's doing it, so it must be a good thing to do

""cuando la evidencia se reduce a ""todo el mundo lo está haciendo, por lo que debe ser algo bueno""",ad populum,fallacy of relevance
My way of responding to difficult patients is by far the most ethical because no other way is so ethical and it is the only way that is completely ethical.,circular reasoning,fallacies of presumption
"Most of my testimony about the defendant was the opposite of what I actually believe but I'll bet there's no expert witness who has always told the truth from the time they were old enough to talk, so I'm no less honest than they are.",faulty generalization,fallacies of defective induction
A lion is a cat and cats are good pets so a lion must be a good pet.,faulty generalization,fallacies of defective induction
"Thanks to her enduring popularity with employees, Sophia Lloyd is the best-liked CEO in our company's history.",circular reasoning,fallacies of presumption
You can tell that guy's Mexican - he's wearing a sombrero.,faulty generalization,fallacies of defective induction
4 percent of Americans believe that lizard people control politics.,intentional,fallacy of relevance
Children who play violent video games act more violently than those who don’t.,false causality,fallacies of defective induction
"""All my friends are doing a low carb diet. That must be the only way to lose weight."" Mentioned Murtaza",ad populum,fallacy of relevance
"Hydrogen is not wet.  Oxygen is not wet.  Therefore, water (H2O) is not wet.Example #3:
Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",faulty generalization,fallacies of defective induction
"Cathy is opposed to social media because she would rather have a face-to-face conversation. However, more and more of Cathy's friends have joined social media sites, so Cathy feels like she needs to create an account as well.",ad populum,fallacy of relevance
Global warming doesn’t exist because the earth is not getting warmer,circular reasoning,fallacies of presumption
"""All eighteen-year-olds have the right to vote because it's legal for them to vote.""",circular reasoning,fallacies of presumption
I hated the movie because it was the worst movie I ever saw.,circular reasoning,fallacies of presumption
"“I know that what I experience is real because I can see, hear, smell, touch and taste everything.”",circular reasoning,fallacies of presumption
"If the argument is supposed to be about whether or not we, as the American public should wear masks, and you argue: ""Asking an infant to wear a mask is ridiculous!""",fallacy of extension,fallacy of relevance
"People have believed that fish is ""brain food"" for decades, so I don't believe the  FDA when they claim that eating fish does not enhance the intellect.",fallacy of credibility,fallacies of defective induction
Don't buy any of the clothes made by that company. Most of them are made in China so they must be cheap.,ad hominem,fallacy of relevance
"In the United States, one can vote for either Democrats or Republicans.",false dilemma,fallacies of defective induction
"Marriage has traditionally been between a man and a woman; therefore, gay marriage should not be allowed.",fallacy of credibility,fallacies of defective induction
"Employer: It says here on your resume that you are a hard worker, you pay attention to detail, and you don’t mind working long hours.
Andy: Yes sir.
Employer: I spoke to your previous employer.  He says that you constantly change things that should not be changed, you could care less about other people’s privacy, and you had the lowest score in customer relations.
Andy: Yes, that is all true, as well.
Employer: Great then.  Welcome to our social media team!
",intentional,fallacy of relevance
"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",false causality,fallacies of defective induction
Either you eat this meatloaf or you eat nothing.,false dilemma,fallacies of defective induction
"First senator: The nation is in debt and we should not add to the defense budget.
Second senator: I cannot believe you want to leave the nation defenseless!",fallacy of extension,fallacy of relevance
That restaurant is popular because everyone in town goes there.,circular reasoning,fallacies of presumption
Tens of thousands of Americans have seen lights in the night sky which they could not identify. The existence of life on other planets is fast becoming certainty !,fallacy of logic,fallacies of defective induction
"""It is what it is!""",circular reasoning,fallacies of presumption
"You didn’t even finish high school, how could you possible know about this?",ad hominem,fallacy of relevance
Everyone is doing the Low-Carb Diet.,ad populum,fallacy of relevance
"Person 1: “I am for raising the minimum wage in our state.” Person 2: “She is for raising the minimum wage, but she is not even smart enough to run a business.",ad hominem,fallacy of relevance
"Person 1: Bicycle infrastructure should be expanded because cycling is a sustainable mode of transportation.
Person 2: We should not build bike lanes because cyclists run red lights and endanger pedestrians.",fallacy of extension,fallacy of relevance
"My cat sleeps all day, so cats must be pretty lazy.",faulty generalization,fallacies of defective induction
Which fallacy is used to promote something based on popularity?,ad populum,fallacy of relevance
When you have too little or unrepresentative data to make claim.,faulty generalization,fallacies of defective induction
"If you were a true Catholic, you would never eat meat on Friday even if it was the only food available.",ad populum,fallacy of relevance
"""My best friend tweeted about the health benefits of pizza, and so we're going to out to eat two vegetable pizzas tonight.""",fallacy of credibility,fallacies of defective induction
There's no point listening to you. Everybody knows you're just a little do-gooder.,ad hominem,fallacy of relevance
"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",appeal to emotion,fallacy of relevance
"Bruce is American, or he is not from New Jersey.
Bruce is not American, therefore, he is not from New Jersey.",fallacy of logic,fallacies of defective induction
Justin's mom gets his phone bill and he has gone over the limit. He begins talking to her about how hard his math class is and how well he did on a test today.,fallacy of relevance,fallacy of relevance
"""If you do not submit your requirements today, you should drop your classes with Sir Lean.""",false dilemma,fallacies of defective induction
Believing that taco bell is healthy for you because everyone else does.,ad populum,fallacy of relevance
"My minister says the Covid vaccine will cause genetic mutations. He has a college degree, and is a holy man, so he must be right.",fallacy of credibility,fallacies of defective induction
"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization,fallacies of defective induction
We admit that the measure is popular. But we also urge you to note that there are so many bond issues on the ballot that the whole thing is getting ridiculous.,fallacy of relevance,fallacy of relevance
"I know that our TV advertisements are more effective than radio. The numbers show that we hit twice the audience with TV, and our focus groups remember the TV commercial 38 percent more than the radio slot.",faulty generalization,fallacies of defective induction
This is an example of what logic fallacy?,appeal to emotion,fallacy of relevance
"The medicine man rolled into town on his bandwagon offering various natural remedies, such as very special plain water. He said that it was only natural that people should be wary of 'artificial' medicines such as antibiotics.",fallacy of credibility,fallacies of defective induction
Over 99 billion people served…,ad populum,fallacy of relevance
The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.,circular reasoning,fallacies of presumption
"“If we allow gay people to get married, then the next thing you know people will be wanting to marry their pets!”",faulty generalization,fallacies of defective induction
"Don’t waste food, people in Marawi are suffering because of hunger.",appeal to emotion,fallacy of relevance
"If it barks, it is a dog.
It doesn’t bark.
Therefore, it’s not a dog.",fallacy of logic,fallacies of defective induction
"I go to my front porch every morning and yell, “May no tigers enter this house!” and for 20 years, not a single tiger has entered my house. My tiger prevention strategy clearly works.",false causality,fallacies of defective induction
