split,sentence,label
test,"Thomas: ""Dating apps are an effective way to meet potential dates. With people's busy work schedules nowadays, technology can help you make connections.""
Nina: ""Dating apps are dangerous! Most people are catfished, and guys usually pretend to be so much better than they really are online. If we're so busy, we won't have time for any of that, anyway.""
What fallacy is Nina leaning toward? lbl07",fallacy of extension
test,", that it must be true lbl02",ad populum
test,The Freehold Raceway Mall is the best mall because there are always so many cars there. lbl02,ad populum
test,This fallacy isn’t proof of anything except that you don’t know something. lbl11,intentional
test,We cannot listen to John’s opinion on global warming because he is a tree hugger. lbl06,ad hominem
test,"She is good at writing because she writes words effectively."" lbl03",circular reasoning
test,iPhones are the best phone because everyone has them. lbl02,ad populum
test,"Teachers don't have lives.""My best friend said her English class was hard, and the one I'm in is hard too. All English classes must be hard."" lbl05",faulty generalization
test,"An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California. lbl10",fallacy of credibility
test,We must eliminate affirmative action. We can’t rely on laws to end racial prejudice. lbl04,fallacy of relevance
test,Let’s go buy the iPhone X in spite of the $999 price tag--all of our friends have one already! lbl02,ad populum
test,40 million people can't be wrong! Buy the new Iphone XIV today! lbl02,ad populum
test,"I deserve to have a later curfew, so you should let me stay out until 10pm! lbl03",circular reasoning
test,"""The Philippines is in poverty because of poor people."" lbl03",circular reasoning
test,"“We must accept the traditions of the men of old time who affirm themselves to be the offspring of the gods - that is what they say - and they must surely have known their own ancestors. How can we doubt the word of the children of the gods?” - Plato, Timaeus lbl03",circular reasoning
test,"""You are clearly just too young to understand this issue!"" lbl06",ad hominem
test,Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president? lbl06,ad hominem
test,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."" lbl02",ad populum
test,Let’s go buy the iPhone X in spite of the $999 price tag--all of our friends have one already! lbl02,ad populum
test,Schools are like families; therefore teachers (like parents) should be allowed to discipline their students. lbl09,fallacy of logic
test,", rather than considering the content of what the person is saying? lbl06",ad hominem
test,"Everyone already believes that the defendant killed her husband, and that many people can't be wrong. lbl02",ad populum
test,"The Earth is round.
Therefore, Trump. lbl09",fallacy of logic
test,"A father talking to his daughter on dating a boyfriend he doesn’t like says, “If you continue dating this guy who doesn’t take his education seriously, you’ll end up dropping out of school, you then won’t be able to get a job, and you will get married too young.” lbl05",faulty generalization
test,"""Many democrats don't want a border wall with Mexico, which means they don't want to keep Americans safe"" IS an example of this fallacy. lbl07",fallacy of extension
test,Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president? lbl06,ad hominem
test,We think this new MallTime game app will be a success because all girls like shopping. lbl05,faulty generalization
test,Historians agree that studying the past is the best way to avoid repeating mistakes. lbl08,equivocation
test,"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either. lbl05",faulty generalization
test,The teenagers where rude and disrespectful therefore all teenagers are rude and disrespectful. lbl05,faulty generalization
test,"Some of you have objected to the new test batteries that were purchased for our program, alleging that they have no demonstrable validity, were not adequately normed for the kind of clients we see, and are unusable for clients who are physically disabled. What you have conveniently failed to mention, however, is that they cost less than a third of the price for the other tests we had been using, are much easier to learn, and can be administered and scored in less than half the time of the tests we used to use. lbl04",fallacy of relevance
test,The Tooth Fairy is real because nobody has proven she doesn't exist.' This is an example of which fallacy? lbl11,intentional
test,President Trump said that he was proud of the children who participated in this year's Special Olympics. Those kids are a bunch of losers. lbl06,ad hominem
test,"""You are clearly just too young to understand this issue!"" lbl06",ad hominem
test,"Either you believe what I’m saying, or you must believe exactly the opposite. lbl12",false dilemma
test,Passing federal laws to control the amount of violence in music is the first step in a process that will result in absolute government control of the media and total censorship over all forms of artistic expression. lbl05,faulty generalization
test,"My opponent raises a good point, but can we really trust him? I mean, he moved to this town two years ago and everyone knows that his wife left him. lbl06",ad hominem
test,We are not weak if we make a proper use of those means which the God of nature hath placed in our power. lbl10,fallacy of credibility
test,Saying that a compromise between two extremes is the truth lbl04,fallacy of relevance
test,God must exist because every culture has some sort of belief in a higher being. lbl02,ad populum
test,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made? lbl05",faulty generalization
test,"When the arguer is attacked vs. the argument that is attacked, this is an example of: lbl06",ad hominem
test,"Asserting that if we allow ""A"" to happen, then ""Z"" will consequently happen too, therefore ""A"" should not happen. lbl05",faulty generalization
test,"“The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.” lbl01",false causality
test,Stating that something should be done (or agreed to) because everyone else thinks this way. lbl02,ad populum
test,"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."" lbl06",ad hominem
test,I don't understand why you're saying I broke a promise. I said I'd never speak to my ex-girlfriend again. And I didn't. I just sent her some pictures and text messages. lbl08,equivocation
test,"""People who don't support the proposed state minimum wage increase must hate the poor so much.""

Which logical fallacy is used in the statement above? lbl07",fallacy of extension
test,"”You can start a family early, or build financial stability for a better family life in the future.” lbl12",false dilemma
test,Allowing abortion in the first week of pregnancy would lead to allowing it in the ninth month lbl05,faulty generalization
test,"While jogging around the neighborhood, you are more likely to get bitten by someone’s pet dog, than by any member of the canine species. lbl05",faulty generalization
test,"Mr. Stark's idea for implementing affirmative action in the university's admission process is complete folly. He say's he wants the student body to represent diversity in the community. But that's ridiculous. I suppose this means we'll have to throw out our academic standards while were at it. After all, if we're going to let students into our prestigious institution just because of their gender or the color of their skin, then what's going to happen to our reputation?

Identify the logical fallacy commited in this argument. lbl07",fallacy of extension
test,"Lindsay's mom is concerned when she finds out that Lindsay skipped class one day. She tells Lindsay that she will now start skipping more frequently. Then she will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of her life.
What type of fallacy has Lindsay's mom committed? lbl05",faulty generalization
test,I dropped the ball because Mercury is in retrograde. lbl01,false causality
test,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates lbl06",ad hominem
test,"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this. lbl10",fallacy of credibility
test,"Audrey: I am a human being. I am not a cyborg from the future here to destroy humanity.
Fred: Prove that you are human! Cyborgs don't pass out when they lose a lot of blood. Here's a knife.
Audrey: Get to bed, Freddie. And no more SYFY channel before bed!
 lbl11",intentional
test,"Jimmy stole Tommy’s lunch in the past.
Therefore, it is acceptable for Tommy to steal Jimmy’s lunch today. lbl04",fallacy of relevance
test,We must eliminate affirmative action. We can’t rely on laws to end racial prejudice. lbl04,fallacy of relevance
test,something that kills is deadly lbl03,circular reasoning
test,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money! lbl01",false causality
test,Big deal! Lots of people cheat too. lbl04,fallacy of relevance
test,"It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating. lbl05",faulty generalization
test,"Company R.E. are working on advertisement for a new juice drink. Some of their marketing employees went to a school to do a survey on students’ beverage preference. The majority said they preferred orange-flavored drinks, so Jeff told his superiors that orange was the flavor favored most by high school students. lbl02",ad populum
test,"An ad claims that 3 out of 4 real estate agents reccommend moving to Sunnyville, California. lbl10",fallacy of credibility
test,I would never buy a Buick. My father owned two of them and both of them had frequent transmission problems. Buicks obviously break down all the time. lbl05,faulty generalization
test,"""I am torn between studying for the quiz or not. But, I know that if I don't study for the quiz, I will fail. If I fail the quiz, I get a D in the class. If I get a D, it will lower my GPA. If my GPA lowers, I can't play football. If I can't play football, I don't get a scholarship. No scholarship, no college. No college, no life!"" lbl05",faulty generalization
test,"Rick: I need to know if we should stop for lunch or not.  You are either hungry or not hungry, which is it?

Tina: If being hungry is being able to eat, I am always hungry.
 lbl07",fallacy of extension
test,"""People who don't support the proposed state minimum wage increase must hate the poor so much.""

Which logical fallacy is used in the statement above? lbl07",fallacy of extension
test,We can't believe what he says out of that ugly mouth of his. lbl06,ad hominem
test,Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming. lbl07,fallacy of extension
test,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
 lbl10",fallacy of credibility
test,Kerry’s plan will raise taxes by at least $900 billion his first hundred days. lbl11,intentional
test,"“I admire the president for being a good role model.” REPLY: “But the New York Times says he’s a lousy role model, so you’re wrong.” lbl10",fallacy of credibility
test,I cannot listen to anyone who does not share my social and political values. lbl06,ad hominem
test,"Oh, please. What do you know about labor laws? You don't even have a job. lbl06",ad hominem
test,"The majority of students are in favor of changing the colors of the graduation gowns to a single color to not exclude those that are non-binary, but a few people complained it wasn't ""tradition"" , so let's meet in the middle and just allow students to not attend graduation if they don't want to wear the traditional black and gold. lbl04",fallacy of relevance
test,The president of Honduras is a good leader because he is a leader of the country. This is an example of which common fallacy? lbl03,circular reasoning
test,"The economy grows as the number of likes on my Instagram account continue to increase. Clearly, the two are linked. lbl01",false causality
test,"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this. lbl10",fallacy of credibility
test,One cigarette will lead youth to addiction lbl05,faulty generalization
test,"If you don't say the Pledge of Allegiance, then you must be a traitor. lbl12",false dilemma
test,Stating that something should be done (or agreed to) because everyone else thinks this way. lbl02,ad populum
test,The Senator thinks we can solve all our ecological problems by driving a Prius. lbl07,fallacy of extension
test,"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called... lbl12",false dilemma
test,Personally attacking someone to shift attention away from your views is lbl06,ad hominem
test,We can't believe what he says out of that ugly mouth of his. lbl06,ad hominem
test,"The economy grows as the number of likes on my Instagram account continue to increase. Clearly, the two are linked. lbl01",false causality
test,"Rick: I need to know if we should stop for lunch or not.  You are either hungry or not hungry, which is it?

Tina: If being hungry is being able to eat, I am always hungry.
 lbl07",fallacy of extension
test,"I don't see how you can believe he is not guilty of that crime. He's a terrible person and I can prove it. In fact, several years ago he was convicted of that same kind of crime. lbl04",fallacy of relevance
test,"If this test were based on fraudulent norms, then it would be invalid. But the norms are not fraudulent. Therefore, this test is valid. lbl09",fallacy of logic
test,"We have to stop the tuition increase! The next thing you know, they'll be charging $40,000 a semester! lbl05",faulty generalization
test,"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true. lbl06",ad hominem
test,"""Dad, it's difficult to make a living on my salary.""

""Consider yourself lucky. When I was your age, I was living on $40 a week."" lbl04",fallacy of relevance
test,Senator Curry is against the new F-99 laser fighter. I’m for it because I don’t want to leave America defenseless. lbl07,fallacy of extension
test,"Company R.E. are working on advertisement for a new juice drink. Some of their marketing employees went to a school to do a survey on students’ beverage preference. The majority said they preferred orange-flavored drinks, so Jeff told his superiors that orange was the flavor favored most by high school students. lbl02",ad populum
test,"Throughout history, most philosophers thought men were more rational than women, therefore this is true. lbl02",ad populum
test,"The makers of Sugarette Candy Drinks point to research showing that of the five countries where Sugarette drinks sell the most units, three of them are in the top ten healthiest countries on Earth, therefore Sugarette drinks are healthy. lbl11",intentional
test,Not believing in the Tooth Fairy is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank. lbl09,fallacy of logic
test,Christine has a terrible experience with a boyfriend. She decides that all boys are mean. lbl05,faulty generalization
test,The Senator thinks we can solve all our ecological problems by driving a Prius. lbl07,fallacy of extension
test,"If you don't get up early every day you will be late. The more you are late the more trouble you will get into. The more trouble you get into, you will end up losing your job and your family will starve. (This is an example of...) lbl05",faulty generalization
test,"Dr. McKenzie said all kids can fly, so it must be true! lbl10",fallacy of credibility
test,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made? lbl05",faulty generalization
test,", that it must be true lbl02",ad populum
test,Have you stopped cheating on tests?  To answer yes means you cheated before. To answer no means you continue to cheat. lbl11,intentional
test,Personally attacking someone to shift attention away from your views is lbl06,ad hominem
test,Which type of appeal is used in the following phrases from the Declaration of Independence: “appealing to the Supreme Judge of the world” and “with a firm reliance on the protection of divine providence”? lbl10,fallacy of credibility
test,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
 lbl10",fallacy of credibility
test,"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand. Therefore, it must be great. lbl05",faulty generalization
test,We think this new MallTime game app will be a success because all little girls like shopping. lbl05,faulty generalization
test,"When asked about his comments Trump made on his tape with Billy Bush, Trump responded, “It’s locker room talk, and it’s one of those things. I will knock the hell out of ISIS. We’re going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS.” lbl04",fallacy of relevance
test,"""Everyone is wearing the new skinny jeans from American Eagle. Are you?"" lbl02",ad populum
test,"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too. lbl09",fallacy of logic
test,This type of ad taps into a person's desire to be part of a group. lbl02,ad populum
test,"If you aren’t a capitalist, you must be a communist. lbl12",false dilemma
test,"All of my red-headed friends are good dancers. Therefore, all red-headed people must be good dancers. 
This assumption from my experience is an example of lbl05",faulty generalization
test,iPhones are the best phone because everyone has them. lbl02,ad populum
test,"I know for a fact that ghosts exist. My friend, who is a very reliable person, has seen ghosts on many occasions. lbl05",faulty generalization
test,"Julie was trying to demonstrate to the audience of her speech that gender inequality is like ordering fast food. ""It's not good for us,"" she said, ""but we do it all the time and men tend to go out for a burger and fries more than women do.""
What fallacy is this? lbl09",fallacy of logic
test,My opponent is trying to convince you that we evolved from monkeys who were swinging from trees; a truly ludicrous claim. lbl07,fallacy of extension
test,Have you stopped cheating on tests?  To answer yes means you cheated before. To answer no means you continue to cheat. lbl11,intentional
test,"The economy grows as the number of likes on my Instagram account continue to increase. Clearly, the two are linked. lbl01",false causality
test,Big deal! Lots of people cheat too. lbl04,fallacy of relevance
test,"If everyone believes it, you should too! lbl02",ad populum
test,"""You're a Westener and you're an idiot."" lbl06",ad hominem
test,"Our house was burglarized right after that new family moved in next door. Therefore, that new family must have been involved. lbl01",false causality
test,SM 5: Argument regarding insanity as a defense against execution lbl04,fallacy of relevance
test,"Speaker 1: No fault divorce has proven to be detrimental to society and the family.
Speaker 2: You didn’t seem to think that when you got divorced. lbl06",ad hominem
test,We are not weak if we make a proper use of those means which the God of nature hath placed in our power. lbl10,fallacy of credibility
test,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp. lbl09,fallacy of logic
test,"""We must legalize weed, it is tearing families apart."" Response: ""But look at all those druggies getting arrested, they are obviously criminals."" lbl04",fallacy of relevance
test,"I currently have as patients in my practice all the patients in this town who are willing and able to pay $5,000 per session for long-term twice-weekly therapy. If you buy my practice, all my clients will be included. Therefore, if you buy my practice you will then have at least some patients willing and able to pay $5,000 per session for long-term twice-weekly therapy. lbl09",fallacy of logic
test,Repeating the same thing as if you’re proving something lbl03,circular reasoning
test,Pay taxes or go to jail lbl12,false dilemma
test,"Charlie: Illegal posting and sharing of songs online are crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers. lbl07",fallacy of extension
test,"In a study designed by a famous academic to test the effects of pleasant imagery on motivation, employees were shown images of baby animals and beautiful nature scenes for their first five minutes at work.

Amazingly, results showed a 10 percent leap in profits in the first quarter and record earnings over the course of a year. So, showing employees pleasant images is a great way to increase their motivation and improve productivity lbl10",fallacy of credibility
test,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday. lbl06",ad hominem
test,You appealed to popularity or the fact that many people do something as an attempted form of validation. lbl02,ad populum
test,Which type of appeal is used in the following phrases from the Declaration of Independence: “appealing to the Supreme Judge of the world” and “with a firm reliance on the protection of divine providence”? lbl10,fallacy of credibility
test,"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too. lbl09",fallacy of logic
test,"I don't see how you can believe he is not guilty of that crime. He's a terrible person and I can prove it. In fact, several years ago he was convicted of that same kind of crime. lbl04",fallacy of relevance
test,sending M-16s to Syrian rebels inevitably mean boots on the ground in Damascus. lbl05,faulty generalization
test,"The majority of students are in favor of changing the colors of the graduation gowns to a single color to not exclude those that are non-binary, but a few people complained it wasn't ""tradition"" , so let's meet in the middle and just allow students to not attend graduation if they don't want to wear the traditional black and gold. lbl04",fallacy of relevance
test,"I have no intention of stopping the use of somatostatin on patients suffering from acute pancreatitis. I consider it to be a very reasonable choice. After all, it has been standard practice in our department for many years and we’ve been quite satisfied with the results we’ve had. lbl10",fallacy of credibility
test,"Mob of people: Lower taxes! Lower taxes!

Politician: People, your taxes are high because of illegal immigrants. That's right—illegal immigrants. We need to get rid of them.

Mob of people: (murmuring amongst themselves) Hmmm... immigrants. Let's get rid of them! lbl04",fallacy of relevance
test,"Company R.E. are working on advertisement for a new juice drink. Some of their marketing employees went to a school to do a survey on students’ beverage preference. The majority said they preferred orange-flavored drinks, so Jeff told his superiors that orange was the flavor favored most by high school students. lbl02",ad populum
test,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."" lbl02",ad populum
test,I'd also like you to consider the possibility that these people intend to attack both Mandela and myself. That doesn't mean I'm excluding the possibility that it really is Mandela these lunatics are after. I just want you to think critically about what you are doing. Pieter van Heerden was murdered. That means there are eyes and ears everywhere. Experience has taught me that red herrings are an important part of intelligence work. Do you follow me? lbl04,fallacy of relevance
test,"Bill: Hey, did you hear we have a new operating system out now?  It is better than anything else out there because we just released it!
Steve: What’s it called?
Bill: Windows Vista!
Steve: Sounds wonderful!  I can’t wait until all of your users install it on all their computers!
 lbl10",fallacy of credibility
test,Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president? lbl06,ad hominem
test,"Do most Americans believe in God? To find out, we asked over 10,000 scientists at colleges and universities throughout America. Less than 40 percent said they believed in God. The conclusion is obvious: Most Americans no longer believe in God. lbl05",faulty generalization
test,"I have no intention of stopping the use of somatostatin on patients suffering from acute pancreatitis. I consider it to be a very reasonable choice. After all, it has been standard practice in our department for many years and we’ve been quite satisfied with the results we’ve had. lbl10",fallacy of credibility
test,"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.” lbl06",ad hominem
test,"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses. lbl04",fallacy of relevance
test,"If you don't get up early every day you will be late. The more you are late the more trouble you will get into. The more trouble you get into, you will end up losing your job and your family will starve. (This is an example of...) lbl05",faulty generalization
test,Everyone is/is not doing it! It must/must not be a good thing! lbl02,ad populum
test,Everyone is buying the new iPhone that’s coming out this weekend. You have to buy it too lbl02,ad populum
test,President Trump said that he was proud of the children who participated in this year's Special Olympics. Those kids are a bunch of losers. lbl06,ad hominem
test,I don't understand why you're saying I broke a promise. I said I'd never speak to my ex-girlfriend again. And I didn't. I just sent her some pictures and text messages. lbl08,equivocation
test,"""Everyone is wearing the new skinny jeans from American Eagle. Are you?"" lbl02",ad populum
test,"""everyone is doing it"" mentality lbl02",ad populum
test,"Mr. Gough supports the cell phone ban and he's an idiot, so we should let teachers keep their cell phones. lbl06",ad hominem
test,"At a recent cocktail party, the conversation has turned to family pets, and your friend asks you “Are you a cat or a dog person?"" lbl12",false dilemma
test,Eighty-five percent of those surveyed said that it is important to have a cell phone. lbl01,false causality
test,"When your mom gets your phone bill and you have gone over the limit, you begin talking to her about how hard your math class is and how well you did on a test today. lbl04",fallacy of relevance
test,"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates. lbl06",ad hominem
test,taps into people's desire to belong lbl02,ad populum
test,It’s cold on a summer day. Global warming is a hoax. lbl01,false causality
test,"Everyone already believes that the defendant killed her husband, and that many people can't be wrong. lbl02",ad populum
test,"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."" lbl02",ad populum
test,There is definitely a link between dementia and drinking energy drinks. I read about it on Wikipedia. lbl10,fallacy of credibility
test,"""1 is a number and 2 is a number so 1 = 2"" lbl09",fallacy of logic
test,"Wife: Should we buy the house?
Husband: The Realtor didn’t say anything about any problems, so I am sure it is fine. Let’s get it!
 lbl05",faulty generalization
test,"""everyone is doing it"" mentality lbl02",ad populum
test,"Ross Geller, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true. lbl10",fallacy of credibility
test,Don’t believe what Alex says about global warming. Alex dropped out of college! lbl06,ad hominem
test,We are not weak if we make a proper use of those means which the God of nature hath placed in our power. lbl10,fallacy of credibility
test,Repeating the same thing as if you’re proving something lbl03,circular reasoning
test,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you? lbl02,ad populum
test,People from big cities are not as friendly as those from small towns. lbl05,faulty generalization
test,"Accused on the 6 o'clock news of corruption and taking bribes, the senator said that we should all be very wary of the things we hear in the media, because we all know how very unreliable the media can be. lbl06",ad hominem
test,Stating that something should be done (or agreed to) because everyone else thinks this way. lbl02,ad populum
test,"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again. lbl01",false causality
test,Why would you lend money to some who looks like they don't have a job? lbl06,ad hominem
test,"""Judge Danforth in the play, 'The Crucible,' offers Proctor two choice: you are either with this court or against it"" IS an example of this fallacy. lbl12",false dilemma
test,"Speaker 1: No fault divorce has proven to be detrimental to society and the family.
Speaker 2: You didn’t seem to think that when you got divorced. lbl06",ad hominem
test,"Cocaine is all natural; therefore, it is good for you. lbl10",fallacy of credibility
test,Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming. lbl07,fallacy of extension
test,"While jogging around the neighborhood, you are more likely to get bitten by someone’s pet dog, than by any member of the canine species. lbl05",faulty generalization
test,"Mob of people: Lower taxes! Lower taxes!

Politician: People, your taxes are high because of illegal immigrants. That's right—illegal immigrants. We need to get rid of them.

Mob of people: (murmuring amongst themselves) Hmmm... immigrants. Let's get rid of them! lbl04",fallacy of relevance
test,something that kills is deadly lbl03,circular reasoning
test,"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark.
Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""
 lbl06",ad hominem
test,"Ted: Biological evolution is both a theory and a fact.

Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum!

Ted: Actually, that is a gross misrepresentation of my assertion. I never claimed we evolved from pond scum. lbl07",fallacy of extension
test,"“No! Don't eat that piece of chocolate. Today, it's one piece of chocolate, but tomorrow, you've gained 20 lbs!” lbl05",faulty generalization
test,"Latin should not be taught in school since it is not spoken anywhere in the world. All learning should have some use to be of value, and a dead language has no practical use. lbl04",fallacy of relevance
test,"Misrepresents the context from which a quotation is taken; putting words or ideas in people’s mouth/head; creating a “dummy” or fake or falsified argument or situation so you can attack it .
This is what fallacy? lbl07",fallacy of extension
test,"My friend said that if you sneeze more than three times, you have the corona virus. lbl10",fallacy of credibility
test,"Teachers don't have lives.""My best friend said her English class was hard, and the one I'm in is hard too. All English classes must be hard."" lbl05",faulty generalization
test,"Brandon: We should have tastier lunches!
Jaylen: Don't listen to him! He's a terrible person! I saw him trip another student and steal his lunch money! lbl06",ad hominem
test,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday. lbl06",ad hominem
test,"When sales of hot chocolate go up, street crime drops. lbl01",false causality
test,The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned. lbl03,circular reasoning
test,"When sales of hot chocolate go up, street crime drops. lbl01",false causality
test,"If you don't say the Pledge of Allegiance, then you must be a traitor. lbl12",false dilemma
test,"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark.
Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""
 lbl06",ad hominem
test,"On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude! lbl05",faulty generalization
test,"An influencer posts on Instagram that the restaurant ""EP is poppin'! Everyone worth knowing is here tonight - come on down!"" -- this is an example of: lbl02",ad populum
test,"Latin should not be taught in school since it is not spoken anywhere in the world. All learning should have some use to be of value, and a dead language has no practical use. lbl04",fallacy of relevance
test,"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates. lbl06",ad hominem
test,"Dad drank at parties, too lbl06",ad hominem
test,“It’s important to argue logically because logic is an essential part of argumentation.” lbl03,circular reasoning
test,"Conclude that because A happens then B, C, D, E, F, G, H, I, J, K, L… will inevitably happen. lbl05",faulty generalization
test,Cheesecake Factory is the best because it is always crowded lbl02,ad populum
test,"""Truly helps cramming for a test: my psychological test is crowded and I have an A."" lbl01",false causality
test,"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine! I can't believe you think the government should be allowed to regulate what I share with my friends. No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers. lbl07",fallacy of extension
test,"Lola: I don't think John would be a good fit to manage this project, because he doesn't have a lot of experience with project management.
John: But you don't have a lot of experience in project management either! lbl06",ad hominem
test,Has your psychology department stopped teaching that ineffective approach to therapy yet? lbl03,circular reasoning
test,"The majority of students are in favor of changing the colors of the graduation gowns to a single color to not exclude those that are non-binary, but a few people complained it wasn't ""tradition"" , so let's meet in the middle and just allow students to not attend graduation if they don't want to wear the traditional black and gold. lbl04",fallacy of relevance
test,"Only asking 5 people their opinion about Christian Heritage and saying their opinions are the ""majority"" of people. lbl11",intentional
test,"“I admire the president for being a good role model.” REPLY: “But the New York Times says he’s a lousy role model, so you’re wrong.” lbl10",fallacy of credibility
test,iPhones are the best phone because everyone has them. lbl02,ad populum
test,"If the government allows psychologists to prescribe medications there will be no basis to block them from obtaining competence and legal authority to conduct other traditionally medical procedures such as diagnosing minor skin irritations, treating a sprained ankle, setting a broken bone, and performing neurosurgery."" Or: ""Never reduce a fee for any patient for any reason or else you'll find yourself constantly reducing fees for everyone, everyone will take advantage of you, your patients will lose respect for you and for therapy, and you'll loose money and go bankrupt. lbl05",faulty generalization
test,We can either agree with Barbara's plan or just let the project fail. There is no other option. lbl12,false dilemma
test," Circular definition: a definition that is circular.
 lbl03",circular reasoning
test,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper, too. lbl05",faulty generalization
test,"The Bible is true because God exists, and God exists because the Bible says so. lbl03",circular reasoning
test,Which type of appeal is used in the following phrases from the Declaration of Independence: “appealing to the Supreme Judge of the world” and “with a firm reliance on the protection of divine providence”? lbl10,fallacy of credibility
test,"Bill says Jenny would make a good class president, but Bill makes bad grades, so we shouldn’t vote for Jenny. lbl06",ad hominem
test,"Charlie: Illegal posting and sharing of songs online are crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers. lbl07",fallacy of extension
