sentence,fine_class,sentence+prompt,prompt,coarse_class
All hunting is inhumane and should be outlawed.,circular reasoning,All hunting is inhumane and should be outlawed. Logic x: hunting is inhumane Logic y: hunting should be outlawed , Logic x: hunting is inhumane Logic y: hunting should be outlawed ,component fallacy
"Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday.
Which logical fallacy is represented here?",faulty generalization,Almost all of the students I talked to said that they don't like the senator. I'm sure he'll lose the election on Tuesday. Which logical fallacy is represented here? [1/3] No concrete proof that the presidential candidate isn't corrupt [2/3] No concrete proof that the presidential candidate is corrupt [3/3] The presidential candidate's corruption is not concrete proof that the presidential candidate is corrupt , [1/3] No concrete proof that the presidential candidate isn't corrupt [2/3] No concrete proof that the presidential candidate is corrupt [3/3] The presidential candidate's corruption is not concrete proof that the presidential candidate is corrupt ,component fallacy
You can't be my partner in class because you didn't donate to the Hurricane Sandy fundraiser.,ad hominem,"You can't be my partner in class because you didn't donate to the Hurricane Sandy fundraiser. I can't be your partner in class because you didn't DONATE to the Hurricane Sandy fundraiser"" I can't be your partner in class because you didn't DONATE to the Hurricane Sandy fundraiser"" I can't be your partner in class because you didn't DONATE to the Hurricane Sandy fundraiser"" What am I doing wrong here? A: There is a lot going on in your code for yo"," I can't be your partner in class because you didn't DONATE to the Hurricane Sandy fundraiser"" I can't be your partner in class because you didn't DONATE to the Hurricane Sandy fundraiser"" I can't be your partner in class because you didn't DONATE to the Hurricane Sandy fundraiser"" What am I doing wrong here? A: There is a lot going on in your code for yo",fallacy of relevance
"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal'",ad hominem,"When Squealer/Napoleon calls Snowball a 'traitor', and 'criminal' he isn't really trying to prove that those things are true. Even if Snowball had done all the things he's accused of, that doesn't actually prove Squealer/Napoleon's claims about him are correct; it only proves that it is false. \$"," he isn't really trying to prove that those things are true. Even if Snowball had done all the things he's accused of, that doesn't actually prove Squealer/Napoleon's claims about him are correct; it only proves that it is false. \$",fallacy of relevance
"""But this here research must go on. This space effort must go on"" is an example of which logical fallacy?",circular reasoning,"""But this here research must go on. This space effort must go on"" is an example of which logical fallacy? Thanks in advance Logic x : this here research must go on Logic y : this space effort must go on Logic x : this here research must go on because Logic y : there is an economic problem Logic x : there is an economic problem because this here research must go on Logic y : Logic x : there is an economic problem because there is an economic problem. A: Sentence 15 is a conditional reasoning error", Thanks in advance Logic x : this here research must go on Logic y : this space effort must go on Logic x : this here research must go on because Logic y : there is an economic problem Logic x : there is an economic problem because this here research must go on Logic y : Logic x : there is an economic problem because there is an economic problem. A: Sentence 15 is a conditional reasoning error,component fallacy
"Coke is not as healthy for you as Pepsi. Besides, Britney Spears drinks Pepsi, so it must be healthier than Coke.",fallacy of credibility,"Coke is not as healthy for you as Pepsi. Besides, Britney Spears drinks Pepsi, so it must be healthier than Coke. Claim Y: is not as healthy for you as Pepsi Credibility: ", Claim Y: is not as healthy for you as Pepsi Credibility: ,fallacy of relevance
Why shouldn't I gossip about Laura Jane? You know she talks about us every chance she gets.,fallacy of relevance,Why shouldn't I gossip about Laura Jane? You know she talks about us every chance she gets. Claim X: gossip about Laura Jane Claim Y: talks about us every chance she gets , Claim X: gossip about Laura Jane Claim Y: talks about us every chance she gets ,fallacy of relevance
"Autumn is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise the library will be forced to close.""

Of what fallacy is this an example?",false dilemma,"Autumn is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise the library will be forced to close."" Of what fallacy is this an example? I\’ve looked at this example and I'm not sure which fallacy this is. Fallacy? \’False Conclusion\’ Fallacy \’No real Cause and Effect\’ Fallacy <|endoftext|",I\’ve looked at this example and I'm not sure which fallacy this is. Fallacy? \’False Conclusion\’ Fallacy \’No real Cause and Effect\’ Fallacy <|endoftext|,component fallacy
"There you are cheating on your husband, how could you ever tell us anything meaningful about ethics?",ad hominem,"There you are cheating on your husband, how could you ever tell us anything meaningful about ethics? attack: I\'m cheating on my husband claim: How could you ever tell us anything meaningful about ethics? ", attack: I\'m cheating on my husband claim: How could you ever tell us anything meaningful about ethics? ,fallacy of relevance
That restaurant is popular because everyone in town goes there.,circular reasoning,That restaurant is popular because everyone in town goes there. Argument: that restaurant is popular Intention: to prove that restaurant is popular , Argument: that restaurant is popular Intention: to prove that restaurant is popular ,component fallacy
" Tony: I bought a book on the law of attraction and two days later I won $30k in a lottery. I wasn’t a believer of the law of attraction before, but now I am!
",false causality," Tony: I bought a book on the law of attraction and two days later I won $30k in a lottery. I wasn’t a believer of the law of attraction before, but now I am! Population: I bought a book on the law of attraction and two days later I won $30k in a lottery. Belief: I wasn’t a believer of the law of attraction before, but now I am! Claim: I was not a believer of the law of attraction before, but now I am. ","Population: I bought a book on the law of attraction and two days later I won $30k in a lottery. Belief: I wasn’t a believer of the law of attraction before, but now I am! Claim: I was not a believer of the law of attraction before, but now I am. ",component fallacy
"If it was raining outside, it would be dark. It’s dark outside, so it must be raining.",fallacy of logic,"If it was raining outside, it would be dark. It’s dark outside, so it must be raining. Arg 1: it was raining outside Arg 2: it’s dark outside, so it must be raining "," Arg 1: it was raining outside Arg 2: it’s dark outside, so it must be raining ",component fallacy
"""You passed everyone in the class, so I should get extra credit"" is an example of",fallacy of logic,"""You passed everyone in the class, so I should get extra credit"" is an example of what is called a ""Red Herring"" Arg 1: You passed everyone\ Arg 2: I should get extra credit "," what is called a ""Red Herring"" Arg 1: You passed everyone\ Arg 2: I should get extra credit ",component fallacy
"Mother: You should stop smoking. It's harmful to your health.
Daughter: Why should I listen to you? You started smoking when you were 16!",ad hominem,"Mother: You should stop smoking. It's harmful to your health. Daughter: Why should I listen to you? You started smoking when you were 16! Can I find the above sentences in the corpus? A: For future reference, I can provide a working implementation of your regex with the re python library: import re def parseSentences(s): sentence_groups = re.split(r""(?>\W+)\W+(?>\W+)"", s.split()) for sentence_group in sentence_groups: if (sentence_group or """") in sentence_group: return sentence_group retur"," Can I find the above sentences in the corpus? A: For future reference, I can provide a working implementation of your regex with the re python library: import re def parseSentences(s): sentence_groups = re.split(r""(?>\W+)\W+(?>\W+)"", s.split()) for sentence_group in sentence_groups: if (sentence_group or """") in sentence_group: return sentence_group retur",fallacy of relevance
"Minds, like rivers, can be broad. The broader the river, the shallower it is. Therefore, the broader the mind, the shallower it is.",fallacy of logic,"Minds, like rivers, can be broad. The broader the river, the shallower it is. Therefore, the broader the mind, the shallower it is. Arg 1: minds, like rivers, can be broad Arg 2: minds like rivers are broad, so minds are narrow "," Arg 1: minds, like rivers, can be broad Arg 2: minds like rivers are broad, so minds are narrow ",component fallacy
Either we pass this ordinance or there will be rioting in the streets.,false dilemma,Either we pass this ordinance or there will be rioting in the streets. Choice 1: pass this ordinance Choice 2: rioting in the streets ,Choice 1: pass this ordinance Choice 2: rioting in the streets ,component fallacy
"Either we accept the findings of this study demonstrating that this new intervention is the best to be used for this disorder, or we must no longer call ourselves scientists, psychologists, or reasonable people.",false dilemma,"Either we accept the findings of this study demonstrating that this new intervention is the best to be used for this disorder, or we must no longer call ourselves scientists, psychologists, or reasonable people. Choice 1: accept the findings of this study demonstrating that this new intervention is the best to be used for this disorder Choice 2: no longer call ourselves scientists, psychologists, or reasonable people ","Choice 1: accept the findings of this study demonstrating that this new intervention is the best to be used for this disorder Choice 2: no longer call ourselves scientists, psychologists, or reasonable people ",component fallacy
Which fallacy is used to promote something based on popularity?,ad populum,Which fallacy is used to promote something based on popularity? Population: promoted something Belief: based on popularity Claim: used to promote something. , Population: promoted something Belief: based on popularity Claim: used to promote something. ,fallacy of relevance
"Says Robot 2, attacking Robot 1 instead of his arguments.",ad hominem,"Says Robot 2, attacking Robot 1 instead of his arguments. What fallacy is being committed by Robot 2? <|endoftext|", What fallacy is being committed by Robot 2? <|endoftext|,fallacy of relevance
"Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them!
Teacher: You are too young to understand why it’s important!
Estudiante: ¡Las falacias lógicas no tienen nada que ver con mi vida y no quiero aprenderlas!
Maestro: Eres demasiado joven para entender por qué es importanto!",ad hominem,Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them! Teacher: You are too young to understand why it’s important! Estudiante: ¡Las falacias lógicas no tienen nada que ver con mi vida y no quiero aprenderlas! Maestro: Eres demasiado joven para entender por qué es importanto! , ,fallacy of relevance
"All hotdogs are fast food.
No hamburgers are hotdogs.
Therefore, no hamburgers are fast food.",fallacy of logic,"All hotdogs are fast food. No hamburgers are hotdogs. Therefore, no hamburgers are fast food. ", ,component fallacy
"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy?",fallacy of credibility,"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy? Claim Y: you ask your mother if you can go to the mall with your friends Credibility: you ask why ", Claim Y: you ask your mother if you can go to the mall with your friends Credibility: you ask why ,fallacy of relevance
"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?",fallacy of extension,"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using? A: The use of two fallacious arguments here. First, the appeal to statistics. This fallacy is using a statistical claim to claim a more specific conclusion about something. They're using the statement, ""COVID-19 affects more older people than younger people,"" to mean, ""COVID-19 will cause more deaths in older people."" This fallacy is committed in sentences 10 through 13. The other fallacy is, and this would only be in this sentence, it is a form of ad hominems. This fallacy is not giving someone (anyone) what he or she deserves, but just making an insulting comment. This fallacy is committed in sentence 10 and sentence 12. Here's all the reasons for their fallacies ""We should all stay inside because there's a good chance we'll die if we don't."" What is the point you're making? What is the implication of the fact that there is a better chanc"," A: The use of two fallacious arguments here. First, the appeal to statistics. This fallacy is using a statistical claim to claim a more specific conclusion about something. They're using the statement, ""COVID-19 affects more older people than younger people,"" to mean, ""COVID-19 will cause more deaths in older people."" This fallacy is committed in sentences 10 through 13. The other fallacy is, and this would only be in this sentence, it is a form of ad hominems. This fallacy is not giving someone (anyone) what he or she deserves, but just making an insulting comment. This fallacy is committed in sentence 10 and sentence 12. Here's all the reasons for their fallacies ""We should all stay inside because there's a good chance we'll die if we don't."" What is the point you're making? What is the implication of the fact that there is a better chanc",component fallacy
"when evidence boils down to ""everybody's doing it, so it must be a good thing to do

""cuando la evidencia se reduce a ""todo el mundo lo está haciendo, por lo que debe ser algo bueno""",ad populum,"when evidence boils down to ""everybody's doing it, so it must be a good thing to do ""cuando la evidencia se reduce a ""todo el mundo lo está haciendo, por lo que debe ser algo bueno"" ",,fallacy of relevance
There is definitely a link between autism and the vaccines given to toddlers. I know this because a Wikipedia entry mentioned numerous studies that found this to be true.,fallacy of credibility,There is definitely a link between autism and the vaccines given to toddlers. I know this because a Wikipedia entry mentioned numerous studies that found this to be true. Claim Y: There is definitely a link between autism and the vaccines given to toddlers Credibility: The Wikipedia entry mentioned numerous studies , Claim Y: There is definitely a link between autism and the vaccines given to toddlers Credibility: The Wikipedia entry mentioned numerous studies ,fallacy of relevance
"I have flipped heads five times in a row.  As a result, the next flip will probably be tails.",false causality,"I have flipped heads five times in a row. As a result, the next flip will probably be tails. Why am I talking to an imaginary person in math class? event A: flipped head five time event B: next flip will probably be tails cause: in a row ",Why am I talking to an imaginary person in math class? event A: flipped head five time event B: next flip will probably be tails cause: in a row ,component fallacy
"All the popular guys at school are dyeing their hair purple, so you should, too!",ad populum,"All the popular guys at school are dyeing their hair purple, so you should, too! Arg 1: All the popular guys are dyeing their hair purple Arg 2: you should dye your hair purple, too "," Arg 1: All the popular guys are dyeing their hair purple Arg 2: you should dye your hair purple, too ",fallacy of relevance
"Employer: It says here on your resume that you are a hard worker, you pay attention to detail, and you don’t mind working long hours.
Andy: Yes sir.
Employer: I spoke to your previous employer.  He says that you constantly change things that should not be changed, you could care less about other people’s privacy, and you had the lowest score in customer relations.
Andy: Yes, that is all true, as well.
Employer: Great then.  Welcome to our social media team!
",intentional,"Employer: It says here on your resume that you are a hard worker, you pay attention to detail, and you don’t mind working long hours. Andy: Yes sir. Employer: I spoke to your previous employer. He says that you constantly change things that should not be changed, you could care less about other people’s privacy, and you had the lowest score in customer relations. Andy: Yes, that is all true, as well. Employer: Great then. Welcome to our social media team! A: Let R1 = rain falling outside my window, therefore the sun is not shining Then R2 = ""the sun is not shining"" is true whenever R1 is true, and R3 = ""rain falling outside my window"" is true whenever R2 is true. so 1 is true whenever R1 or R2 is true, 2 is true whenever R2 is true, as 2 is by definition about the truth of R2, 3 is true whenever R2 is true. By contraposition. Therefore R1 is true when 1 is true R2 is true whenever 2 is true, R3 is true whenever 3 is true. <|endoftext|"," Let R1 = rain falling outside my window, therefore the sun is not shining Then R2 = ""the sun is not shining"" is true whenever R1 is true, and R3 = ""rain falling outside my window"" is true whenever R2 is true. so 1 is true whenever R1 or R2 is true, 2 is true whenever R2 is true, as 2 is by definition about the truth of R2, 3 is true whenever R2 is true. By contraposition. Therefore R1 is true when 1 is true R2 is true whenever 2 is true, R3 is true whenever 3 is true. <|endoftext|",fallacy of relevance
"You didn’t even finish high school, how could you possible know about this?",ad hominem,"You didn’t even finish high school, how could you possible know about this? Phenomenon:You didn’t even finish high school, Conclusion: you could be really smart if you wanted. "," Phenomenon:You didn’t even finish high school, Conclusion: you could be really smart if you wanted. ",fallacy of relevance
When someone says that what is true of something as a whole must also be true of each of its parts.,faulty generalization,When someone says that what is true of something as a whole must also be true of each of its parts. that’s like saying the sun is hot. Arg 1: saying that what is true of something as a whole must also be true of each of its parts Arg 2: the sun is hot. , that’s like saying the sun is hot. Arg 1: saying that what is true of something as a whole must also be true of each of its parts Arg 2: the sun is hot. ,component fallacy
"Jimmy stole Tommy’s lunch in the past.

Therefore, it is acceptable for Tommy to steal Jimmy’s lunch today.

",fallacy of relevance,"Jimmy stole Tommy’s lunch in the past. Therefore, it is acceptable for Tommy to steal Jimmy’s lunch today. event A event B cause ## event 1 event 2 event 3 event 4 event 5 ## event 1 ## event1 = ""The moon is not green!"" event 2 event3 = ""It's probably not true that the world is going to end on Monday."" event4 = ""If I ate the same meal every day for the rest of my life I'd develop an eating disorder. I don't think it's true that a little bit of chocolate i","ent A event B cause ## event 1 event 2 event 3 event 4 event 5 ## event 1 ## event1 = ""The moon is not green!"" event 2 event3 = ""It's probably not true that the world is going to end on Monday."" event4 = ""If I ate the same meal every day for the rest of my life I'd develop an eating disorder. I don't think it's true that a little bit of chocolate i",fallacy of relevance
"I had this book that proved that leprechauns are real and have been empirically verified by scientists, but I lost it.  I forgot the name of it as well -- and who the author was.",equivocation,"I had this book that proved that leprechauns are real and have been empirically verified by scientists, but I lost it. I forgot the name of it as well -- and who the author was. Now I remember: it was on eBay. You can only buy it over there, and if I buy it it won't be of any avail to me because I will have forgotten the name of it as well. statement: book proves that leprechauns are real and were empirically verified by scientists premise: the author is unknown conclusion: book wasn't of any avail to me ","Now I remember: it was on eBay. You can only buy it over there, and if I buy it it won't be of any avail to me because I will have forgotten the name of it as well. statement: book proves that leprechauns are real and were empirically verified by scientists premise: the author is unknown conclusion: book wasn't of any avail to me ",equivocation
"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I’m an orphan!",fallacy of relevance,"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I’m an orphan! Population: judge Belief: wants to imprison me Claim: have mercy on me, I’m an orphan. "," Population: judge Belief: wants to imprison me Claim: have mercy on me, I’m an orphan. ",fallacy of relevance
"All this time that you're telling me to improve, you're being lazy yourself.",ad hominem,"All this time that you're telling me to improve, you're being lazy yourself. attack: the way you\'re telling me to improve claim: you\'re being lazy yourself The attack, claim, and claim target features are identified in rows 2 and 3 and the claims in row 10. I don't know if that helps at all. If not, the relevant portion of the code is below: from nl"," attack: the way you\'re telling me to improve claim: you\'re being lazy yourself The attack, claim, and claim target features are identified in rows 2 and 3 and the claims in row 10. I don't know if that helps at all. If not, the relevant portion of the code is below: from nl",fallacy of relevance
"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?

Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!",ad hominem,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system? Cindy-Lou: If you're not happy with the way we do things, we can find someone who is! Gertrude: I'm sure there are some people out there who would be better at it. Who's better at typing, for example? Cindy-Lou: You can start. Gertrude: Me? Cindy-Lou: It's probably best if you started. Gertrude: OK, um, I will do my best Cindy-Lou: Thanks! ","Gertrude: I'm sure there are some people out there who would be better at it. Who's better at typing, for example? Cindy-Lou: You can start. Gertrude: Me? Cindy-Lou: It's probably best if you started. Gertrude: OK, um, I will do my best Cindy-Lou: Thanks! ",fallacy of relevance
"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",fallacy of credibility,"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine. Claim Y: natural disease and sickness Credibility: ", Claim Y: natural disease and sickness Credibility: ,fallacy of relevance
"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes.""",fallacy of logic,"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes."" Population: Jack Belief:is Canadian Claim: All Canadians are good athletes "" "," Population: Jack Belief:is Canadian Claim: All Canadians are good athletes "" ",component fallacy
aliens must have visited Earth,fallacy of logic,aliens must have visited Earth and sent us information so they can be forgiven. Phenomenon: aliens must have visited Earth Conclusion: so they can be forgiven, and sent us information so they can be forgiven. Phenomenon: aliens must have visited Earth Conclusion: so they can be forgiven,component fallacy
The is zero doubt that she has the condition. She scored high on two separate diagnostic tests for it and both tests have shown extremely high validity. That proves she has it.,fallacy of relevance,The is zero doubt that she has the condition. She scored high on two separate diagnostic tests for it and both tests have shown extremely high validity. That proves she has it. Arg 1: the has zero doubt that she has it Arg 2: scores high on two separate diagnostic tests , Arg 1: the has zero doubt that she has it Arg 2: scores high on two separate diagnostic tests ,fallacy of relevance
"In our psychology department, half of the faculty believe that a behavioral approach is the only valid approach; the other half believe that the only valid approach is psychodynamic. Obviously the most valid approach must be one that incorporates both behavioral and psychodynamic elements.",fallacy of relevance,"In our psychology department, half of the faculty believe that a behavioral approach is the only valid approach; the other half believe that the only valid approach is psychodynamic. Obviously the most valid approach must be one that incorporates both behavioral and psychodynamic elements. Claim X: behavioral approach Claim Y: is the only valid approach ", Claim X: behavioral approach Claim Y: is the only valid approach ,fallacy of relevance
"Donald Trump Jr. Tweeted:
If I had a bowl of skittles and I told you just three would kill you. Would you take a handful? That's our Syrian refugee problem.
",faulty generalization,Donald Trump Jr. Tweeted: If I had a bowl of skittles and I told you just three would kill you. Would you take a handful? That's our Syrian refugee problem. Population: Donald Trump Jr. Belief: Tweeted. Claim: Tweeted ,Population: Donald Trump Jr. Belief: Tweeted. Claim: Tweeted ,component fallacy
"Tasha is studying polar and tropical climates on Earth. She learned the following:
• Tropical climates: Summer and winter temperatures are similar.
• Polar climates: Summer temperature is much higher than winter temperature.
Tasha wonders why the tropical climate has the same temperature year round, but the polar climate temperature differs greatly.
Which of these explains the reason for this difference?",false causality,"Tasha is studying polar and tropical climates on Earth. She learned the following: • Tropical climates: Summer and winter temperatures are similar. • Polar climates: Summer temperature is much higher than winter temperature. Tasha wonders why the tropical climate has the same temperature year round, but the polar climate temperature differs greatly. Which of these explains the reason for this difference? Event A: tropical climates Event B: winter Event C: summer is warmer than winter Cause: because of Antarctica ", Event A: tropical climates Event B: winter Event C: summer is warmer than winter Cause: because of Antarctica ,component fallacy
Jimmy isn't at school today. He must be on a family trip.,false causality,"Jimmy isn't at school today. He must be on a family trip. Therefore, I know that his family is going to get him this afternoon! Event A: Jimmy isn't at school today Event B: must be on a family trip. Cause: he is on a family trip. "," Therefore, I know that his family is going to get him this afternoon! Event A: Jimmy isn't at school today Event B: must be on a family trip. Cause: he is on a family trip. ",component fallacy
"Falsely requiring an opponent to “disprove” instead
of you “proving” your argument",intentional,Falsely requiring an opponent to “disprove” instead of you “proving” your argument makes you less accountable for your assumptions. Phenomenon: Falsely requiring an opponent to “disprove” instead of you “proving” your argument makes you less accountable for your assumptions. Conclusion: make you less accountable , makes you less accountable for your assumptions. Phenomenon: Falsely requiring an opponent to “disprove” instead of you “proving” your argument makes you less accountable for your assumptions. Conclusion: make you less accountable ,fallacy of relevance
"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross. What fallacy have you committed?",ad hominem,"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross. What fallacy have you committed? A: You've written the following fallacy: appeal to popularity Here is how we know you have committed it, I'm including the fallacy's actual name in italics in each sentence: sentence 7: Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn’t be allowed to choose an activity. attack: biking is the only thing he ever does claim: He shouldn\'t be allowed to do an activity sentence 8: Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing. attack: he himself is incosistent claim: Dismissing someone's viewpoint on an issue sentence 10: Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him. attack: a coward like him claim: I would never vote for sentence 12: in response to the claim that ""Eating fast food is unhealthy"": \“But I saw you eat a burger and fries fo"," A: You've written the following fallacy: appeal to popularity Here is how we know you have committed it, I'm including the fallacy's actual name in italics in each sentence: sentence 7: Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn’t be allowed to choose an activity. attack: biking is the only thing he ever does claim: He shouldn\'t be allowed to do an activity sentence 8: Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing. attack: he himself is incosistent claim: Dismissing someone's viewpoint on an issue sentence 10: Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him. attack: a coward like him claim: I would never vote for sentence 12: in response to the claim that ""Eating fast food is unhealthy"": \“But I saw you eat a burger and fries fo",fallacy of relevance
"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.",ad populum,"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing. Choice 1: can not give me a ticket Choice 2: was not driving as fast ",Choice 1: can not give me a ticket Choice 2: was not driving as fast ,fallacy of relevance
"Person 1:
I am for raising the minimum wage in our state.
Person 2:
She is for raising the minimum wage, but she is not smart enough to even run a business.",ad hominem,"Person 1: I am for raising the minimum wage in our state. Person 2: She is for raising the minimum wage, but she is not smart enough to even run a business. Person 1: Nope - she is not As you can see, sentence 3 is similar to sentence 10, and sentence 10 is similar to sentence 12, and sentence 14 is similar to sentence 14. Note that there is a single root, but many leaves. What I can't figure out is how to remove some of the leaves. For example, I'm willing to ignore the part of the sentence which says that you must be wrong - as shown in sentence 5. There are no common patterns between sentence 6 and sentence 7. For instance, in sentence 6 ""the candidate"" is the subject and not the object, and in sentence 7 its the object which is the subject. So I can't just drop the claim and the attack in sentences "," Person 1: Nope - she is not As you can see, sentence 3 is similar to sentence 10, and sentence 10 is similar to sentence 12, and sentence 14 is similar to sentence 14. Note that there is a single root, but many leaves. What I can't figure out is how to remove some of the leaves. For example, I'm willing to ignore the part of the sentence which says that you must be wrong - as shown in sentence 5. There are no common patterns between sentence 6 and sentence 7. For instance, in sentence 6 ""the candidate"" is the subject and not the object, and in sentence 7 its the object which is the subject. So I can't just drop the claim and the attack in sentences ",fallacy of relevance
"If you can't prove that Ken had an affair with the nanny, then he's been faithful to his wife.	",false dilemma,"If you can't prove that Ken had an affair with the nanny, then he's been faithful to his wife. Choice 1: prove Ken had an affair with the nanny Choice 2: Ken's been faithful to his wife ",Choice 1: prove Ken had an affair with the nanny Choice 2: Ken's been faithful to his wife ,component fallacy
I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.,faulty generalization,I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese. Phenomenon: tall man. Now I believe that all tall people like cheese Conclusion: now I believe that all tall people like cheese , Phenomenon: tall man. Now I believe that all tall people like cheese Conclusion: now I believe that all tall people like cheese ,component fallacy
If I made a reference to a monk I would most likely be utilizing...,fallacy of credibility,If I made a reference to a monk I would most likely be utilizing... , ,fallacy of relevance
Old Major's speech claiming that ALL the animals will unite and revolt against the humans,ad populum,Old Major's speech claiming that ALL the animals will unite and revolt against the humans and destroy them will be interesting to everyone! Population: everyone in the audience of his speech Belief: the humans Claim: Old Major's speech , and destroy them will be interesting to everyone! Population: everyone in the audience of his speech Belief: the humans Claim: Old Major's speech ,fallacy of relevance
"Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn’t made the comment during their fight, Joe would not have been hit.",false causality,"Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn’t made the comment during their fight, Joe would not have been hit. Sentence: \"" Argument: Intention: "," Sentence: \"" Argument: Intention: ",component fallacy
"""My brother's girlfriend's Mother's hairdresser said that COVID numbers are going down, so I'm not going to bother with my mask"" IS an example of this fallacy.",fallacy of credibility,"""My brother's girlfriend's Mother's hairdresser said that COVID numbers are going down, so I'm not going to bother with my mask"" IS an example of this fallacy. Claim Y: is an example of this fallacy Credibility: My brother's girlfriend's Mother's hairdresser says that COVID numbers are going down ", Claim Y: is an example of this fallacy Credibility: My brother's girlfriend's Mother's hairdresser says that COVID numbers are going down ,fallacy of relevance
"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly.",fallacy of logic,"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly. Claim X: bats Claim Y: pigs are also mammals they can fly In this example, there are no direct contradictions. The first statement is a fact about bats while the second is a statement describing the physical nature of pigs. Therefore, the statement about bats is logically compatible with the statement about pigs. "," Claim X: bats Claim Y: pigs are also mammals they can fly In this example, there are no direct contradictions. The first statement is a fact about bats while the second is a statement describing the physical nature of pigs. Therefore, the statement about bats is logically compatible with the statement about pigs. ",component fallacy
I called my friend and he didn't answer. He wasn't home or he was dead.,false dilemma,I called my friend and he didn't answer. He wasn't home or he was dead. Claim Y: he wasn't home or he was dead Credibility: I called my friend and he didn't answer , Claim Y: he wasn't home or he was dead Credibility: I called my friend and he didn't answer ,component fallacy
God exists because the Bible says so. The Bible is a reliable source because it is the  word of God.,circular reasoning,God exists because the Bible says so. The Bible is a reliable source because it is the word of God. Claim: God exists. Distortion: Bible is source because ,Claim: God exists. Distortion: Bible is source because ,component fallacy
"“Grading this exam on a curve would be the most fair thing to do. After all, classes go more smoothly when the students and the professor are getting along well.”",fallacy of relevance,"“Grading this exam on a curve would be the most fair thing to do. After all, classes go more smoothly when the students and the professor are getting along well.” Claim X: “grading this exam on a curve would be the most fair thing to do Claim Y: classes go more smoothly when the students and the professor are getting along well ", Claim X: “grading this exam on a curve would be the most fair thing to do Claim Y: classes go more smoothly when the students and the professor are getting along well ,fallacy of relevance
