predictions,true_labels,amr_str
fallacy of credibility,fallacy of credibility,"# ::snt MSK0 , says that evolution is MSK1 . Therefore , MSK0 's MSK1 . 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (e / evolve-01
                  :mod (t / thing
                        :name (n2 / name
                              :op1 ""MSK1""))))
      :snt2 (ii / infer-01
            :ARG1 (t2 / thing
                  :name (n3 / name
                        :op1 ""MSK1"")
                  :poss p)))"
faulty generalization,faulty generalization,"# ::snt If I went to the mall a polled 3 people , those MSK0 would not represent the MSK0 of the city population . 
(r / represent-01
      :polarity -
      :ARG0 (t / thing
            :name (n / name
                  :op1 ""MSK0"")
            :mod (t2 / that))
      :ARG1 (p / population
            :mod (c / city))
      :condition (g / go-02
            :ARG0 (ii / i)
            :ARG4 (m / mall))
      :condition (p2 / poll-01
            :ARG0 ii
            :ARG1 (p3 / person
                  :quant 3)))"
faulty generalization,faulty generalization,"# ::snt If MSK0 forget to floss , MSK0 will get MSK1 , and if MSK0 get MSK1 , MSK0 will lose all MSK0 teeth by the time MSK0 're 30 . 
(a / and
      :op1 (g / get-01
            :ARG0 (p / person
                  :part (t / tooth
                        :name (n / name
                              :op1 ""MSK0"")))
            :ARG1 (p2 / product
                  :name (n2 / name
                        :op1 ""MSK1"")))
      :op2 (l / lose-02
            :ARG0 p
            :ARG1 (t2 / tooth
                  :mod (a2 / all)
                  :mod (p3 / product
                        :name (n3 / name
                              :op1 ""MSK1"")))
            :time (a3 / age-01
                  :ARG1 p
                  :ARG2 (t3 / temporal-quantity
                        :quant 30
                        :unit (y / year))))
      :condition (f / forget-01
            :ARG0 p
            :ARG1 (f2 / floss-01
                  :ARG0 p)))"
faulty generalization,faulty generalization,"# ::snt "" Some MSK1 recently vandalized the park , MSK1 are irresponsible . "" 
(a / and
      :op1 (v / vandalize-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK1"")
                  :mod (s / some))
            :ARG1 (p2 / park)
            :time (r / recent))
      :op2 (r2 / responsible-02
            :polarity -
            :ARG1 p))"
fallacy of relevance,fallacy of logic,"# ::snt the analogy ' MSK0 Auschwitz , ' which compares the MSK1 of MSK0 to the MSK1 of Jews , gays and other groups during the Nazi era . 
(a / analogy
      :domain (f / facility
            :name (n / name
                  :op1 ""MSK0""
                  :op2 ""Auschwitz"")
            :ARG0-of (c / compare-01
                  :ARG1 (f2 / facility
                        :name (n2 / name
                              :op1 ""MSK1""))
                  :ARG2 (f3 / facility
                        :name (n3 / name
                              :op1 ""MSK1"")
                        :consist-of (a2 / and
                              :op1 (p / person
                                    :mod (r / religious-group
                                          :name (n4 / name
                                                :op1 ""Jew"")))
                              :op2 (p2 / person
                                    :ARG1-of (g / gay-01))
                              :op3 (g2 / group
                                    :mod (o / other)))
                        :time (e / era
                              :mod (p3 / political-party
                                    :name (n5 / name
                                          :op1 ""Nazi"")))))))"
faulty generalization,faulty generalization,"# ::snt MSK0 has always MSK2 not to MSK4 after MSK6 because MSK0 knows a friend whose skin got patched after MSK4 and MSK6 together . Besides , many other people have MSK2 the same thing so it must be true . 
(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (h / have-03
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (p2 / product
                        :name (n2 / name
                              :op1 ""MSK2""))
                  :time (a / always))
            :ARG2 (h2 / have-03
                  :polarity -
                  :ARG0 p
                  :ARG1 (p3 / product
                        :name (n3 / name
                              :op1 ""MSK4""))
                  :time (a2 / after
                        :op1 (p4 / product
                              :name (n4 / name
                                    :op1 ""MSK6""))))
            :ARG1-of (c2 / cause-01
                  :ARG0 (k / know-02
                        :ARG0 p
                        :ARG1 (p5 / person
                              :ARG0-of (h3 / have-rel-role-91
                                    :ARG1 p
                                    :ARG2 (f / friend))
                              :part (s / skin
                                    :ARG1-of (p6 / patch-01
                                          :time (a3 / after
                                                :op1 (a4 / and
                                                      :op1 (p7 / product
                                                            :name (n5 / name
                                                                  :op1 ""MSK4""))
                                                      :op2 (p8 / product
                                                            :name (n6 / name
                                                                  :op1 ""MSK6"")))
                                                :mod (t / together))))))))
      :snt2 (ii / infer-01
            :ARG1 (t2 / true-01
                  :ARG1 (ii2 / it))
            :ARG1-of (c3 / cause-01
                  :ARG0 (h4 / have-03
                        :ARG0 (p9 / person
                              :quant (m2 / many)
                              :mod (o / other))
                        :ARG1 (p10 / product
                              :name (n7 / name
                                    :op1 ""MSK2"")
                              :ARG1-of (s2 / same-01
                                    :ARG2 p3))))))"
false causality,false causality,"# ::snt Every severe MSK0 follows a MSK1 Presidency ; therefore MSK1 are the cause of MSK0 . 
(f / follow-01
      :ARG1 (t / thing
            :name (n / name
                  :op1 ""MSK0"")
            :mod (e / every)
            :mod (s / severe))
      :ARG2 (p / presidency
            :mod (t2 / thing
                  :name (n2 / name
                        :op1 ""MSK1"")))
      :ARG0-of (c / cause-01
            :ARG1 t))"
intentional,intentional,"# ::snt "" Good source of Vitamin D "" ... * does n't mention the terrible amounts of sugar . 
(m / mention-01
      :polarity -
      :ARG1 (a / amount-01
            :ARG1 (s / sugar)
            :ARG1-of (t / terrible-01))
      :ARG1-of (c / cause-01
            :ARG0 (t2 / thing
                  :ARG2-of (s2 / source-01
                        :ARG1 (s3 / small-molecule
                              :name (n / name
                                    :op1 ""vitamin""
                                    :op2 ""D"")))
                  :ARG1-of (g / good-02))))"
ad hominem,ad hominem,"# ::snt harmful atheists favor MSK0 , so MSK0 is wrong 
(f / favor-01
      :ARG0 (a / atheist
            :ARG0-of (h / harm-01))
      :ARG1 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :ARG0-of (c / cause-01
            :ARG1 (w / wrong-04
                  :ARG1 p)))"
faulty generalization,faulty generalization,"# ::snt Based on a MSK0 of MSK1 MSK2 homeowners , 99 % of those MSK0 have two or more automobiles worth on average $ MSK1 each . Therefore , MSK2 are very wealthy . 
(m / multi-sentence
      :snt1 (h / have-03
            :ARG0 (p / person
                  :ARG0-of (o / own-01
                        :ARG1 (h2 / home))
                  :ARG1-of (ii / include-91
                        :ARG2 (p2 / person
                              :ARG0-of (o2 / own-01
                                    :ARG1 (h3 / home
                                          :mod (p3 / product
                                                :name (n / name
                                                      :op1 ""MSK1"")))))
                        :ARG3 (p4 / percentage-entity
                              :value 99)))
            :ARG1 (a / automobile
                  :quant (a2 / at-least
                        :op1 2)
                  :ARG1-of (w / worth-01
                        :ARG2 (m2 / monetary-quantity
                              :quant 1
                              :unit (d / dollar)
                              :ARG2-of (a3 / average-01))))
            :ARG1-of (b / base-02
                  :ARG2 (p5 / product
                        :name (n2 / name
                              :op1 ""MSK0"")
                        :ARG1-of ii
                        :ARG2 (p6 / product
                              :name (n3 / name
                                    :op1 ""MSK1"")))))
      :snt2 (c / cause-01
            :ARG1 (h4 / have-mod-91
                  :ARG1 (p7 / person
                        :ARG0-of (o3 / own-01
                              :ARG1 (h5 / home
                                    :mod (p8 / product
                                          :name (n4 / name
                                                :op1 ""MSK2"")))))
                  :ARG2 (w2 / wealthy
                        :degree (v / very)))))"
ad hominem,fallacy of extension,"# ::snt Ted : Biological MSK0 is both a theory and a fact . Edwin : That is ridiculous ! How can you possibly be absolutely certain that we MSK0 from pond scum ! 
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Ted""))
            :ARG1 (a / and
                  :op1 (t / theory
                        :domain (p2 / protein
                              :name (n2 / name
                                    :op1 ""MSK0"")
                              :mod (b / biology)))
                  :op2 (f / fact
                        :domain p2)))
      :snt2 (s2 / say-01
            :ARG0 (p3 / person
                  :name (n3 / name
                        :op1 ""Edwin""))
            :ARG1 (r / ridiculous-02
                  :ARG1 (t2 / that)))
      :snt3 (p4 / possible-01
            :ARG1 (k / know-01
                  :ARG0 (y / you)
                  :ARG1 (p5 / protein
                        :name (n4 / name
                              :op1 ""MSK0"")
                        :domain (w / we)
                        :source (s3 / scum
                              :mod (p6 / pond)))
                  :degree (a2 / absolute))
            :manner (a3 / amr-unknown)))"
false dilemma,false dilemma,"# ::snt MSK1 MSK0 great food at our restaurant , or MSK0 sad , boring meals at home . MSK1 
(m / multi-sentence
      :snt1 (o / or
            :op1 (f / food
                  :mod (g / great)
                  :location (r / restaurant
                        :poss (w / we)))
            :op2 (m2 / meal
                  :ARG1-of (s / sad-02)
                  :location (h / home)
                  :ARG0-of (b / bore-02)))
      :snt2 (e / emoticon
            :value ""MSK1""))"
fallacy of relevance,fallacy of relevance,"# ::snt MSK0 roommate MSK1 to talk about cleaning out MSK2 , so MSK0 MSK3 MSK4 what MSK4 MSK1 to do with our MSK6 . Now MSK4 's shopping for new MSK6 and not MSK3 MSK0 about MSK2 . 
(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (t / talk-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0"")
                        :ARG0-of (h / have-rel-role-91
                              :ARG2 (r / roommate))
                        :ARG1-of h)
                  :ARG1 (c2 / clean-out-03
                        :ARG0 p
                        :ARG1 (p2 / product
                              :name (n2 / name
                                    :op1 ""MSK2""))))
            :ARG1 (t2 / thing
                  :ARG1-of (d / do-02
                        :ARG0 (p3 / person
                              :name (n3 / name
                                    :op1 ""MSK4""))
                        :ARG2 (p4 / product
                              :name (n4 / name
                                    :op1 ""MSK6"")
                              :poss (w / we)))
                  :domain (a / and
                        :op1 p2
                        :op2 p4)))
      :snt2 (c3 / contrast-01
            :ARG1 (s / shop-01
                  :ARG0 (p5 / person
                        :name (n5 / name
                              :op1 ""MSK4""))
                  :ARG1 (p6 / product
                        :name (n6 / name
                              :op1 ""MSK6"")
                        :ARG1-of (n7 / new-01)))
            :ARG2 (s2 / shop-01
                  :polarity -
                  :ARG0 (p7 / person
                        :name (n8 / name
                              :op1 ""MSK3""))
                  :ARG1 (p8 / product
                        :name (n9 / name
                              :op1 ""MSK0""))
                  :ARG2 (p9 / product
                        :name (n10 / name
                              :op1 ""MSK2"")))
            :time (n11 / now)))"
ad populum,ad populum,"# ::snt "" MSK0 are voting for John Doe , so MSK0 must be the best candidate . "" 
(c / cause-01
      :ARG0 (v / vote-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (p2 / person
                  :name (n2 / name
                        :op1 ""John""
                        :op2 ""Doe"")))
      :ARG1 (o / obligate-01
            :ARG1 (c2 / candidate
                  :domain p
                  :ARG1-of (h / have-degree-91
                        :ARG2 (g / good-02
                              :ARG1 c2)
                        :ARG3 (m / most)))))"
intentional,intentional,"# ::snt "" MSK0 Honor , MSK1 has been able to provide no strong evidence to prove MSK1 innocence ; therefore , MSK0 must find MSK1 guilty . "" 
(s / say-01
      :ARG1 (p / possible-01
            :polarity -
            :ARG1 (p2 / provide-01
                  :ARG0 (p3 / person
                        :name (n / name
                              :op1 ""MSK1""))
                  :ARG1 (t / thing
                        :ARG0-of (e / evidence-01)
                        :ARG1-of (s2 / strong-02))
                  :purpose (p4 / prove-01
                        :ARG0 p3
                        :ARG1 (ii / innocent-01
                              :ARG1 p3)))
            :ARG0-of (c / cause-01
                  :ARG1 (o / obligate-01
                        :ARG1 p3
                        :ARG2 (f / find-02
                              :ARG0 p3
                              :ARG1 (g / guilty-01
                                    :ARG1 p3)))))
      :ARG2 (p5 / person
            :name (n2 / name
                  :op1 ""MSK0""
                  :op2 ""Honor"")))"
faulty generalization,faulty generalization,"# ::snt gun registration would start us sliding into the unconstitutional morass of universal arms confiscation . 
(s / start-01
      :ARG0 (r / register-02
            :ARG1 (g / gun))
      :ARG1 (s2 / slide-01
            :ARG1 (w / we)
            :ARG4 (m / morass
                  :mod (c / constitutional
                        :polarity -)
                  :mod (c2 / confiscate-01
                        :ARG1 (a / arm)
                        :mod (u / universal)))))"
fallacy of logic,fallacy of logic,"# ::snt MSK0 is a MSK1 on MSK2 , and MSK3 is MSK1 on MSK2 , so is n't MSK0 a kind of MSK3 ? 
(a / and
      :op1 (t / thing
            :name (n / name
                  :op1 ""MSK1"")
            :mod (t2 / thing
                  :name (n2 / name
                        :op1 ""MSK2""))
            :location t2)
      :op2 (t3 / thing
            :name (n3 / name
                  :op1 ""MSK3"")
            :mod t2
            :location t3)
      :ARG0-of (c / cause-01
            :ARG1 (t4 / thing
                  :name (n4 / name
                        :op1 ""MSK3"")
                  :mod (k / kind)
                  :domain t
                  :polarity (a2 / amr-unknown))))"
faulty generalization,faulty generalization,"# ::snt If MSK0 do n’t eat breakfast , MSK0 ’ll MSK1 in MSK0 . If MSK0 MSK1 in MSK0 , MSK0 ’ll MSK2 MSK0 . If MSK0 MSK2 MSK0 , MSK0 ’ll never become President . What fallacy is being committed here ? 
(m / multi-sentence
      :snt1 (h / have-condition-91
            :ARG1 (s / string-entity
                  :value ""MSK1""
                  :domain (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :location (t / thing
                        :name (n2 / name
                              :op1 ""MSK0"")))
            :ARG2 (e / eat-01
                  :polarity -
                  :ARG0 p
                  :ARG1 (b / breakfast)))
      :snt2 (h2 / have-condition-91
            :ARG1 (s2 / string-entity
                  :value ""MSK2""
                  :domain (p2 / person
                        :name (n3 / name
                              :op1 ""MSK0""))
                  :location t)
            :ARG2 (s3 / string-entity
                  :value ""MSK1""
                  :domain p2
                  :location t))
      :snt3 (h3 / have-condition-91
            :ARG1 (b2 / become-01
                  :polarity -
                  :ARG1 p
                  :ARG2 (p3 / person
                        :ARG0-of (h4 / have-org-role-91
                              :ARG2 (p4 / president)))
                  :time (e2 / ever))
            :ARG2 (s4 / string-entity
                  :value ""MSK2""
                  :domain p
                  :location t))
      :snt4 (c / commit-02
            :ARG1 (f / fallacy
                  :mod (a / amr-unknown))
            :location (h5 / here)))"
circular reasoning,fallacy of logic,"# ::snt It is possible to MSK0 . Therefore , MSK0 was a fake using special effects . 
(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (ii / it)
            :prep-to (p2 / product
                  :name (n / name
                        :op1 ""MSK0"")))
      :snt2 (c / cause-01
            :ARG1 (f / fake-02
                  :ARG1 (p3 / product
                        :name (n2 / name
                              :op1 ""MSK0""))
                  :manner (u / use-01
                        :ARG1 (e / effect
                              :ARG1-of (s / special-02))))))"
faulty generalization,faulty generalization,"# ::snt "" MSK0 's definitely a feminist ; MSK0 watched the Democratic National Convention "" IS an example of this fallacy . 
(e / exemplify-01
      :ARG0 (f / feminist
            :domain (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :mod (d / definite))
      :ARG1 (f2 / fallacy
            :mod (t / this))
      :ARG1-of (c / cause-01
            :ARG0 (w / watch-01
                  :ARG0 p
                  :ARG1 (e2 / event
                        :name (n2 / name
                              :op1 ""Democratic""
                              :op2 ""National""
                              :op3 ""Convention"")))))"
ad hominem,false dilemma,"# ::snt "" The academic decathlon , Mr. Iglesias ? That 's a rich kid thing . "" 
(a / ask-01
      :ARG1 (t / thing
            :domain (d / decathlon
                  :mod (a2 / academia))
            :mod (k / kid
                  :mod (r / rich))
            :polarity (a3 / amr-unknown))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""Mr.""
                  :op2 ""Iglesias"")))"
intentional,ad populum,"# ::snt This is an example of which fallacy ? 
(e / exemplify-01
      :ARG0 (t / this)
      :ARG1 (f / fallacy
            :mod (a / amr-unknown)))"
ad hominem,fallacy of relevance,"# ::snt There is MSK0 regarding saving the environment . MSK1 can not make this world an MSK2 . What will happen if MSK0 does become MSK2 ? MSK1 got bored there ! 
(m / multi-sentence
      :snt1 (c / concern-02
            :ARG0 (t / thing
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (s / save-02
                  :ARG1 (e / environment)))
      :snt2 (p / possible-01
            :polarity -
            :ARG1 (m2 / make-01
                  :ARG0 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK1""))
                  :ARG1 (t3 / thing
                        :name (n3 / name
                              :op1 ""MSK2""))
                  :ARG2 (w / world
                        :mod (t4 / this))))
      :snt3 (h / have-condition-91
            :ARG1 (a / amr-unknown)
            :ARG2 (b / become-01
                  :ARG1 t
                  :ARG2 t3))
      :snt4 (b2 / bore-02
            :ARG1 (t5 / thing
                  :name (n4 / name
                        :op1 ""MSK1""))
            :location (t6 / there)))"
faulty generalization,faulty generalization,"# ::snt If MSK0 do n't pass this quiz , MSK0 will get a low grade . This will affect MSK0 score in the gradebook , MSK0 will fail Eng II . MSK0 will not graduate Highschool . MSK0 will not get a good job . 
(m / multi-sentence
      :snt1 (h / have-condition-91
            :ARG1 (g / get-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (g2 / grade
                        :ARG1-of (l / low-04)))
            :ARG2 (p2 / pass-07
                  :polarity -
                  :ARG1 p
                  :ARG2 (q / quiz
                        :mod (t / this))))
      :snt2 (a / and
            :op1 (a2 / affect-01
                  :ARG0 p2)
            :ARG1 (s / score-01
                  :ARG1 (p3 / person
                        :name (n2 / name
                              :op1 ""MSK0""))
                  :ARG3 (g3 / grade))
            :location (g4 / gradebook))
      :op2 (f / fail-01
            :ARG1 p3
            :ARG2 (t2 / thing
                  :name (n3 / name
                        :op1 ""Eng""
                        :op2 ""II"")))
      :op3 (g5 / graduate-01
            :polarity -
            :ARG1 p3
            :ARG2 (h2 / high-school))
      :op4 (g6 / get-01
            :polarity -
            :ARG0 p3
            :ARG1 (j / job
                  :ARG1-of (g7 / good-02))))"
fallacy of logic,fallacy of logic,"# ::snt MSK0 has a MSK2 . MSK3 has a MSK2 . MSK3 must be MSK0 Claus ! ( coref1 is an example of ... ) 
(m / multi-sentence
      :snt1 (a / and
            :op1 (h / have-03
                  :ARG0 (p / product
                        :name (n / name
                              :op1 ""MSK0""))
                  :ARG1 (p2 / product
                        :name (n2 / name
                              :op1 ""MSK2"")))
            :op2 (h2 / have-03
                  :ARG0 (p3 / product
                        :name (n3 / name
                              :op1 ""MSK3""))
                  :ARG1 p2)
            :op3 (o / obligate-01
                  :mode expressive
                  :ARG1 (p4 / person
                        :name (n4 / name
                              :op1 ""MSK0""
                              :op2 ""Claus"")
                        :domain p3)))
      :snt2 (e / exemplify-01
            :ARG0 (c / coref1)))"
false causality,false causality,"# ::snt Attributing the cause of World War II to only Adolf Hitler 's hatred of the Jews 
(a / attribute-01
      :ARG1 (c / cause-01
            :ARG1 (w / war
                  :name (n / name
                        :op1 ""World""
                        :op2 ""War""
                        :op3 ""II"")))
      :ARG2 (h / hate-01
            :ARG0 (p / person
                  :name (n2 / name
                        :op1 ""Adolf""
                        :op2 ""Hitler""))
            :ARG1 (r / religious-group
                  :name (n3 / name
                        :op1 ""Jew""))
            :mod (o / only)))"
false causality,fallacy of logic,"# ::snt We should stop using MSK0 because MSK0 is snowing in New York . 
(r / recommend-01
      :ARG1 (s / stop-01
            :ARG0 (w / we)
            :ARG1 (u / use-01
                  :ARG0 w
                  :ARG1 (p / product
                        :name (n / name
                              :op1 ""MSK0""))))
      :ARG1-of (c / cause-01
            :ARG0 (s2 / snow-01
                  :ARG1 p
                  :location (c2 / city
                        :name (n2 / name
                              :op1 ""New""
                              :op2 ""York"")))))"
intentional,intentional,"# ::snt MSK0 : MSK1 do n't MSK2 MSK3 : I MSK2 all the time ; MSK3 's healthy MSK0 : Well , REAL MSK1 do n't MSK2 . MSK4 : MSK0 , you should invest in some therapy . MSK0 : MSK6 no MSK7 MSK4 : MSK7 todo el tiempo ; Es saludable MSK0 : Bueno , MSK6 REALES no MSK7 . MSK3 : MSK0 , deberías invertir en terapia . 
(m / multi-sentence
      :snt1 (a / and
            :op1 (d / do-02
                  :polarity -
                  :ARG0 (t / thing
                        :name (n / name
                              :op1 ""MSK1""))
                  :ARG1 (t2 / thing
                        :name (n2 / name
                              :op1 ""MSK2"")))
            :op2 (d2 / do-02
                  :ARG0 (t3 / thing
                        :name (n3 / name
                              :op1 ""MSK3""))
                  :ARG1 t3)
            :op3 (d3 / do-02
                  :ARG0 (ii / i)
                  :ARG1 t3
                  :time (t4 / time
                        :mod (a2 / all)))
            :op4 (h / have-mod-91
                  :ARG1 t3
                  :ARG2 (t5 / thing
                        :name (n4 / name
                              :op1 ""MSK3""))
                  :mod (h2 / healthy))
            :snt2 (a3 / and
                  :op1 (d4 / do-02
                        :polarity -
                        :ARG0 (t6 / thing
                              :name (n5 / name
                                    :op1 ""MSK6""))
                        :ARG1 t5)
                  :op2 (d5 / do-02
                        :polarity -
                        :ARG0 (t7 / thing
                              :name (n6 / name
                                    :op1 ""MSK7""))
                        :ARG1 t7)
                  :ARG1-of (r / real-04))
            :snt3 (r2 / recommend-01
                  :ARG1 (ii2 / invest-01
                        :ARG0 (y / you)
                        :ARG2 (t8 / therapy
                              :quant (s / some)))
                  :ARG2 y)
            :snt4 (a4 / and
                  :op1 (h3 / have-mod-91
                        :polarity -
                        :ARG1 (t9 / thing
                              :name (n7 / name
                                    :op1 ""MSK6""))
                        :ARG2 (t10 / thing
                              :name (n8 / name
                                    :op1 ""MSK7"")))
                  :op2 (h4 / have-mod-91
                        :ARG1 t9
                        :ARG2 (t11 / thing
                              :name (n9 / name
                                    :op1 ""MSK7""))
                        :mod (t12 / todo
                              :op1 (t13 / tiempo)))
                  :snt5 (p / possible-01
                        :ARG1 (s2 / saludable-02
                              :ARG1 (t14 / thing
                                    :name (n10 / name
                                          :op1 ""MSK0"")))))
            :snt6 (a5 / and
                  :op1 (s3 / string-entity
                        :value ""MSK0"")
                  :op2 ""0"")
            :op2 (s4 / string-entity
                  :value ""MSK3"")))"
false causality,false causality,"# ::snt MSK0 suggests that ' the MSK1 in MSK2 offending and the explosion in the sales of iPods and other portable media devices is more than coincidental , ' and asks , rather provocatively , ' Is There an iCrime Wave ? ' MSK0 notes that nationally , MSK2 crime fell every year from 1993 to MSK3 , before MSK1 in MSK3 and MSK3 , just as ' America ’s streets filled with millions of people visibly wearing , and being distracted by , expensive electronic gear . ' 
(a / and
      :op1 (s / suggest-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""MSK0""))
            :ARG1 (c / coincidence
                  :domain (a2 / and
                        :op1 (o / offend-03
                              :ARG0 (p2 / product
                                    :name (n2 / name
                                          :op1 ""MSK1""))
                              :time (p3 / product
                                    :name (n3 / name
                                          :op1 ""MSK2"")))
                        :op2 (e / explode-02
                              :ARG1 (s2 / sell-01
                                    :ARG1 (a3 / and
                                          :op1 (p4 / product
                                                :name (n4 / name
                                                      :op1 ""iPod""))
                                          :op2 (d / device
                                                :mod (m / media)
                                                :mod (p5 / portable)
                                                :mod (o2 / other))))))
                  :mod (m2 / more-than)))
      :op2 (a4 / ask-01
            :ARG0 p
            :ARG1 (w / wave-04
                  :ARG1 (c2 / crime-02
                        :mod (ii / iCrime))
                  :polarity (a5 / amr-unknown))
            :manner (p6 / provoke-01
                  :ARG0 p
                  :mod (r / rather)))
      :op3 (n5 / note-01
            :ARG0 p
            :ARG1 (f / fall-01
                  :ARG1 (c3 / crime-02
                        :ARG0 (p7 / product
                              :name (n6 / name
                                    :op1 ""MSK2"")))
                  :location (n7 / nation)
                  :frequency (r2 / rate-entity-91
                        :ARG3 (t / temporal-quantity
                              :quant 1
                              :unit (y / year)))
                  :time (d2 / date-interval
                        :op1 (d3 / date-entity
                              :year 1993)
                        :op2 (d4 / date-entity
                              :year 2003))
                  :time (b / before
                        :op1 (a6 / and
                              :op1 (ii2 / incident
                                    :name (n8 / name
                                          :op1 ""MSK1"")
                                    :time (p8 / product
                                          :name (n9 / name
                                                :op1 ""MSK3"")))
                              :op2 (ii3 / incident
                                    :name (n10 / name
                                          :op1 ""MSK1"")
                                    :time (p9 / product
                                          :name (n11 / name
                                                :op1 ""MSK3"")))))
                  :time (f2 / fill-01
                        :ARG1 (s3 / street
                              :poss (c4 / country
                                    :name (n12 / name
                                          :op1 ""America"")))
                        :ARG2 (p10 / person
                              :quant (m3 / multiple
                                    :op1 1000000)
                              :ARG0-of (w2 / wear-01
                                    :ARG1 (g / gear
                                          :mod (e2 / electronic)
                                          :mod (e3 / expensive))
                                    :ARG1-of (s4 / see-01
                                          :ARG1-of (p11 / possible-01)))
                              :ARG1-of (d5 / distract-01
                                    :ARG0 g))))))"
false dilemma,appeal to emotion,"# ::snt If MSK0 do n’t agree to sign the labor agreement , we ’ll fire MSK0 . 
(f / fire-02
      :ARG0 (w / we)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""MSK0""))
      :condition (a / agree-01
            :polarity -
            :ARG0 p
            :ARG1 (s / sign-02
                  :ARG0 p
                  :ARG1 (a2 / agree-01
                        :ARG1 (l / labor-01)))))"
fallacy of extension,fallacy of extension,"# ::snt MSK5 My boss is n’t willing to increase the number of vacation days MSK0 get each year . That means MSK1 does n’t MSK2 about MSK0 MSK3 . It ’s wrong not to MSK2 about MSK4 ’ MSK3 . MSK1 should be replaced with someone who MSK2 about the MSK4 . MSK5 
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""MSK5"")
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (ii / i)
                  :ARG2 (b / boss)))
      :snt2 (m2 / mean-01
            :ARG1 (w / will-02
                  :polarity -
                  :ARG0 (p2 / person
                        :name (n2 / name
                              :op1 ""MSK0""))
                  :ARG1 (ii2 / increase-01
                        :ARG0 p2
                        :ARG1 (n3 / number
                              :quant-of (d / day
                                    :purpose (v / vacation-01)
                                    :ARG1-of (g / get-01
                                          :ARG0 p2)))
                        :frequency (r / rate-entity-91
                              :ARG3 (t / temporal-quantity
                                    :quant 1
                                    :unit (y / year)))))
            :ARG2 (a / and
                  :op1 (h2 / have-polarity-91
                        :ARG1 (t2 / thing
                              :name (n4 / name
                                    :op1 ""MSK1""))
                        :ARG2 -
                        :topic (t3 / thing
                              :name (n5 / name
                                    :op1 ""MSK0"")))
                  :op2 (h3 / have-polarity-91
                        :ARG1 (t4 / thing
                              :name (n6 / name
                                    :op1 ""MSK3""))
                        :ARG2 -
                        :topic t3)))
      :snt3 (w2 / wrong-02
            :ARG1 (a2 / and
                  :op1 (t5 / thing
                        :name (n7 / name
                              :op1 ""MSK2""))
                  :op2 (t6 / thing
                        :name (n8 / name
                              :op1 ""MSK3""))))
      :snt4 (r2 / recommend-01
            :ARG1 (r3 / replace-01
                  :ARG1 (p3 / person
                        :name (n9 / name
                              :op1 ""MSK1""))
                  :ARG2 (p4 / person
                        :name (n10 / name
                              :op1 ""MSK2"")
                        :topic (t7 / thing
                              :name (n11 / name
                                    :op1 ""MSK4""))))))"
