source_article,updated_label,masked_articles
"If you don’t agree to sign the labor agreement, we’ll fire you.",appeal to emotion,"If MSK<0> do n’t agree to sign the labor agreement , we ’ll fire MSK<0> . "
“My boss isn’t willing to increase the number of vacation days we get each year. That means she doesn’t care about our health. It’s wrong not to care about employees’ health. She should be replaced with someone who cares about the employees.”,fallacy of extension,MSK<5> My boss is n’t willing to increase the number of vacation days MSK<0> get each year . That means MSK<1> does n’t MSK<2> about MSK<0> MSK<3> . It ’s wrong not to MSK<2> about MSK<4> ’ MSK<3> . MSK<1> should be replaced with someone who MSK<2> about the MSK<4> . MSK<5> 
"Many people criticize Thomas Jefferson for being an owner of slaves. But Jefferson was one of our greatest presidents, and his Declaration of Independence is one of the most eloquent pleas for freedom and democracy ever written. Clearly these criticisms are unwarranted.",fallacy of relevance,"Many people MSK<1> MSK<0> for being an owner of slaves . But MSK<0> was one of our greatest presidents , and MSK<0> Declaration of Independence is one of the most eloquent pleas for freedom and democracy ever written . Clearly these MSK<1> are unwarranted . "
"Interviewer: What do you think should be done about people who swear in public?
Man on the Street: I think it should be against the law.
Interviewer: Oh, I suppose you're against the right to free speech, then?",fallacy of extension,"MSK<0> : What do MSK<1> MSK<2> should be done about people who swear in public ? Man on the Street : MSK<1> MSK<2> it should be against the law . MSK<0> : Oh , MSK<1> suppose MSK<1> 're against the right to free speech , then ? "
"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",ad populum,"MSK<0> had come up six times in a row on the roulette wheel , so MSK<1> knew that MSK<0> was close to certain that black would be next up . Suffering an economic form of natural selection with this thinking , MSK<1> soon lost all of MSK<1> savings . "
"My grandmother smoked for 80 years and died at 100. Obviously, smoking isn’t harmful.",faulty generalization,"My grandmother MSK<0> for MSK<1> years and died at MSK<1> . Obviously , MSK<0> is n’t harmful . "
"Steve: In Sweden, college is free for citizens. How come we can't do that here?
Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!
",ad hominem,"Steve : In MSK<0> , college is free for citizens . How come we ca n't do that here ? Ed : If MSK<1> like MSK<0> so much , move there . The USA would be glad to be rid of MSK<1> liberal ass ! "
"You've never visited another country, so who cares what you say about immigration reform!",ad hominem,"MSK<0> 've never visited another country , so who cares what MSK<0> say about immigration reform ! "
"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",false dilemma,"I 'm raising funds to help cure XYZ disease . If MSK<0> do n't donate , then MSK<0> 're part of the problem . "
"""I see nobody on the road,"" said Alice.
""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light.""",equivocation,""" MSK<0> see nobody on the road , "" said Alice . "" MSK<0> only wish MSK<0> had such eyes , "" MSK<0> remarked ... "" To be able to see Nobody ! And at that distance , too ! Why it 's as much as MSK<0> can do to see real people , by this light . "" "
"We haven’t found the ruins of Troy, so the city of Troy didn’t really exist.",intentional,"We have n’t found the ruins of MSK<0> , so the city of MSK<0> did n’t really exist . "
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...
",fallacy of relevance,"MSK<0> : It is morally wrong to cheat on MSK<1> spouse , why on earth would MSK<1> have done that ? MSK<2> : But what is MSK<3> exactly ? MSK<0> : MSK<3> ’s a MSK<4> of conduct shared by cultures . MSK<2> : But who creates this MSK<4> ? ... "
"""We should abolish the death penalty. Many respected people, such as actor, Chewbacca, have publicly stated their opposition to it.""",fallacy of credibility,""" We should abolish MSK<0> . MSK<1> , have publicly stated MSK<1> opposition to MSK<0> . "" "
"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion.",equivocation,"According to the Supreme Court , we have a MSK<0> to MSK<1> . Therefore , it is MSK<0> to have an MSK<1> . "
The reason our company never makes any money is because we have a buffoon running it!,ad hominem,The reason MSK<0> never makes any money is because MSK<0> have a buffoon running coref1 ! 
"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.",fallacy of logic,"Not believing in the literal resurrection of Jesus because MSK<0> has errors and contradictions , is like denying that the Titanic MSK<1> because eye - witnesses did not agree if MSK<0> broke in half before or after MSK<0> MSK<1> . "
"Look, you are going to have to make up your mind. Either, you decide that you can afford this stereo, or your decide that you are going to have to go without music for a while.",false dilemma,"Look , MSK<0> are going to have to make up MSK<0> mind . Either , MSK<0> MSK<1> that MSK<0> can afford this stereo , or MSK<0> MSK<1> that MSK<0> are going to have to go without music for a while . "
"A student gets into trouble for not meeting the dress code at her school. When her teacher confronts her, she begins talking about how the dress code is a punishment for girls and boys are able to wear whatever they want.",fallacy of relevance,"MSK<0> gets into trouble for not meeting MSK<1> at MSK<0> school . When MSK<0> teacher confronts MSK<0> , MSK<0> begins talking about how MSK<1> is a punishment for MSK<2> are able to wear whatever MSK<2> want . "
How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.,circular reasoning,How do MSK<1> that MSK<2> is the most MSK<3> person in our geometry class ? MSK<1> because MSK<2> 's so MSK<3> . 
Mayor Kerr wants to create more bicycle lanes in Greenpoint. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension,MSK<0> wants to create more MSK<2> lanes in Greenpoint . Why is MSK<0> forcing MSK<1> to give up MSK<1> cars and MSK<2> everywhere ? 
Look at that face! Could anyone trust that to run the country?,ad hominem,Look at that face ! Could anyone trust that to run the country ? 
assumes that short-term deviations will correct themselves,false causality,assumes that short - term deviations will correct themselves 
"""Everyone should like coffee: 95% of teachers do!""",ad populum,""" Everyone should like coffee : 95 % of teachers do ! "" "
"All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods.",fallacy of logic,"All MSK<1> MSK<2> in MSK<3> . All MSK<4> are MSK<1> . Therefore , some MSK<4> MSK<2> in MSK<3> . "
"Ken: There has to be an objective morality because otherwise terms like “right” and “wrong” would be meaningless since they have no foundation for comparison. 
Rob: The terms “right” and “wrong” are based on cultural norms, which do have a subjective foundation -- one that changes as the moral sphere of the culture changes.  The term “heavy” does not have an objective standard, yet we have no problem using that term in a meaningful way.  In fact, very few relational terms have any kind of objective foundation.
Ken: But without an objective morality, we would all be lost morally as a race.
Rob: Many would say that we are.
Ken: But how can you say that torturing children for fun is morally acceptable in any situation?
Rob: Personally, I wouldn’t, but you are implying that anything that is not objective must necessarily be seen in all possible ways. A feather may not be seen as “heavy” to anyone, but that doesn’t mean its “lightness” is still not relative to other objects.
Ken: But God is the standard of objective morality.  Prove that wrong!
Rob: That I cannot do.
",intentional,"MSK<0> : There has to be an MSK<1> MSK<2> because otherwise MSK<3> would be meaningless since MSK<3> have no MSK<4> for comparison . MSK<5> : The MSK<6> MSK<7> right MSK<7> and MSK<7> MSK<8> MSK<7> are based on MSK<14> norms , which do have a subjective MSK<4> -- one that MSK<9> as the moral sphere of the MSK<14> MSK<9> . MSK<10> does not have an MSK<1> MSK<11> , yet MSK<12> have no problem using MSK<10> in a meaningful MSK<13> . In fact , very few relational MSK<6> have any kind of MSK<1> MSK<4> . MSK<0> : But without an MSK<1> MSK<2> , MSK<12> would all be lost MSK<2> as a race . MSK<5> : Many would say that MSK<12> are . MSK<0> : But how can MSK<0> say that torturing children for fun is MSK<2> acceptable in any situation ? MSK<5> : Personally , MSK<5> would n’t , but MSK<0> are implying that anything that is not MSK<1> must necessarily be seen in all possible MSK<13> . A feather may not be seen as MSK<7> heavy MSK<7> to anyone , but that does n’t mean its MSK<7> lightness MSK<7> is still not relative to other objects . MSK<0> : But God is the MSK<11> of MSK<1> MSK<2> . Prove that MSK<8> ! MSK<5> : That MSK<5> can not do . "
"This fallacy assumes something is true (or right, or good) because other people agree with it.",ad populum,"MSK<0> assumes something is true ( or right , or good ) because other people agree with MSK<0> . "
"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts.",faulty generalization,"I know MSK<0> . MSK<0> are MSK<3> . Therefore , MSK<0> are MSK<3> . "
How many times per day do you beat your wife?,intentional,How many times per day do MSK<0> beat MSK<0> wife ? 
"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn’t know that!  Thank you!  Put it on black 15 instead.  I can’t believe I almost made that mistake!",false causality,MSK<0> : Please put all my chips on MSK<2> . Dealer : Are MSK<3> sure MSK<3> want to do MSK<4> ? MSK<2> just came up in the last spin . MSK<0> : MSK<0> did n’t know MSK<4> ! Thank MSK<3> ! Put it on black 15 instead . MSK<0> ca n’t believe MSK<0> almost made that mistake ! 
"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man.",ad hominem,"Do n't listen to MSK<0> opinion . MSK<0> is a crook , and a spiteful loony man . "
"Which type of appeal is used in the following phrase from the Declaration of Independence: “He has plundered our seas, ravaged our coasts, burned our towns, and destroyed the lives of our people”?",appeal to emotion,"Which type of appeal is used in the following phrase from the Declaration of Independence : MSK<1> He has plundered MSK<0> seas , ravaged MSK<0> coasts , burned MSK<0> towns , and destroyed the lives of MSK<0> people MSK<1> ? "
"I knew I should have helped that old lady across the road.  Because I didn’t, I have been having bad Karma all day.",false causality,"MSK<0> knew MSK<0> should have helped that old lady across the road . Because MSK<0> did n’t , MSK<0> have been having bad Karma all day . "
"An NSA whistle-blower, William Binney, said last week that the agency’s surveillance activities put us on 'a slippery slope toward a totalitarian state'",faulty generalization,"An NSA whistle - blower , William Binney , said last week that the agency ’s surveillance activities put us on ' a slippery slope toward a totalitarian state ' "
People nowadays only vote with their emotions instead of their brains.,faulty generalization,MSK<0> nowadays only vote with MSK<0> emotions instead of MSK<0> brains . 
"According to the university brochure, the majors with the most students are Economics and Computer Science. Therefore, you should declare one of these majors if you want to have a successful career.",ad populum,"According to the university brochure , MSK<0> are Economics and Computer Science . Therefore , MSK<1> should declare one of MSK<0> if MSK<1> want to have a successful career . "
Why should we put people on trial when we know they are guilty?,circular reasoning,Why should MSK<0> put MSK<1> on trial when MSK<0> know MSK<1> are guilty ? 
"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",faulty generalization,"It ’s getting late , and MSK<0> still have to decide on the school budget . What do you say MSK<0> just leave MSK<1> as is and MSK<0> can call MSK<1> a night ? "
We now produce the best program in existence; four thousand businesses subscribe to our program.,ad populum,MSK<0> now produce the best MSK<1> in existence ; four thousand businesses subscribe to MSK<0> MSK<1> . 
"If I’m psychic, I will be able to see dead people. I see dead people, therefore I’m psychic.",fallacy of logic,"If MSK<0> ’m MSK<1> , MSK<0> will be able to see MSK<3> . MSK<0> see MSK<3> , therefore MSK<0> ’m MSK<1> . "
"Ladies and gentlemen of the jury, look at the bloody clothes, the murder weapon. Imagine the helpless screams of the victim. Such a crime deserves no verdict except guilty, guilty!",fallacy of relevance,"Ladies and gentlemen of the jury , look at the bloody clothes , the murder weapon . Imagine the helpless screams of the victim . Such a crime deserves no verdict except MSK<0> , MSK<0> ! "
"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?",fallacy of extension,"If MSK<0> told a person , "" MSK<0> think we should all stay inside to bend the curve of COVID - 19 "" and MSK<1> replied , "" so MSK<0> guess MSK<1> want people to lose MSK<1> jobs then , "" what logical fallacy are MSK<1> using ? "
Running the government is like running a business. You can’t keep running into debt and expect to be successful.,fallacy of logic,MSK<0> the government is like MSK<0> a business . You ca n’t keep MSK<0> into debt and expect to be successful . 
What did you use to wipe your fingerprints from the gun?,intentional,What did MSK<0> use to wipe MSK<0> fingerprints from the gun ? 
He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.,equivocation,MSK<0> said a lovely lady like MSK<0> does n't have to worry about MSK<0> MSK<1> because this is a man - eating MSK<1> . 
"If it’s brown, flush it down.
I flushed it down.
Therefore, it was brown.",fallacy of logic,"If MSK<0> ’s MSK<1> , MSK<2> MSK<0> down . I MSK<2> MSK<0> down . Therefore , MSK<0> was MSK<1> . "
"Unless you can close your eyes to abuse, write a check to save this puppy.",false dilemma,"Unless MSK<0> can close MSK<0> eyes to abuse , write a check to save this puppy . "
Why must you always take such a stupid and uninformed approach to ethics?,intentional,Why must you always take such a stupid and uninformed approach to ethics ? 
"""He wouldn't make a good president because he looks like a sad muppet.""",ad hominem,""" MSK<0> would n't make a good president because MSK<0> looks like a sad muppet . "" "
"""I have one Japanese friend and it's true that all of them are numb.""",faulty generalization,""" I have MSK<0> and it 's true that all of MSK<0> are numb . "" "
"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow.",false causality,"MSK<0> did a "" MSK<1> dance "" one afternoon , and MSK<0> MSK<1> that night . MSK<0> claimed to have brought the MSK<1> . "
"Of course, your minister says he believes in God.  He would be unemployed otherwise.",ad hominem,"Of course , MSK<0> says MSK<0> believes in God . MSK<0> would be unemployed otherwise . "
"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes.""",fallacy of logic,"MSK<0> is a MSK<2> . MSK<0> comes from MSK<3> . Therefore , all MSK<3> are MSK<2> . "" "
"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?
Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!
",ad hominem,"MSK<0> : MSK<0> am tired of having to fill out these forms all day . Ca n't MSK<1> MSK<2> a more efficient system ? Cindy - Lou : If you 're not happy with the way MSK<1> do things , MSK<1> can MSK<2> someone who is ! "
"If someone said, ""all kids love Cinnamon Toast Crunch, but you don't love it so you must not be a real kid,"" what logical fallacy are they using?",intentional,"If someone said , "" MSK<0> MSK<2> , but MSK<3> do n't MSK<2> so MSK<3> must not be a real kid , "" what logical fallacy are MSK<0> using ? "
We should move to the midwest because the Wall Street Journal says the cost of living is cheaper there.,fallacy of credibility,MSK<0> should move to the midwest because MSK<0> says the cost of living is cheaper there . 
Either we go to war or we appear weak.,false dilemma,Either MSK<0> go to war or MSK<0> appear weak . 
"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers.""",faulty generalization,""" If MSK<0> MSK<1> MSK<2> because MSK<2> are bad for the environment , then eventually the government will MSK<1> all cars ; therefore , MSK<0> should not MSK<1> MSK<2> . "" "
"Lisa is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise, the school library will close!""
Of what fallacy is this an example?",false dilemma,"MSK<0> is trying to MSK<1> money for MSK<0> . In MSK<0> address to the board of trustees , MSK<0> says , "" We must MSK<1> tuition to cover the cost of new books . Otherwise , coref1 will close ! "" Of what fallacy is this an example ? "
"“President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.”",false causality,"MSK<2> MSK<0> raised taxes , and then the rate of violent MSK<1> went up . MSK<0> is responsible for the rise in MSK<1> . MSK<2> "
"""How am I to get in?"" asked Alice again, in a louder tone.
""Are you to get in at all?"" said the Footman, ""That's the first question, you know.""",intentional,""" How am I to get in ? "" asked MSK<0> again , in a louder tone . "" Are MSK<0> to get in at all ? "" said the Footman , "" That 's the first question , you know . "" "
"Senator Jill: ""We'll have to cut education funding this year.""
Senator Bill: ""Why?""
Senator Jill: ""Well, either we cut the social programs or we live with a huge deficit and we can't live with the deficit.""",false dilemma,"MSK<0> : "" MSK<1> 'll have to MSK<2> education funding this year . "" Senator Bill : "" Why ? "" MSK<0> : "" Well , either MSK<1> MSK<2> the social programs or MSK<1> MSK<3> with MSK<4> and MSK<1> ca n't MSK<3> with MSK<4> . "" "
"Television Advertisement: Rush to shop at Super-Mart this weekend, everyone is doing it!",ad populum,"Television Advertisement : Rush to shop at MSK<0> this weekend , everyone is doing MSK<0> ! "
Appealing to popularity or the fact that many people do something as an attempted form of validation.,ad populum,Appealing to popularity or the fact that many people do something as an attempted form of validation . 
"One day, Megan wore a Donald Duck t-shirt, and she got an ¨A¨ on her Chemistry test. Now she wears a Donald Duck t-shirt every day to Chemistry class. 
Of what fallacy is this an example?",false causality,"One MSK<0> , MSK<1> MSK<4> , and MSK<1> got an MSK<5> A MSK<5> on MSK<1> MSK<6> test . Now MSK<1> MSK<4> every MSK<0> to MSK<6> class . Of what fallacy is this an example ? "
"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?",fallacy of extension,Parent : MSK<0> need to clean out MSK<0> backpack . Child : MSK<0> know MSK<1> have ADD ! Why ca n’t MSK<0> just accept MSK<1> as MSK<1> am ? 
All hunting is inhumane and should be outlawed.,circular reasoning,All hunting is inhumane and should be outlawed . 
"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students.

What error in reasoning has Jeff made?",faulty generalization,"MSK<0> is preparing to create a commercial for a new energy MSK<1> . MSK<0> visits MSK<2> in MSK<3> . The majority of MSK<3> says MSK<2> prefer MSK<4> MSK<5> MSK<1> , so MSK<0> tells MSK<0> superiors that MSK<4> is the MSK<5> favored most by high school students . What error in reasoning has MSK<0> made ? "
"There were wonderful psychologists who passed away several decades ago. If they could be effective in what they did without reading any of the studies or other articles that have been published in the last several decades, there's no need for me to read any of those works in order to be effective.",fallacy of logic,"There were MSK<0> . If MSK<0> could be MSK<1> in what MSK<0> did without MSK<2> any of the studies or other articles that have been published in the last several decades , there 's no need for me to MSK<2> any of those works in order to be MSK<1> . "
Where did you hide the marijuana you were smoking?,intentional,Where did MSK<0> hide the marijuana MSK<0> were smoking ? 
This technique using vague positive words that actually hold little meaning.,appeal to emotion,This technique using vague positive words that actually hold little meaning . 
"“President Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime.""",false causality,"“ MSK<0> raised taxes , and then the rate of violent MSK<1> went up . Therefore , MSK<0> think MSK<0> is responsible for the rise in MSK<1> . "" "
All writing teachers must be awesome because Ms. Lopez is.,faulty generalization,All writing teachers must be awesome because Ms. Lopez is . 
"P1. Lead poisoning can contribute to violent behavior.
P2. Many inner city children have dangerous levels of lead in their blood.
C. Therefore, violent crime in the inner city can be solved by curing the lead problem.",false causality,"MSK<3> . MSK<0> poisoning can contribute to MSK<1> behavior . MSK<3> . MSK<2> have dangerous levels of MSK<0> in MSK<2> blood . C. Therefore , MSK<1> crime in the inner city can be solved by curing the MSK<0> problem . "
"What I do know is that if a dirty bomb goes off on Wall Street and the winds are blowing this way, then I and much of this part of Brooklyn are possibly toast. Is that worth possible violations of the rights of some psycho-violent street thug? To me it is.",circular reasoning,"What MSK<0> do know is that if a dirty bomb goes off on Wall MSK<1> and the winds are blowing this way , then MSK<0> and much of this part of Brooklyn are MSK<3> toast . Is MSK<2> worth MSK<3> violations of the rights of some psycho - violent MSK<1> thug ? To MSK<0> MSK<2> is . "
"All men are mortal, and Socrates is a man, therefore Socrates likes dogs.",fallacy of logic,"All MSK<0> are mortal , and MSK<1> is a MSK<0> , therefore MSK<1> likes dogs . "
"Gas prices have been rising steadily these past few years. Thus, the cost of car ownership is higher than it was previously.",faulty generalization,"Gas prices have been rising steadily these past few years . Thus , MSK<0> is higher than MSK<0> was previously . "
"You see someone walking their dog. The dog goes to the bathroom on a lawn but they don’t pick up after their dog. You ask them to clean up after their dog, but they say, “why do you hate dogs?” What fallacy have they committed?",fallacy of extension,"MSK<0> see MSK<1> walking MSK<1> . coref1 goes to the bathroom on a lawn but MSK<1> do n’t pick up after MSK<1> . MSK<0> ask MSK<1> to clean up after MSK<1> , but MSK<1> say , MSK<2> why do MSK<0> hate dogs ? MSK<2> What fallacy have MSK<1> committed ? "
"If you don't study, you'll fail your test. Then you will do poorly in the class and your GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up homeless.",faulty generalization,"If MSK<0> do n't study , MSK<0> 'll fail MSK<0> test . Then MSK<0> will do poorly in the class and MSK<0> GPA will fall . MSK<0> wo n't get into a good college , so MSK<0> 'll never get a decent job and MSK<0> 'll end up homeless . "
"The economy continues to grow as the number of likes on my Instagram account continue to increase. Clearly, the two are linked.",false causality,"The economy MSK<0> to grow as the number of likes on my Instagram account MSK<0> to increase . Clearly , the two are linked . "
"When the judge asked the defendant why he hadn't paid his parking fines, he said that he shouldn't have to pay them because the sign said 'Fine for parking here' and so he naturally presumed that it would be fine to park there.",equivocation,"When MSK<0> asked the defendant why MSK<0> had n't MSK<2> , MSK<0> said that MSK<0> should n't have to MSK<2> because MSK<0> said ' MSK<3> for MSK<4> here ' and so MSK<0> naturally presumed that MSK<0> would be MSK<3> to MSK<4> there . "
Television Advertisement: Get all of your stains out by using new and improved Ultra Suds and wash your blues away!,appeal to emotion,Television Advertisement : Get all of MSK<0> stains out by using new and improved Ultra Suds and wash MSK<0> blues away ! 
"""Either the city should provide recycling bins or throw out the Recycling Act"" is an example of:",false dilemma,""" Either the city should provide MSK<0> bins or throw out the MSK<0> Act "" is an example of : "
"This is usually used in a company's slogan, using words that are very vague and nonspecific, but sound really nice. ex: ""Eat Fresh."" ""Expect More. Pay Less.""",appeal to emotion,"This is usually MSK<0> in a company 's slogan , MSK<0> words that are very vague and nonspecific , but sound really nice . ex : "" Eat Fresh . "" "" Expect More . Pay Less . "" "
Either we pass this ordinance or there will be rioting in the streets.,false dilemma,Either we pass this ordinance or there will be rioting in the streets . 
"I want to sell my house for $400,000. A buyer wants it for $100,000, so I must sell it for $250,000.",fallacy of relevance,"MSK<0> MSK<1> to MSK<2> MSK<0> for $ MSK<4> . A buyer MSK<1> MSK<3> for $ MSK<4> , so MSK<0> must MSK<2> MSK<3> for $ MSK<4> . "
"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.",ad populum,"Officer , MSK<0> was only driving as fast as everyone around MSK<0> . You ca n't give MSK<0> a ticket for doing what every other driver on the road was also doing . "
The model is in close agreement with the data.,intentional,The model is in close agreement with the data . 
"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",faulty generalization,"Pol Pot , the Cambodian Maoist revolutionary , was against MSK<0> , and he was MSK<1> . MSK<2> is against MSK<0> ; therefore , MSK<2> also must be MSK<1> . "
"Brad's mother asked him why he wasn't trying out for the school play. He responded: ''Because if Tom gets the male lead, which he always does, then I'll only be in the chorus, and it's not worth being in the play if I'm only going to be in the chorus.'' This is an example of which logical fallacy?",faulty generalization,"MSK<0> asked MSK<1> why MSK<1> was n't trying out for MSK<2> . MSK<1> responded : MSK<3> Because if MSK<1> gets the male lead , which MSK<1> always does , then MSK<4> 'll only be in MSK<5> , and it 's not worth being in MSK<2> if MSK<4> 'm only going to be in MSK<5> . MSK<3> MSK<0> is an example of which logical fallacy ? "
"Exercise is good. Therefore everybody should exercise.'
""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'",faulty generalization,"MSK<0> is good . Therefore everybody should MSK<0> . ' "" ' MSK<1> agree , ' said Polly earnestly . ' MSK<1> MSK<3> is wonderful . MSK<1> MSK<3> builds the body and everything . ' "
Students only want cell phones so they can text their friends in class; it's about time students focused more on their studies and less on their social lives.,fallacy of extension,MSK<0> only want cell phones so MSK<0> can text MSK<0> friends in class ; it 's about MSK<1> focused more on MSK<1> studies and less on MSK<1> social lives . 
If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.,faulty generalization,If we MSK<0> cell phones because they are bad for teenagers next the government will MSK<0> all iPods and eventually all video games as well . 
She should not be voted president because she's a liar and a thief.,ad hominem,MSK<0> should not be voted president because MSK<0> 's a liar and a thief . 
This legislation is sinful because it is the wrong thing to do.,circular reasoning,MSK<0> is sinful because MSK<0> is the wrong thing to do . 
"Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product.",ad populum,"Verizon advertising MSK<0> , claiming that everyone else who has bought MSK<0> loves the new product . "
"""Either you recycle or you don't care about human life.""",false dilemma,""" Either MSK<0> recycle or MSK<0> do n't care about human life . "" "
"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me.",false causality,"MSK<0> ate a lot of MSK<1> and then MSK<2> the MSK<3> of San Francisco . If MSK<0> were a MSK<3> , MSK<0> ’d ban MSK<1> so no one would MSK<2> MSK<0> . "
"When an animal rights activist says, ""Keeping a dog as a pet is every bit as evil as human slavery. Pet owners are the KKK of the 21st century,"" they are committing what logical fallacy?",fallacy of relevance,"When an MSK<1> rights activist says , "" Keeping a MSK<1> as a MSK<1> is every bit as evil as human slavery . MSK<0> are the KKK of the 21st century , "" MSK<0> are committing what logical fallacy ? "
"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit",false dilemma,"The museum 's new MSK<2> and MSK<2> MSK<2> MSK<0> needs more security guards . If MSK<1> do n't agree , then MSK<1> must be planning to steal a piece of the MSK<0> "
"""Every person is either my enemy or my friend. If are my enemy I should hate them. If they are my friend I should love them So I should either love them or hate them.""",false dilemma,""" Every person is either MSK<0> MSK<1> or MSK<0> MSK<2> . If are MSK<0> MSK<1> MSK<0> should MSK<3> MSK<4> . If MSK<4> are MSK<0> MSK<2> MSK<0> should MSK<5> MSK<4> So MSK<0> should either MSK<5> MSK<4> or MSK<3> MSK<4> . "" "
“How can you argue your case for vegetarianism when you are enjoying your steak?”,ad hominem,MSK<1> How can MSK<0> argue MSK<0> case for vegetarianism when MSK<0> are enjoying MSK<0> steak ? MSK<1> 
"Bill: ""You know, those feminists all hate men."" Joe: ""Really?"" Bill: ""Yeah. I was in my philosophy class the other day and that Rachel chick gave a presentation."" Joe: ""Which Rachel?"" Bill: ""You know her. She's the one that runs that feminist group over at the Women's Center. She said that men are all sexist pigs. I asked her why she believed this and she said that her last few boyfriends were real sexist pigs. "" Joe: ""That doesn't sound like a good reason to believe that all of us are pigs."" Bill: ""That was what I said."" Joe: ""What did she say?"" Bill: ""She said that she had seen enough of men to know we are all pigs. She obviously hates all men."" Joe: ""So you think all feminists are like her?"" Bill: ""Sure. They all hate men.""",faulty generalization,"MSK<0> : "" MSK<0> MSK<1> , those MSK<2> all MSK<3> MSK<4> . "" MSK<5> : "" Really ? "" MSK<0> : "" Yeah . MSK<6> was in MSK<6> philosophy class the other day and that MSK<7> chick gave a presentation . "" MSK<5> : "" Which MSK<7> ? "" MSK<0> : "" You MSK<1> MSK<8> . MSK<8> 's the one that runs that MSK<2> group over at the Women 's Center . MSK<8> said that MSK<4> are all MSK<9> MSK<10> . I asked MSK<8> why MSK<8> MSK<11> this and MSK<8> said that MSK<8> last few boyfriends were real MSK<9> MSK<10> . "" MSK<5> : "" That does n't sound MSK<12> a good reason to MSK<11> that all of us are MSK<10> . "" MSK<0> : "" That was what I said . "" MSK<5> : "" What did MSK<8> say ? "" MSK<0> : "" MSK<8> said that MSK<8> had seen enough of MSK<4> to MSK<1> we are all MSK<10> . MSK<8> obviously MSK<3> all MSK<4> . "" MSK<5> : "" So MSK<8> think MSK<13> are MSK<12> MSK<8> ? "" MSK<0> : "" Sure . MSK<13> MSK<3> MSK<4> . "" "
", that makes it right/valid.",ad populum,", that makes it right / valid . "
Aren't you tired of the political divisiveness in this country? Republicans know what they are talking about when it comes to immigration. Don't you agree?,appeal to emotion,Are n't MSK<0> tired of the political divisiveness in this country ? MSK<1> know what MSK<1> are talking about when it comes to immigration . Do n't MSK<0> agree ? 
"a persuasive technique used in media messages that appeals to the ""everyone is doing it"" mentality",ad populum,"a persuasive technique used in media messages that appeals to the "" everyone is doing it "" mentality "
