text,label,label_updated
Great civilizations are the true historical winners that should deserve praise. Why was the Computer not developed in non-white countries? Why was the Industrial revolution not shared with the world from China or India? Why was the theory of Evolution or Relativity achieved in white society?,circular reasoning,fallacies of presumption
"""You should never break traffic laws.""
 ""Who are you to speak? You've gotten over fifteen speeding tickets!"" What is this?",ad hominem,fallacy of relevance
being mainstream was never the goal.,fallacy of red herring,fallacy of relevance
"The owner of the car dealership by my house told me I need a new car, and he would know since he works in the industry.",fallacy of credibility,fallacies of defective induction
"I have served over 20 years in the military, and based on my professional opinion, I believe more money needs to be spent on protective armor and military vehicles.",fallacy of credibility,fallacies of defective induction
"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",faulty generalization,fallacies of defective induction
"If you allow one student to take an online course, soon
 everyone will want to, and the schools will be empty.",faulty generalization,fallacies of defective induction
you get stoned and hungry and you will spend all your money in food,fallacy of slippery slope,fallacies of defective induction
Europeans paid taxes and their military industries used the money to bomb endlessly and sell weapons there.,fallacy of red herring,fallacy of relevance
America: love it or leave it. Either you're for us or against us.,false dilemma,fallacies of defective induction
Texting has killed people's ability to write in complete sentences with proper grammar.,false causality,fallacies of defective induction
I don't see what's wrong with engaging the services of a professional escort.,appeal to emotion,fallacy of relevance
"Everyone is selfish; everyone is doing what he believes will make himself happier. The recognition of that can take most of the sting out of accusations that you're being ""selfish."" Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?
What's the logical fallacy?",ad populum,fallacy of relevance
A persuasive technique meant to influence a person's emotions.,appeal to emotion,fallacy of relevance
"Biology teacher: The theory of evolution states that all species evolve, even humans. Student: I can't accept that humans came from bugs.",fallacy of extension,fallacy of relevance
Gus disagrees,fallacy of credibility,fallacies of defective induction
"From resource point of view: It's 2016, no 1980.",fallacy of red herring,fallacy of relevance
"Parent: I really don't want you to smoke pot. It's still illegal, and could get you into trouble.
 Child: Didn't you smoke pot when you were my age? You must not think it's a big deal.",ad hominem,fallacy of relevance
"""Eat great food at our restaurant, or eat sad, boring meals at home.""",false dilemma,fallacies of defective induction
"""Police officers agree that Blackjack Steering Wheel Locks are the most effective deterrent against car theft.""",fallacy of credibility,fallacies of defective induction
Poorer defendants can't afford good lawyers,fallacy of red herring,fallacy of relevance
"Wife: ""I see Mr. Smith is cooking out on his new barbecue grill."" Husband: ""So his wife finally got fed up with his unfaithfulness!""",equivocation,fallacy of ambiguity
My car broke down yesterday. Cars are worthless.,faulty generalization,fallacies of defective induction
"Says Robot 2, attacking Robot 1 instead of his arguments.",ad hominem,fallacy of relevance
You can't give me a C. I'm an A student.,circular reasoning,fallacies of presumption
"Gas prices have been rising steadily these past few years. Thus, the cost of car ownership is higher than it was previously.",faulty generalization,fallacies of defective induction
"The creation of a patch relies on the existence of contracts or ""enhancing the image of the developers"". Just the problem to be visible doesn't implies that someone is going fix it.",circular reasoning,fallacies of presumption
"People have believed that fish is ""brain food"" for decades, so I don't believe the FDA when they claim that eating fish does not enhance the intellect.",fallacy of credibility,fallacies of defective induction
There is no system of government that is 100% flaw-free. Nothing is perfect.,ad populum,fallacy of relevance
If Mr. Stiedemann assigns us homework then I can't work on other assignments in my other classes. Then my teachers will get mad and cause me to get angry. Then my anger will lead to behavioral issues and I'll get suspended.,faulty generalization,fallacies of defective induction
"""If my years as a Marine taught me anything, it's that caution is the best policy in this sort of situation.""?",fallacy of credibility,fallacies of defective induction
That's what you'd expect someone like him/her to say,ad hominem,fallacy of relevance
What constitutes 'creationism'? What evidence is there that the universe we observe was not created?,fallacy of red herring,fallacy of relevance
I don't see anyone putting in effort anytime soon,ad populum,fallacy of relevance
This legislation is sinful because it is the wrong thing to do.,circular reasoning,fallacies of presumption
"The definition of gender itself is 'the state of being male or female' not the state of being one of the '58 genders', therefore we only have two options for genders, male and female. Since gender is decided at birth because of our biological sex, a man cannot be a woman and vice versa.",fallacy of red herring,fallacy of relevance
"But
only cops should be allowed to own bullets",fallacy of red herring,fallacy of relevance
"A legal system can be faulty. (killing Jews was legal in the legal system of Nazi Germany)
An action is being undertaken by government towards a person against his will, whether you'd call this purifying the race or taxation to justify it is irrelevent.",fallacy of red herring,fallacy of relevance
"If you miss practice, it means you were probably goofing off. People who goof off drop out of school and end up penniless.",faulty generalization,fallacies of defective induction
Senator Ribbit is a liar. You shouldn't listen to him on anything.,ad hominem,fallacy of relevance
Competition does provide rather the worst properties of mankind than the best.,fallacy of red herring,fallacy of relevance
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost.",faulty generalization,fallacies of defective induction
"Dean, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization,fallacies of defective induction
"If you don't study, you'll fail your test. Then you will do poorly in the class and your GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up homeless.",faulty generalization,fallacies of defective induction
Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.,faulty generalization,fallacies of defective induction
"""A solar flare erupted from the sun three days ago, and my laptop died this morning. Solar flares are very dangerous for computers.""",false causality,fallacies of defective induction
Students are poor writers because they watch too much TV,false causality,fallacies of defective induction
It is the center of the spectrum of two extremes of deficiency and excessiveness.,fallacy of red herring,fallacy of relevance
No one should believe our dear lady Senator who have had an adulterous relationship.,ad hominem,fallacy of relevance
"I’m not a doctor, but I play a doctor on TV, and I wouldn’t dream of using anything but Tylenol for my toughest headaches. ",fallacy of credibility,fallacies of defective induction
"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""Speaking of exercise, have you ever played 'Just Dance'? What a great workout!""",fallacy of red herring,fallacy of relevance
It would protect the country from the whims of the unintelligent who have no idea what is good for the nation.,false causality,fallacies of defective induction
Not able to defend his position that evolution 'isn't true' Bob says that he knows a scientist who also questions evolution (and presumably isn't a primate).,fallacy of credibility,fallacies of defective induction
"Saying that you support a specific candidate for class president, only because he has recently been diagnosed with cancer is an example of which fallacy?",appeal to emotion,fallacy of relevance
I've had bad luck for so long that I'm bound to have good luck now.,false causality,fallacies of defective induction
"But of course, but dropping bombs isn't the only way to do that.",fallacy of red herring,fallacy of relevance
Dr. Bloom cannot be a competent marriage counselor because he is divorced.,ad hominem,fallacy of relevance
"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",faulty generalization,fallacies of defective induction
"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!""",faulty generalization,fallacies of defective induction
The number of frameworks and their rate of proliferation makes it impossible for anyone to keep up with them while still doing any actual work.,fallacy of red herring,fallacy of relevance
"Thanks to her enduring popularity with employees, Sophia Lloyd is the best-liked CEO in our company's history.",circular reasoning,fallacies of presumption
"The reason the firmament, a tent-like structure that kept the ""waters above"" from flooding the earth as described in the Bible, is no longer there today, is because it was destroyed during Noah's flood.",circular reasoning,fallacies of presumption
"Al Gore's support of the discussion of sexual orientation issues on Ellen is dangerous: he advocates the exposure of children to sexually explicit materials, which is wrong.",fallacy of extension,fallacy of relevance
"Ted: Biological evolution is both a theory and a fact.
 Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum!
 Ted: Actually, that is a gross misrepresentation of my assertion. I never claimed we evolved from pond scum. Unlike math and logic, science is based on empirical evidence and, therefore, a scientific fact is something that is confirmed to such a degree that it would be perverse to withhold provisional consent. The empirical evidence for the fact that biological evolution does occur falls into this category.",fallacy of extension,fallacy of relevance
That song is stupid because I don't know that musician.,fallacy of red herring,fallacy of relevance
"This is incorrect. Again, rights are either protected by the state of they are not. Human and civil rights exist outside of states. If you are born in a country under an oppressive regime, you still have human rights even if the political forces are infringing on them.",circular reasoning,fallacies of presumption
We dont know when backward incompatible Angular3 will come out,fallacy of slippery slope,fallacies of defective induction
"Pamela never lies. She told me herself, so it must be true.",circular reasoning,fallacies of presumption
People who learn from their mistakes don't repeat them.,faulty generalization,fallacies of defective induction
Decriminalizing marijuana turns the U.S. into a stoner nation,faulty generalization,fallacies of defective induction
I have been accused of using an ad hominem approach in trying to defend my research. But those who attack me and my research are also using ad hominem. And they started it!,ad hominem,fallacy of relevance
The vast majority of prostitutes are trafficed women forced into effective slavery of the worst kind. Legalising it because of a liberal middle class fantasy removes the protection of the law from those who most need it,fallacy of red herring,fallacy of relevance
"Aaron Rodgers says you should get State Farm Insurance on your home, car, motorcycle, or trailer!",fallacy of credibility,fallacies of defective induction
"The political commercials described the mayor as a ""monster"" who ""hated babies"" but they never discussed his plans for the city.",ad hominem,fallacy of relevance
"Kent: My new car is really fast.
 
 Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast.",fallacy of extension,fallacy of relevance
"We need to stop allowing colleges to increase tuition every year. The next thing we know, it's going to cost more to attend college for one semester than it is to buy a new home!",faulty generalization,fallacies of defective induction
"I ate Oreos, and then I was sick the next day. It must have been the Oreos that caused my sickness.",false causality,fallacies of defective induction
Students tell Ms. Higgins her hair color looks different on her. Ms. Higgins can't believe her students called ugly and horrendous to look at.,fallacy of extension,fallacy of relevance
"Billy - ""An apple is a vegetable."" 
 Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,ad hominem,fallacy of relevance
"Bert: How do eyes project an image to your brain?
 Ernie: Think of it as a little guy in your brain watching the movie projected by your eyes.
 Bert: Ok, but what is happening in the little guy in your head's brain?
 Ernie: Well, think of it as a little guy in his brain watching a movie...",circular reasoning,fallacies of presumption
My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren't the cause of obesity.,faulty generalization,fallacies of defective induction
"if what you're saying is true and there has to be life is it better to not look for it. Because if they are smart enough to communicate with us planet,they also most likely have the power to destroy us. So it's not a question of if they exist It is a question of are we willing to find out.",fallacy of red herring,fallacy of relevance
It would help keep people out of poverty and reduce poverty related costs.,false causality,fallacies of defective induction
"Oh, please. What would you know about labor laws? You don't even have a job.",ad hominem,fallacy of relevance
Everybody does it. You should too.,ad populum,fallacy of relevance
Very long lines usually indicate poor quality code,fallacy of red herring,fallacy of relevance
If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.,faulty generalization,fallacies of defective induction
"What I do know is that if a dirty bomb goes off on Wall Street and the winds are blowing this way, then I and much of this part of Brooklyn are possibly toast. Is that worth possible violations of the rights of some psycho-violent street thug? To me it is.",circular reasoning,fallacies of presumption
"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.
 What fallacy did Sara use here?",faulty generalization,fallacies of defective induction
"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.",faulty generalization,fallacies of defective induction
"Only a selfish, non-caring person would believe that this is ok.",ad hominem,fallacy of relevance
We don't have mandatory safety training for free speech.,faulty generalization,fallacies of defective induction
Can't argue with that.,ad populum,fallacy of relevance
AI will eventually learn how to put it in your butt and it will really hurt.,fallacy of red herring,fallacy of relevance
"vim uses a complete and extensible keystroke language system, which leads to natural construction of complex commands.",false causality,fallacies of defective induction
Children should not listen to rap music. Everyone knows that.,ad populum,fallacy of relevance
"Peter: ""Based on the arguments I have presented, it is evident that it is morally wrong to use animals for food or clothing.""
 Bill: ""But you are wearing a leather jacket and you have a roast beef sandwich in your hand! How can you say that using animals for food and clothing is wrong!""",ad hominem,fallacy of relevance
"""I know that what I experience is real because I can see, hear, smell, touch and taste everything.""",circular reasoning,fallacies of presumption
Believing in god can't cause logical contradictions if god is logic itself and the laws the surround it.,circular reasoning,fallacies of presumption
"It has to be done explicitly. And, therefore, makes the code more complex.",fallacy of red herring,fallacy of relevance
"""He just says that because he's a Republican.""",ad hominem,fallacy of relevance
"Person #1: We need to start high school later in the morning.
 Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension,fallacy of relevance
Habib didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,faulty generalization,fallacies of defective induction
"David: We have way too much police presence in this city.
 Pete: What are you going to do about it?
 David: Vandalize, loot, and perhaps a little arson.",false causality,fallacies of defective induction
"If we let your brother stay, we'll have to let your whole family stay.",faulty generalization,fallacies of defective induction
You want me to clean my locker? I think I left my homework in Science class. I need to keep up with my homework to get good grades.,fallacy of red herring,fallacy of relevance
"harmful atheists favor cloning, so cloning is wrong",ad hominem,fallacy of relevance
"""Grading this exam on a curve would be the most fair thing to do. After all, classes go more smoothly when the students and the professor are getting along well.""",fallacy of red herring,fallacy of relevance
The accident was caused by the taxi parking in the street,false causality,fallacies of defective induction
"Nano is a good default, as it maintains simplicity",fallacy of red herring,fallacy of relevance
It would turn us all into communists,fallacy of red herring,fallacy of relevance
"I broke my mirror this morning, AND I failed my History test. I must've failed because the mirror gave me bad luck.",false causality,fallacies of defective induction
"If we allow Susan to leave early, soon we'll be giving everyone Friday afternoon off.",faulty generalization,fallacies of defective induction
"Most people believe in ghosts, so ghosts are real.",ad populum,fallacy of relevance
"""Blondes are less intelligent than people with other hair colors.""",faulty generalization,fallacies of defective induction
"I lost my phone in the living room, so it will always be in the living room when it is lost.",circular reasoning,fallacies of presumption
Explaining that trusting the other politician will cause everyone to lose their homes and jobs,appeal to emotion,fallacy of relevance
"Poor people also benefit from much of what the rich compose, and thus live more wealthy lives.",false causality,fallacies of defective induction
"Don't let your children stay up till midnight on New Year's Eve. Before you know it, they'll be demanding to stay up till midnight every night.",faulty generalization,fallacies of defective induction
"Illegal drug users are, by definition, criminals. And criminality generally negatively impacts your life. Therefore this entire thread of argumentation appears to be flawed.",fallacy of slippery slope,fallacies of defective induction
"My grandmother smoked for 80 years and died at 100. Obviously, smoking isn't harmful.",faulty generalization,fallacies of defective induction
"Once a statically typed language is learnt, it's easier to switch to / learn a dynamic typed one then the other way around.",fallacy of red herring,fallacy of relevance
"In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!""",circular reasoning,fallacies of presumption
We should move to the midwest because the Wall Street Journal says the cost of living is cheaper there.,fallacy of credibility,fallacies of defective induction
"You really should support Senator Jones and his campaign to strengthen national defense. If you do not, he will lose control of the Armed Forces Committee and likely resign from politics.",appeal to emotion,fallacy of relevance
"If we legalize marijuana, then more people will try heroin",faulty generalization,fallacies of defective induction
"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts.",faulty generalization,fallacies of defective induction
"""The academic decathlon, Mr. Iglesias? That's a rich kid thing.""",false dilemma,fallacies of defective induction
The news is fake because so much of the news is fake.,circular reasoning,fallacies of presumption
"You can look cool in our clothes, or you can look like a loser.",false dilemma,fallacies of defective induction
", tax relief instead of tax cut, or death tax instead of estate tax)",appeal to emotion,fallacy of relevance
There are different kinds of infinity.,fallacy of red herring,fallacy of relevance
"because ""liberalism"" is filthy petty bourgeoise and rentier class ideology, as if the extra income for a class of fortunate real estate, shop and website owners justifies the social injustice at large.",fallacy of red herring,fallacy of relevance
"no primate on this space rock/et-ship can quite comprehend infinite space. Everything you can imagine is out there, just not likely to cross paths. It wasn't that long ago the churches were burning people for saying earth does not revolve around the sun. Infinite!",ad populum,fallacy of relevance
"The point is that rights would still exist even without ""states"". States may protect rights or they may infringe on rights. They do not grant rights. Human beings have rights due to their human-ness regardless of whether they are born in a state that protects their rights.",circular reasoning,fallacies of presumption
"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",fallacy of credibility,fallacies of defective induction
This movie was #1 at the box office last weekend! That means it must be really good!,ad populum,fallacy of relevance
"""We should abolish the death penalty. Many respected people, such as Imran Kader, have publicly stated their opposition to it.""",fallacy of credibility,fallacies of defective induction
There was a fight at school today. Violence is a growing problem in school.,faulty generalization,fallacies of defective induction
"""I am not unmindful that some of you have come here out of great trials and tribulations. Some of you have come fresh from narrow jail cells. And some of you have come from areas where your quest -- quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality. You have been the veterans of creative suffering. Continue to work with the faith that unearned suffering is redemptive. Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed."" Which appeal is the primary appeal used in this quote?",appeal to emotion,fallacy of relevance
Tab width can be adjusted to personal preferences,fallacy of red herring,fallacy of relevance
"""Everytime I wash my car it rains; therefore, washing my car makes it rain.""",false causality,fallacies of defective induction
"A world order that promoted worldwide/universal togetherness could be nothing but beneficial for all of humanity, but one that encouraged slaughter and *total* anarchy would be destructive.",circular reasoning,fallacies of presumption
Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV,false causality,fallacies of defective induction
"I saw Ashton Kutcher in a prescription drug commercial, therefore it has to be an effective drug.",fallacy of credibility,fallacies of defective induction
"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion,fallacy of relevance
“We shouldn’t even bother to interview that job applicant. He has a beard.”,ad hominem,fallacy of relevance
"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.",ad hominem,fallacy of relevance
The existence or non-existence of a person affects more than just the parents. It would have far reaching consequences and is therefore not a decision a single person can be trusted to make.,fallacy of red herring,fallacy of relevance
Morality is open to interpretation and it varies from society to society. Most societies (with very few exceptions) accept sex in or out of wedlock as what it is: a natural act.,circular reasoning,fallacies of presumption
"Animals tread softly upon the earth without shoes, so all other living beings should follow suit.",fallacy of credibility,fallacies of defective induction
"When someone says, ""Either schools need to fully open immediately and no students should wear masks or all teachers are Communists!""",false dilemma,fallacies of defective induction
The newest brand jeans that everyone is wearing are called Blue Dogs. Blue Dogs are being worn by all young teens. Be sure to go out and buy your new jeans at your local mall.,ad populum,fallacy of relevance
All people from Pinole are liars,ad hominem,fallacy of relevance
I've never knowingly listened to a Neil Young record all the way through because they all sound like someone strangling a cat (don't they?).,faulty generalization,fallacies of defective induction
"Subscribe to our streaming services, or get stuck with cable!",false dilemma,fallacies of defective induction
"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?",ad populum,fallacy of relevance
"In response to the fallacy report:
 1) I hate balloons.
 2) I am one person out of billions, not millions.
 3) You should have realized by now that the two premises I have posted in this thread are joking in nature, and not legitimate arguments.",fallacy of red herring,fallacy of relevance
A commercial about abandoned animals needing shelter or a forever home. They ask for a small donation to help these struggling animals.,appeal to emotion,fallacy of relevance
"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",false causality,fallacies of defective induction
"Positive discrimination is effective in balancing existing inequalities in employment, pay and access to education.",fallacy of red herring,fallacy of relevance
"You think labor unions are good? You know who else liked labor unions? Karl Marx, that's who.",ad hominem,fallacy of relevance
"""This is how most schools evaluate their students, so it must be effective.""",ad populum,fallacy of relevance
"Taxation was and has always been a source of revenue that the government needs to function. It was how during the American revolution money was raised after defeating Britain, otherwise making ends meet with the debts we were in would have been nigh impossible.",fallacy of red herring,fallacy of relevance
"One must believe a software craftsman would provide the relevant sources (not ID sites that perpetuate misinformation) on a subject unrelated to his interests, or read the papers in question to satisfy the evidence quota or his understanding of evolution past eighth grade.",ad hominem,fallacy of relevance
"Bert: I've been learning about the Second World War lately. I found that America provoked Japan into attacking Pearl Harbor. I don't think that was the right thing to do.
 Jenny: Oh, so you are now taking the side of Axis? Do you think Germany and Japan were right to do what they did?",fallacy of extension,fallacy of relevance
Bananas are blue.,fallacy of red herring,fallacy of relevance
Children who play violent video games act more violently than those who don't.,false causality,fallacies of defective induction
"""Freedom of choice is an important freedom. Students should have the freedom to choose between different types of soft drinks.""",faulty generalization,fallacies of defective induction
"The entire premise of this argument is complex, posited without support, and written to be inflammatory.
 This argument should be divided into no less than 5 separate ones.",fallacy of red herring,fallacy of relevance
"When Donald Trump called Hillary Clinton ""Killary"" to discredit her and her reputation as a presidential candidate, he committed which logical fallacy?",ad hominem,fallacy of relevance
Because doctors smoke it must be a healthy choice.,fallacy of credibility,fallacies of defective induction
How did society create it? Did all people create it? Obviously not. Did some people create it? The same is true for all criminal organizations.,faulty generalization,fallacies of defective induction
"I have been around the block many times, and I have had my share of success.  So believe me when I tell you that there is no better hobby than cat-juggling.",fallacy of credibility,fallacies of defective induction
Evolution is the idea that humans come from pond scum.,appeal to emotion,fallacy of relevance
"A book argues that global warming is not actually happening, and cites the research of one environmental scientist who has been studying climate change for several years.",fallacy of credibility,fallacies of defective induction
"You got a cold two nights ago but last night you stayed up really late and now you are no longer sick, so it must be because you stayed up really late last night. What fallacy is being committed?",false causality,fallacies of defective induction
"Trump asked Clinton about her ""33,000"" deleted emails, but Clinton responds by correcting him rather than addressing the deleted emails: ""Not ""” well, we turned over 35,000, so""¦""",fallacy of red herring,fallacy of relevance
That's only true if we adopt a materialist standpoint.,fallacy of red herring,fallacy of relevance
The default configuration of emacs is pretty bad.,fallacy of red herring,fallacy of relevance
"You've never visited another country, so who cares what you say about immigration reform!",ad hominem,fallacy of relevance
We admit that the measure is popular. But we also urge you to note that there are so many bond issues on the ballot that the whole thing is getting ridiculous.,fallacy of red herring,fallacy of relevance
"Regardless, if you do try it, you should first invest in a quality sound system.",fallacy of red herring,fallacy of relevance
"There is lots of evidence supporting creationism. The fact that it does not line up with macroevolution- an unproved theory does not define it as false, it lines up with geology, the fossil record, DNA research and many other things. You can't base its truth off of evolution, prove evolution first",faulty generalization,fallacies of defective induction
Church's chicken is WAAAYY crispier,fallacy of red herring,fallacy of relevance
"Consider the following exchange:
 Lindsey: I think capital punishment is a necessary component of our justice system and should remain legal.
 Kayla: So you are saying that murder should be legal and it is okay for us to go around killing people just because we think they deserve it? That isn't right.
 Of what fallacy is Kayla guilty?",fallacy of extension,fallacy of relevance
Invoke shared values and principles. They call upon the audience's sense of right and wrong.,fallacy of credibility,fallacies of defective induction
Within every man's heart is the desire to be free.,faulty generalization,fallacies of defective induction
"Cari says that we need a major overhaul in education. Cari gets a speeding ticket every other week, so maybe she should learn how to drive instead of worrying about schools.",ad hominem,fallacy of relevance
"Besides charities, comfort, community cohesion, rehabilitation, and helping children learn values, religion poisons everything.",faulty generalization,fallacies of defective induction
"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?

Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!",ad hominem,fallacy of relevance
"""Let's look instead at what my opponent proposes to do with your hard earned money!""
This is an example of which type of logical fallacy?",fallacy of red herring,fallacy of relevance
"Joe eats horribly; therefore, his heart attack was caused by his eating habits.",false causality,fallacies of defective induction
"""The logic teacher was hired to fill the new computer animation class. He is a great admirer of Pixar's work and will do a great job.""",fallacy of credibility,fallacies of defective induction
"You do have the choice of not paying tax by avoiding society. A social contract exists where it is implied that the taxes paid are beneficial to the one paying (i.e. for use of roads, schools, police, or parks).",circular reasoning,fallacies of presumption
Just give me a chance to prove it to you. I can’t live this life if you will leave me. My world will stop to turn around. I will not be able to eat nor drink.,appeal to emotion,fallacy of relevance
My father told me that the sky is green. So it must be the truth.,fallacy of credibility,fallacies of defective induction
Everybody loves Raymond because he is so popular. Popular people are loved by everybody.,circular reasoning,fallacies of presumption
"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don't expect to live a long life.",false causality,fallacies of defective induction
Why do people hold philosophy higher then critical thinking?,circular reasoning,fallacies of presumption
A monarch is highly corruptible.,false causality,fallacies of defective induction
"Any consistent axiomatic system of mathematics will contain theorems which cannot be proven.
 If all the theorems of an axiomatic system can be proven then the system is inconsistent, and thus has theorems which can be proven both true and false.",fallacy of red herring,fallacy of relevance
It's another THING we have to deal with!,fallacy of red herring,fallacy of relevance
"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",false causality,fallacies of defective induction
"I beg to differ on your premise regarding ""we can exclusively define what is natural to humans"" unless you supply such a definition.
Otherwise why wouldn't using instruments (for example, for a sex change) created by humans be natural means for doing any particular thing for a human being?",fallacy of red herring,fallacy of relevance
"Computer viruses are a problem specifically because they can run in the background while bypassing user permissions. If it were that easy to stop viruses, they would not be an issue.",fallacy of red herring,fallacy of relevance
"""You can't give me a D because I'm an A student!""",circular reasoning,fallacies of presumption
"Billy - ""An apple is a vegetable.""  Bobby - ""Don't listen to Billy; he failed Spanish class last year. """,ad hominem,fallacy of relevance
Games like dodgeball are used to keep the students from getting overly dissatisfied. Take away dodgeball and you'll have a riot for the first few years at least.,fallacy of slippery slope,fallacies of defective induction
"If you commit suicide just to see if you end up in Heaven, you can't come back to tell the tale.",ad populum,fallacy of relevance
"IBM is a reputable organization, so all of its employees must be reputable.",faulty generalization,fallacies of defective induction
"If there were a taser platform that was as reliable and capable as a gun, it would be widely adopted.",fallacy of credibility,fallacies of defective induction
MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland.,ad hominem,fallacy of relevance
"“I know the exam is graded based on performance, but you should give me an A. My cat has been sick, my car broke down, and I’ve had a cold, so it was really hard for me to study!”",appeal to emotion,fallacy of relevance
"Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be
 good.",ad populum,fallacy of relevance
present ideas that elicit strong feelings,appeal to emotion,fallacy of relevance
"The very early stage of a process does not equal the final stage of a human being. The scaffolding and foundation for a house is not a functional, finished home you can live in...",circular reasoning,fallacies of presumption
capitalism is a system of social and economic organisation which impacts every aspect of individual lives and societal conditions,fallacy of red herring,fallacy of relevance
"We can rephrase the statement as ""Science is a process partially based on evidence.""",fallacy of red herring,fallacy of relevance
A commercial featuring starving children in Africa asking for donations to help provide food and clean water to those in need.,appeal to emotion,fallacy of relevance
The title is Chinese and the rest is English...?,false causality,fallacies of defective induction
Countries where guns are almost universally banned do not show this trend at all,false causality,fallacies of defective induction
"Unregulated markets, wealth hoarding, tax evasion, massive subsidies and massive bailouts, all help increase poverty at the expense of the public.",ad hominem,fallacy of relevance
"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",appeal to emotion,fallacy of relevance
"no project is ""well architected""",fallacy of red herring,fallacy of relevance
history is important because its gives us something else to learn at school.,fallacy of red herring,fallacy of relevance
"Each brick in that building weighs less than a pound. Therefore, the building weighs less than a pound.Example #2:
 Hydrogen is not wet. Oxygen is not wet. Therefore, water (H2O) is not wet.",faulty generalization,fallacies of defective induction
"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",ad hominem,fallacy of relevance
"""Annie must like Starbucks because all girls like Starbucks.""",faulty generalization,fallacies of defective induction
"Business owners do not pay the workers - the consumers pay the workers, the business owner is trying to sell the labor of the worker to these consumers - no amount of socialism can make consumers want to buy the labor of the worker who is STILL inefficient or provides no economic value.",fallacy of red herring,fallacy of relevance
"Disadvantaged groups suffer or have suffered from discrimination within a culture which created inequalities in employment, pay and access to education.",appeal to emotion,fallacy of relevance
"""It rained and then we lost the game. Every time it rains, we're going to lose.""",false causality,fallacies of defective induction
"People have obviously refused to vote for libertarian parties. Therefore the people has choosen to pay taxes, If you aren't like most people in the democracy you are free to move as soon as possible. You are de facto free to choose where to live on this planet.",fallacy of red herring,fallacy of relevance
"Every time I wash my car, it rains",false causality,fallacies of defective induction
It is guaranteed in the United States Constitution that every citizen has the right to bear arms.,ad populum,fallacy of relevance
"Either you love me, or you hate me.",false dilemma,fallacies of defective induction
His political party wants to spend your precious tax dollars on big government. But my political party is planning strategic federal investment in critical programs.,equivocation,fallacy of ambiguity
"What type of propaganda uses negative words or feelings against an idea, product or person?",ad hominem,fallacy of relevance
